DEPTH,BS,CALI,DENS,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
13.8684,,,,,,,,,,,,,25.178,
14.0208,,,,,,,,,,,,,25.18,
14.1732,,,,,,,,,,,,,25.1819,
14.3256,,,,,,,,,,,,,25.1839,
14.478,,,,,,,,,,,,,25.1858,
14.6304,,,,,,,,,,,,,25.1878,
14.7828,,,,,,,,,,,,,25.1898,
14.9352,,,,,,,,,,,,,25.1917,
15.0876,,,,,,,,,,,,,25.1937,
15.24,,,,,,,,,,,,,25.1956,
15.3924,,,,,,,,,,,,,25.1976,
15.5448,,,,,,,,,,,,,25.1995,
15.6972,,,,,,,,,,,,,25.2015,
15.8496,,,,,,,,,,,,,25.2034,
16.002,,,,,,,,,,,,,25.2054,
16.1544,,,,,,,,,,,,,25.2074,
16.3068,,,,,,,,,,,,,25.2093,
16.4592,,,,,,,,,,,,,25.2113,
16.6116,,,,,,,,,,,,,25.2132,
16.764,,,,,,,,,,,,,25.2152,
16.9164,,,,,,,,,,,,,25.2171,
17.0688,,,,,,,,,,,,,25.2191,
17.2212,,,,,,,,,,,,,25.221,
17.3736,,,,,,,,,,,,,25.223,
17.526,,,,,,,,,,,,,25.225,
17.6784,,,,,,,,,,,,,25.2269,
17.8308,,,,,,,,,,,,,25.2289,
17.9832,,,,,,,,,,,,,25.2308,
18.1356,,,,,,,,,,,,,25.2328,
18.288,,,,,,,,,,,,,25.2347,
18.4404,,,,,,,,,,,,,25.2367,
18.5928,,,,,,,,,,,,,25.2387,
18.7452,,,,,,,,,,,,,25.2406,
18.8976,,,,,,,,,,,,,25.2426,
19.05,,,,,,,,,,,,,25.2445,
19.2024,,,,,,,,,,,,,25.2465,
19.3548,,,,,,,,,,,,,25.2484,
19.5072,,,,,,,,,,,,,25.2504,
19.6596,,,,,,,,,,,,,25.2523,
19.812,,,,,,,,,,,,,25.2543,
19.9644,,,,,,,,,,,,,25.2563,
20.1168,,,,,,,,,,,,,25.2582,
20.2692,,,,,,,,,,,,,25.2602,
20.4216,,,,,,,,,,,,,25.2621,
20.574,,,,,,,,,,,,,25.2641,
20.7264,,,,,,,,,,,,,25.266,
20.8788,,,,,,,,,,,,,25.268,
21.0312,,,,,,,,,,,,,25.27,
21.1836,,,,,,,,,,,,,25.2719,
21.336,,,,,,,,,,,,,25.2739,
21.4884,,,,,,,,,,,,,25.2758,
21.6408,,,,,,,,,,,,,25.2778,
21.7932,,,,,,,,,,,,,25.2797,
21.9456,,,,,,,,,,,,,25.2817,
22.098,,,,,,,,,,,,,25.2836,
22.2504,,,,,,,,,,,,,25.2856,
22.4028,,,,,,,,,,,,,25.2876,
22.5552,,,,,,,,,,,,,25.2895,
22.7076,,,,,,,,,,,,,25.2915,
22.86,,,,,,,,,,,,,25.2934,
23.0124,,,,,,,,,,,,,25.2954,
23.1648,,,,,,,,,,,,,25.2973,
23.3172,,,,,,,,,,,,,25.2993,
23.4696,,,,,,,,,,,,,25.3013,
23.622,,,,,,,,,,,,,25.3032,
23.7744,,,,,,,,,,,,,25.3052,
23.9268,,,,,,,,,,,,,25.3071,
24.0792,,,,,,,,,,,,,25.3091,
24.2316,,,,,,,,,,,,,25.311,
24.384,,,,,,,,,,,,,25.313,
24.5364,,,,,,,,,,,,,25.3149,
24.6888,,,,,,,,,,,,,25.3169,
24.8412,,,,,,,,,,,,,25.3189,
24.9936,,,,,,,,,,,,,25.3208,
25.146,,,,,,,,,,,,,25.3228,
25.2984,,,,,,,,,,,,,25.3247,
25.4508,,,,,,,,,,,,,25.3267,
25.6032,,,,,,,,,,,,,25.3286,
25.7556,,,,,,,,,,,,,25.3306,
25.908,,,,,,,,,,,,,25.3326,
26.0604,,,,,,,,,,,,,25.3345,
26.2128,,,,,,,,,,,,,25.3365,
26.3652,,,,,,,,,,,,,25.3384,
26.5176,,,,,,,,,,,,,25.3404,
26.67,,,,,,,,,,,,,25.3423,
26.8224,,,,,,,,,,,,,25.3443,
26.9748,,,,,,,,,,,,,25.3462,
27.1272,,,,,,,,,,,,,25.3482,
27.2796,,,,,,,,,,,,,25.3502,
27.432,,,,,,,,,,,,,25.3521,
27.5844,,,,,,,,,,,,,25.3541,
27.7368,,,,,,,,,,,,,25.356,
27.8892,,,,,,,,,,,,,25.358,
28.0416,,,,,,,,,,,,,25.3599,
28.194,,,,,,,,,,,,,25.3619,
28.3464,,,,,,,,,,,,,25.3638,
28.4988,,,,,,,,,,,,,25.3658,
28.6512,,,,,,,,,,,,,25.3678,
28.8036,,,,,,,,,,,,,25.3697,
28.956,,,,,,,,,,,,,25.3717,
29.1084,,,,,,,,,,,,,25.3736,
29.2608,,,,,,,,,,,,,25.3756,
29.4132,,,,,,,,,,,,,25.3775,
29.5656,,,,,,,,,,,,,25.3795,
29.718,,,,,,,,,,,,,25.3815,
29.8704,,,,,,,,,,,,,25.3834,
30.0228,,,,,,,,,,,,,25.3854,
30.1752,,,,,,,,,,,,,25.3873,
30.3276,,,,,,,,,,,,,25.3893,
30.48,,,,,,,,,,,,,25.3912,
30.6324,,,,,,,,,,,,,25.3932,
30.7848,,,,,,,,,,,,,25.3951,
30.9372,,,,,,,,,,,,,25.3971,
31.0896,,,,,,,,,,,,,25.3991,
31.242,,,,,,,,,,,,,25.401,
31.3944,,,,,,,,,,,,,25.403,
31.5468,,,,,,,,,,,,,25.4049,
31.6992,,,,,,,,,,,,,25.4069,
31.8516,,,,,,,,,,,,,25.4088,
32.004,,,,,,,,,,,,,25.4108,
32.1564,,,,,,,,,,,,,25.4128,
32.3088,,,,,,,,,,,,,25.4147,
32.4612,,,,,,,,,,,,,25.4167,
32.6136,,,,,,,,,,,,,25.4186,
32.766,,,,,,,,,,,,,25.4206,
32.9184,,,,,,,,,,,,,25.4225,
33.0708,,,,,,,,,,,,,25.4245,
33.2232,,,,,,,,,,,,,25.4265,
33.3756,,,,,,,,,,,,,25.4284,
33.528,,,,,,,,,,,,,25.4304,
33.6804,,,,,,,,,,,,,25.4323,
33.8328,,,,,,,,,,,,,25.4343,
33.9852,,,,,,,,,,,,,25.4362,
34.1376,,,,,,,,,,,,,25.4382,
34.29,,,,,,,,,,,,,25.4401,
34.4424,,,,,,,,,,,,,25.4421,
34.5948,,,,,,,,,,,,,25.4441,
34.7472,,,,,,,,,,,,,25.446,
34.8996,,,,,,,,,,,,,25.448,
35.052,,,,,,,,,,,,,25.4499,
35.2044,,,,,,,,,,,,,25.4519,
35.3568,,,,,,,,,,,,,25.4538,
35.5092,,,,,,,,,,,,,25.4558,
35.6616,,,,,,,,,,,,,25.4577,
35.814,,,,,,,,,,,,,25.4597,
35.9664,,,,,,,,,,,,,25.4617,
36.1188,,,,,,,,,,,,,25.4636,
36.2712,,,,,,,,,,,,,25.4656,
36.4236,,,,,,,,,,,,,25.4675,
36.576,,,,,,,,,,,,,25.4695,
36.7284,,,,,,,,,,,,,25.4714,
36.8808,,,,,,,,,,,,,25.4734,
37.0332,,,,,,,,,,,,,25.4754,
37.1856,,,,,,,,,,,,,25.4773,
37.338,,,,,,,,,,,,,25.4793,
37.4904,,,,,,,,,,,,,25.4812,
37.6428,,,,,,,,,,,,,25.4832,
37.7952,,,,,,,,,,,,,25.4851,
37.9476,,,,,,,,,,,,,25.4871,
38.1,,,,,,,,,,,,,25.489,
38.2524,,,,,,,,,,,,,25.491,
38.4048,,,,,,,,,,,,,25.493,
38.5572,,,,,,,,,,,,,25.4949,
38.7096,,,,,,,,,,,,,25.4969,
38.862,,,,,,,,,,,,,25.4988,
39.0144,,,,,,,,,,,,,25.5008,
39.1668,,,,,,,,,,,,,25.5027,
39.3192,,,,,,,,,,,,,25.5047,
39.4716,,,,,,,,,,,,,25.5067,
39.624,,,,,,,,,,,,,25.5086,
39.7764,,,,,,,,,,,,,25.5106,
39.9288,,,,,,,,,,,,,25.5125,
40.0812,,,,,,,,,,,,,25.5145,
40.2336,,,,,,,,,,,,,25.5164,
40.386,,,,,,,,,,,,,25.5184,
40.5384,,,,,,,,,,,,,25.5203,
40.6908,,,,,,,,,,,,,25.5223,
40.8432,,,,,,,,,,,,,25.5243,
40.9956,,,,,,,,,,,,,25.5262,
41.148,,,,,,,,,,,,,25.5282,
41.3004,,,,,,,,,,,,,25.5301,
41.4528,,,,,,,,,,,,,25.5321,
41.6052,,,,,,,,,,,,,25.534,
41.7576,,,,,,,,,,,,,25.536,
41.91,,,,,,,,,,,,,25.538,
42.0624,,,,,,,,,,,,,25.5399,
42.2148,,,,,,,,,,,,,25.5419,
42.3672,,,,,,,,,,,,,25.5438,
42.5196,,,,,,,,,,,,,25.5458,
42.672,,,,,,,,,,,,,25.5477,
42.8244,,,,,,,,,,,,,25.5497,
42.9768,,,,,,,,,,,,,25.5516,
43.1292,,,,,,,,,,,,,25.5536,
43.2816,,,,,,,,,,,,,25.5556,
43.434,,,,,,,,,,,,,25.5575,
43.5864,,,,,,,,,,,,,25.5595,
43.7388,,,,,,,,,,,,,25.5614,
43.8912,,,,,,,,,,,,,25.5634,
44.0436,,,,,,,,,,,,,25.5653,
44.196,,,,,,,,,,,,,25.5673,
44.3484,,,,,,,,,,,,,25.5693,
44.5008,,,,,,,,,,,,,25.5712,
44.6532,,,,,,,,,,,,,25.5732,
44.8056,,,,,,,,,,,,,25.5751,
44.958,,,,,,,,,,,,,25.5771,
45.1104,,,,,,,,,,,,,25.579,
45.2628,,,,,,,,,,,,,25.581,
45.4152,,,,,,,,,,,,,25.5829,
45.5676,,,,,,,,,,,,,25.5849,
45.72,,,,,,,,,,,,,25.5869,
45.8724,,,,,,,,,,,,,25.5888,
46.0248,,,,,,,,,,,,,25.5908,
46.1772,,,,,,,,,,,,,25.5927,
46.3296,,,,,,,,,,,,,25.5947,
46.482,,,,,,,,,,,,,25.5966,
46.6344,,,,,,,,,,,,,25.5986,
46.7868,,,,,,,,,,,,,25.6005,
46.9392,,,,,,,,,,,,,25.6025,
47.0916,,,,,,,,,,,,,25.6045,
47.244,,,,,,,,,,,,,25.6064,
47.3964,,,,,,,,,,,,,25.6084,
47.5488,,,,,,,,,,,,,25.6103,
47.7012,,,,,,,,,,,,,25.6123,
