DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESS,SP,TEMP,TENS
47.0916,8.5,,,,,,,,,,,,
47.244,8.5,,,,,,,,,,,,
47.3964,8.5,,,,,,,,,,,,
47.5488,8.5,,,,,,,,,,,,
47.7012,8.5,,,,,,,,,,,,
47.8536,8.5,,,,,,,,,,,,
48.006,8.5,,,,,,,,,,,,
48.1584,8.5,,,,,,,,,,,,
48.3108,8.5,,,,,,,,,,,,
48.4632,8.5,,,,,,,,,,,,
48.6156,8.5,,,,,,,,,,,,
48.768,8.5,,,,,,,,,,,,
48.9204,8.5,,,,,,,,,,,,
49.0728,8.5,,,,,,,,,,,,
49.2252,8.5,,,,,,,,,,,,
49.3776,8.5,,,,,,,,,,,,
49.53,8.5,,,,,,,,,,,,
49.6824,8.5,,,,,,,,,,,,
49.8348,8.5,,,,,,,,,,,,
49.9872,8.5,,,,,,,,,,,,
50.1396,8.5,,,,,,,,,,,,
50.292,8.5,,,,,,,,,,,,
50.4444,8.5,,,,,,,,,,,,
50.5968,8.5,,,,,,,,,,,,
50.7492,8.5,,,,,,,,,,,,
50.9016,8.5,,,,,,,,,,,,
51.054,8.5,,,,,,,,,,,,
51.2064,8.5,,,,,,,,,,,,
51.3588,8.5,,,,,,,,,,,,
51.5112,8.5,,,,,,,,,,,,
51.6636,8.5,,,,,,,,,,,,
51.816,8.5,,,,,,,,,,,,
51.9684,8.5,,,,,,,,,,,,
52.1208,8.5,,,,,,,,,,,,
52.2732,8.5,,,,,,,,,,,,
52.4256,8.5,,,,,,,,,,,,
52.578,8.5,,,,,,,,,,,,
52.7304,8.5,,,,,,,,,,,,
52.8828,8.5,,,,,,,,,,,,
53.0352,8.5,,,,,,,,,,,,
53.1876,8.5,,,,,,,,,,,,
53.34,8.5,,,,,,,,,,,,
53.4924,8.5,,,,,,,,,,,,
53.6448,8.5,,,,,,,,,,,,
53.7972,8.5,,,,,,,,,,,,
53.9496,8.5,,,,,,,,,,,,
54.102,8.5,,,,,,,,,,,,
54.2544,8.5,,,,,,,,,,,,
54.4068,8.5,,,,,,,,,,,,
54.5592,8.5,,,,,,,,,,,,
54.7116,8.5,,,,,,,,,,,,
54.864,8.5,,,,,,,,,,,,
55.0164,8.5,,,,,,,,,,,,
55.1688,8.5,,,,,,,,,,,,
55.3212,8.5,,,,,,,,,,,,
55.4736,8.5,,,,,,,,,,,,
55.626,8.5,,,,,,,,,,,,
55.7784,8.5,,,,,,,,,,,,
55.9308,8.5,,,,,,,,,,,,
56.0832,8.5,,,,,,,,,,,,
56.2356,8.5,,,,,,,,,,,,
56.388,8.5,,,,,,,,,,,,
56.5404,8.5,,,,,,,,,,,,
56.6928,8.5,,,,,,,,,,,,
56.8452,8.5,,,,,,,,,,,,
56.9976,8.5,,,,,,,,,,,,
57.15,8.5,,,,,,,,,,,,
57.3024,8.5,,,,,,,,,,,,
57.4548,8.5,,,,,,,,,,,,
57.6072,8.5,,,,,,,,,,,,
57.7596,8.5,,,,,,,,,,,,
57.912,8.5,,,,,,,,,,,,
58.0644,8.5,,,,,,,,,,,,
58.2168,8.5,,,,,,,,,,,,
58.3692,8.5,,,,,,,,,,,,
58.5216,8.5,,,,,,,,,,,,
58.674,8.5,,,,,,,,,,,,
58.8264,8.5,,,,,,,,,,,,
58.9788,8.5,,,,,,,,,,,,
59.1312,8.5,,,,,,,,,,,,
59.2836,8.5,,,,,,,,,,,,
59.436,8.5,,,,,,,,,,,,
59.5884,8.5,,,,,,,,,,,,
59.7408,8.5,,,,,,,,,,,,
59.8932,8.5,,,,,,,,,,,,
60.0456,8.5,,,,,,,,,,,,
60.198,8.5,,,,,,,,,,,,
60.3504,8.5,,,,,,,,,,,,
60.5028,8.5,,,,,,,,,,,,
60.6552,8.5,,,,,,,,,,,,
60.8076,8.5,,,,,,,,,,,,
60.96,8.5,,,,,,,,,,,,
61.1124,8.5,,,,,,,,,,,,
61.2648,8.5,,,,,,,,,,,,
61.4172,8.5,,,,,,,,,,,,
61.5696,8.5,,,,,,,,,,,,
61.722,8.5,,,,,,,,,,,,
61.8744,8.5,,,,,,,,,,,,
62.0268,8.5,,,,,,,,,,,,
62.1792,8.5,,,,,,,,,,,,
62.3316,8.5,,,,,,,,,,,,
62.484,8.5,,,,,,,,,,,,
62.6364,8.5,,,,,,,,,,,,
62.7888,8.5,,,,,,,,,,,,
62.9412,8.5,,,,,,,,,,,,
63.0936,8.5,,,,,,,,,,,,
63.246,8.5,,,,,,,,,,,,
63.3984,8.5,,,,,,,,,,,,
63.5508,8.5,,,,,,,,,,,,
63.7032,8.5,,,,,,,,,,,,
63.8556,8.5,,,,,,,,,,,,
64.008,8.5,,,,,,,,,,,,
64.1604,8.5,,,,,,,,,,,,
64.3128,8.5,,,,,,,,,,,,
64.4652,8.5,,,,,,,,,,,,
64.6176,8.5,,,,,,,,,,,,
64.77,8.5,,,,,,,,,,,,
64.9224,8.5,,,,,,,,,,,,
65.0748,8.5,,,,,,,,,,,,
65.2272,8.5,,,,,,,,,,,,
65.3796,8.5,,,,,,,,,,,,
65.532,8.5,,,,,,,,,,,,
65.6844,8.5,,,,,,,,,,,,
65.8368,8.5,,,,,,,,,,,,
65.9892,8.5,,,,,,,,,,,,
66.1416,8.5,,,,,,,,,,,,
66.294,8.5,,,,,,,,,,,,
66.4464,8.5,,,,,,,,,,,,
66.5988,8.5,,,,,,,,,,,,
66.7512,8.5,,,,,,,,,,,,
66.9036,8.5,,,,,,,,,,,,
67.056,8.5,,,,,,,,,,,,
67.2084,8.5,,,,,,,,,,,,
67.3608,8.5,,,,,,,,,,,,
