DEPTH,BS,CALI,DENS,DENS_CORR,DRHO,DTC,DTS,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
4.572,12.25,,,,,,,,,,,,,,,,
4.7244,12.25,,,,,,,,,,,,,,,,
4.8768,12.25,,,,,,,,,,,,,,,,
5.0292,12.25,,,,,,,,,,,,,,,,
5.1816,12.25,,,,,,,,,,,,,,,,
5.334,12.25,,,,,,,,,,,,,,,,
5.4864,12.25,,,,,,,,,,,,,,,,
5.6388,12.25,,,,,,,,,,,,,,,,
5.7912,12.25,,,,,,,,,,,,,,,,
5.9436,12.25,,,,,,,,,,,,,,,,
6.096,12.25,,,,,,,,,,,,,,,,
6.2484,12.25,,,,,,,,,,,,,,,,
6.4008,12.25,,,,,,,,,,,,,,,,
6.5532,12.25,,,,,,,,,,,,,,,,
6.7056,12.25,,,,,,,,,,,,,,,,
6.858,12.25,,,,,,,,,,,,,,,,
7.0104,12.25,,,,,,,,,,,,,,,,
7.1628,12.25,,,,,,,,,,,,,,,,
7.3152,12.25,,,,,,,,,,,,,,,,
7.4676,12.25,,,,,,,,,,,,,,,,
7.62,12.25,,,,,,,,,,,,,,,,
7.7724,12.25,,,,,,,,,,,,,,,,
7.9248,12.25,,,,,,,,,,,,,,,,
8.0772,12.25,,,,,,,,,,,,,,,,
8.2296,12.25,,,,,,,,,,,,,,,,
8.382,12.25,,,,,,,,,,,,,,,,
8.5344,12.25,,,,,,,,,,,,,,,,
8.6868,12.25,,,,,,,,,,,,,,,,
8.8392,12.25,,,,,,,,,,,,,,,,
8.9916,12.25,,,,,,,,,,,,,,,,
9.144,12.25,,,,,,,,,,,,,,,,
9.2964,12.25,,,,,,,,,,,,,,,,
9.4488,12.25,,,,,,,,,,,,,,,,
9.6012,12.25,,,,,,,,,,,,,,,,
9.7536,12.25,,,,,,,,,,,,,,,,
9.906,12.25,,,,,,,,,,,,,,,,
10.0584,12.25,,,,,,,,,,,,,,,,
10.2108,12.25,,,,,,,,,,,,,,,,
10.3632,12.25,,,,,,,,,,,,,,,,
10.5156,12.25,,,,,,,,,,,,,,,,
10.668,12.25,,,,,,,,,,,,,,,,
10.8204,12.25,,,,,,,,,,,,,,,,
10.9728,12.25,,,,,,,,,,,,,,,,
11.1252,12.25,,,,,,,,,,,,,,,,
11.2776,12.25,,,,,,,,,,,,,,,,
11.43,12.25,,,,,,,,,,,,,,,,
11.5824,12.25,,,,,,,,,,,,,,,,
11.7348,12.25,,,,,,,,,,,,,,,,
11.8872,12.25,,,,,,,,,,,,,,,,
12.0396,12.25,,,,,,,,,,,,,,,,
12.192,12.25,,,,,,,,,,,,,,,,
12.3444,12.25,,,,,,,,,,,,,,,,
12.4968,12.25,,,,,,,,,,,,,,,,
12.6492,12.25,,,,,,,,,,,,,,,,
12.8016,12.25,,,,,,,,,,,,,,,,
12.954,12.25,,,,,,,,,,,,,,,,
13.1064,12.25,,,,,,,,,,,,,,,,
13.2588,12.25,,,,,,,,,,,,,,,,
13.4112,12.25,,,,,,,,,,,,,,,,
13.5636,12.25,,,,,,,,,,,,,,,,
13.716,12.25,,,,,,,,,,,,,,,,
13.8684,12.25,,,,,,,,,,,,,,,,
14.0208,12.25,,,,,,,,,,,,,,,,
14.1732,12.25,,,,,,,,,,,,,,,,
14.3256,12.25,,,,,,,,,,,,,,,,
14.478,12.25,,,,,,,,,,,,,,,,
14.6304,12.25,,,,,,,,,,,,,,,,
14.7828,12.25,,,,,,,,,,,,,,,,
14.9352,12.25,,,,,,,,,,,,,,,,
15.0876,12.25,,,,,,,,,,,,,,,,
15.24,12.25,,,,,,,,,,,,,,,,
15.3924,12.25,,,,,,,,,,,,,,,,
15.5448,12.25,,,,,,,,,,,,,,,,
15.6972,12.25,,,,,,,,,,,,,,,,
15.8496,12.25,,,,,,,,,,,,,,,,
16.002,12.25,,,,,,,,,,,,,,,,
16.1544,12.25,,,,,,,,,,,,,,,,
16.3068,12.25,,,,,,,,,,,,,,,,
16.4592,12.25,,,,,,,,,,,,,,,,
16.6116,12.25,,,,,,,,,,,,,,,,
16.764,12.25,,,,,,,,,,,,,,,,
16.9164,12.25,,,,,,,,,,,,,,,,
17.0688,12.25,,,,,,,,,,,,,,,,
17.2212,12.25,,,,,,,,,,,,,,,,
17.3736,12.25,,,,,,,,,,,,,,,,
17.526,12.25,,,,,,,,,,,,,,,,
17.6784,12.25,,,,,,,,,,,,,,,,
