DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS
2.5908,,,,,,,,,,,,,29.5321,652.7882
2.7432,,,,,,,,,,,,,29.5321,652.7882
2.8956,,,,,,,,,,,,,29.5321,652.7882
3.048,,,,,,,,,,,,,29.5321,652.7882
3.2004,,,,,,,,,,,,,29.5321,652.7882
3.3528,,,,,,,,,,,,,29.5321,652.7882
3.5052,,,,,,,,,,,,,29.5321,652.7882
3.6576,,,,,,,,,,,,,29.5321,652.7882
3.81,,,,,,,,,,,,,29.5321,652.7882
3.9624,,,,,,,,,,,,,29.5321,652.7882
4.1148,,,,,,,,,,,,,29.5321,652.7882
4.2672,,,,,,,,,,,,,29.5321,652.7882
4.4196,,,,,,,,,,,,,29.5321,652.7882
4.572,,,,,,,,,,,,,29.5321,652.7882
4.7244,,,,,,,,,,,,,29.5321,652.7882
4.8768,,,,,,,,,,,,,29.5321,652.7882
5.0292,,,,,,,,,,,,,29.5321,652.7882
5.1816,,,,,,,,,,,,,29.5321,652.7882
5.334,,,,,,,,,,,,,29.5321,652.7882
5.4864,,,,,,,,,,,,,29.5321,652.7882
5.6388,,,,,,,,,,,,,29.5321,652.7882
5.7912,,,,,,,,,,,,,29.5321,652.7882
5.9436,,,,,,,,,,,,,29.5321,652.7882
6.096,,,,,,,,,,,,,29.5321,652.7882
6.2484,,,,,,,,,,,,,29.5321,652.7882
6.4008,,,,,,,,,,,,,29.5321,652.7882
6.5532,,,,,,,,,,,,,29.5321,652.7882
6.7056,,,,,,,,,,,,,29.5321,652.7882
6.858,,,,,,,,,,,,,29.5321,652.7882
7.0104,,,,,,,,,,,,,29.5321,652.7882
7.1628,,,,,,,,,,,,,29.5321,652.7882
7.3152,,,,,,,,,,,,,29.5321,652.7882
7.4676,,,,,,,,,,,,,29.5321,652.7882
7.62,17.0,,,,,,,,,,,,29.5321,652.7882
7.7724,17.0,,,,,,,,,,,,29.5321,652.7882
7.9248,17.0,,,,,,,,,,,,29.5321,652.7882
8.0772,17.0,,,,,,,,,,,,29.5321,652.7882
8.2296,17.0,,,,,,,,,,,,29.5321,652.7882
