DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,NEUT_CORR,PEF,RESD,RESM,RESS,SP,TEMP,TENS
55.626,12.25,,,,,,,,,,,,,30.9302,684.2317
55.7784,12.25,,,,,,,,,,,,,30.9302,682.8817
55.9308,12.25,,,,,,,,,,,,,30.9302,681.5316
56.0832,12.25,,,,,,,,,,,,,30.9302,682.0785
56.2356,12.25,,,,,,,,,,,,,30.9302,684.2031
56.388,12.25,,,,,,,,,,,,,30.9302,686.3276
56.5404,12.25,,,,,,,,,,,,,30.9302,687.6678
56.6928,12.25,,,,,,,,,,,,,30.9302,686.8331
56.8452,12.25,,,,,,,,,,,,,30.9302,685.9984
56.9976,12.25,,,,,,,,,,,,,30.9302,685.1637
57.15,12.25,,,,,,,,,,,,,30.9302,684.4869
57.3024,12.25,,,,,,,,,,,,,30.9302,683.8126
57.4548,12.25,,,,,,,,,,,,,30.9302,683.1383
57.6072,12.25,,,,,,,,,,,,,30.9302,683.5315
57.7596,12.25,,,,,,,,,,,,,30.9302,684.3749
57.912,12.25,,,,,,,,,,,,,30.9302,685.2182
58.0644,12.25,,,,,,,,,,,,,30.9302,685.8053
58.2168,12.25,,,,,,,,,,,,,30.9302,686.0422
58.3692,12.25,,,,,,,,,,,,,30.9302,686.2792
58.5216,12.25,,,,,,,,,,,,,30.9302,686.7569
58.674,12.25,,,,,,,,,,,,,30.9302,688.6932
58.8264,12.25,,,,,,,,,,,,,30.9302,690.6294
58.9788,12.25,,,,,,,,,,,,,30.9302,692.5657
59.1312,12.25,,,,,,,,,,,,,30.9302,692.9664
59.2836,12.25,,,,,,,,,,,,,30.9302,693.1189
59.436,12.25,,,,,,,,,,,,,30.9302,693.2714
59.5884,12.25,,,,,,,,,,,,,30.9302,693.0148
59.7408,12.25,,,,,,,,,,,,,30.9302,692.4618
59.8932,12.25,,,,,,,,,,,,,30.9302,691.9089
60.0456,12.25,,,,,,,,,,,,,30.9302,691.1231
60.198,12.25,,,,,,,,,,,,,30.9302,689.7922
60.3504,12.25,,,,,,,,,,,,,30.9302,688.4613
60.5028,12.25,,,,,,,,,,,,,30.9302,687.1692
60.6552,12.25,,,,,,,,,,,,,30.9302,687.95
60.8076,12.25,,,,,,,,,,,,,30.9302,688.7308
60.96,12.25,,,,,,,,,,,,,30.9302,689.5116
61.1124,12.25,,,,,,,,,,,,,30.9302,690.46
61.2648,12.25,,,,,,,,,,,,,30.9302,691.468
61.4172,12.25,,,,,,,,,,,,,30.9302,692.476
61.5696,12.25,,,,,,,,,,,,,30.9302,692.373
61.722,12.25,,,,,,,,,,,,,30.9302,690.9483
61.8744,12.25,,,,,,,,,,,,,30.9302,689.5236
62.0268,12.25,,,,,,,,,,,,,30.9302,688.6108
62.1792,12.25,,,,,,,,,,,,,30.9302,690.097
62.3316,12.25,,,,,,,,,,,,,30.9302,691.5833
62.484,12.25,,,,,,,,,,,,,30.9302,693.0696
62.6364,12.25,,,,,,,,,,,,,30.9302,691.4899
62.7888,12.25,,,,,,,,,,,,,30.9302,689.5505
62.9412,12.25,,,,,,,,,,,,,30.9302,687.6111
63.0936,12.25,,,,,,,,,,,,,30.9302,687.4003
63.246,12.25,,,,,,,,,,,,,30.9302,688.2753
63.3984,12.25,,,,,,,,,,,,,30.9302,689.1504
63.5508,12.25,,,,,,,,,,,,,30.9302,690.0821
63.7032,12.25,,,,,,,,,,,,,30.9302,691.127
63.8556,12.25,,,,,,,,,,,,,30.9302,692.1719
64.008,12.25,,,,,,,,,,,,,30.9302,693.0875
64.1604,12.25,,,,,,,,,,,,,30.9302,691.6691
64.3128,12.25,,,,,,,,,,,,,30.9302,690.2508
64.4652,12.25,,,,,,,,,,,,,30.9302,688.8324
64.6176,12.25,,,,,,,,,,,,,30.9302,689.623
64.77,12.25,,,,,,,,,,,,,30.9302,691.0671
64.9224,12.25,,,,,,,,,,,,,30.9302,692.5114
65.0748,12.25,,,,,,,,,,,,,30.9302,692.7386
65.2272,12.25,,,,,,,,,,,,,30.9302,691.7034
65.3796,12.25,,,,,,,,,,,,,30.9302,690.6682
