DEPT,RHO8,PEFZ,DT,RLA2,RLA4,RT,RLA0,RXO8,GR,BS,CALI,TVDSS,TENS,RLA3,RLA1,RLA5,SP,HDRA,TNPH
11.887,,,,,,,,,,,,,,,,,,,
12.04,,,,,,,,,,,,,,,,,,,
12.192,,,,,,,,,,12.25,,,,,,,,,
12.344,,,,,,,,,,12.25,,,,,,,,,
12.497,,,,,,,,,,12.25,,,,,,,,,
12.649,,,,,,,,,,12.25,,,,,,,,,
12.802,,,,,,,,,,12.25,,,,,,,,,
12.954,,,,,,,,,,12.25,,,,,,,,,
13.106,,,,,,,,,,12.25,,,,,,,,,
13.259,,,,,,,,,,12.25,,,,,,,,,
13.411,,,,,,,,,,12.25,,,,,,,,,
13.564,,,,,,,,,,12.25,,,,,,,,,
13.716,,,,,,,,,,12.25,,,,,,,,,
13.868,,,,,,,,,,12.25,,,,,,,,,
14.021,,,,,,,,,,12.25,,,,,,,,,
14.173,,,,,,,,,,12.25,,,,,,,,,
14.326,,,,,,,,,,12.25,,,,,,,,,
14.478,,,,,,,,,,12.25,,,,,,,,,
14.63,,,,,,,,,,12.25,,,,,,,,,
14.783,,,,,,,,,,12.25,,,,,,,,,
14.935,,,,,,,,,,12.25,,,,,,,,,
15.088,,,,,,,,,,12.25,,,,,,,,,
15.24,,,,,,,,,,12.25,,,,,,,,,
15.392,,,,,,,,,26.688,12.25,,,,,,,,,
15.545,,,,,,,,,23.949,12.25,,,,,,,,,
15.697,,,,,,,,,20.988,12.25,,,,,,,,,
15.85,,,,,,,,,21.828,12.25,,,,,,,,,
16.002,,,,,,,,,28.633,12.25,,,,,,,,,
16.154,,,,,,,,,24.921,12.25,,,,,,,,,
16.307,,,,,,,,,19.486,12.25,,,,,,,,,
16.459,,,,,,,,,25.451,12.25,,,,,,,,,
16.612,,,,,,,,,23.794,12.25,,,,,,,,,
16.764,,,,,,,,,27.174,12.25,,,,,,,,,
16.916,,,,,,,,,23.065,12.25,,,,,,,,,
17.069,,,,,,,,,19.287,12.25,,,,,,,,,
17.221,,,,,,,,,24.523,12.25,,,,,,,,,1.123
17.374,,,,,,,,,24.855,12.25,,,,,,,,,1.088
17.526,,,,,,,,,22.137,12.25,,,,,,,,,1.065
17.678,,,,,,,,,17.961,12.25,,,,,,,,,1.09
17.831,,,,,,,,,22.999,12.25,,,,,,,,,1.011
17.983,,,,,,,,,22.734,12.25,,,,,,,,,1.034
18.136,,,,,,,,,20.745,12.25,,,,,,,,,0.968
18.288,,,,,,,,,22.204,12.25,,,,,,,,,1.102
18.44,,,,,,,,,20.679,12.25,,,,,,,,,0.98
18.593,,,,,,,,,22.535,12.25,,,,,,,,,1.08
18.745,,,,,,,,,20.348,12.25,,,,,,,,,1.102
18.898,,,,,,,,,17.431,12.25,,,,,,,,,1.379
19.05,,,,,,,,,22.601,12.25,,,,,,,,,1.42
19.202,,,,,,,,,26.777,12.25,,,,,,,,,1.235
19.355,,,,,,,,,27.705,12.25,,,,,,,,,1.176
19.507,,,,,,,,,27.241,12.25,,,,,,,,,1.11
19.66,,,,,,,,,20.944,12.25,,,,,,,,,0.957
19.812,,,,,,,,,23.927,12.25,,,,,,,,,0.91
19.964,,,,,,,,,27.638,12.25,,,,,,,,,0.83
20.117,,,,,,,,,20.944,12.25,,,,,,,,,0.866
20.269,,,,,,,,,23.662,12.25,,,,,,,,,0.925
20.422,,,,,,,,,22.535,12.25,,,,,,,,,0.956
20.574,,,,,,,,,27.904,12.25,,,,,,,,,1.226
20.726,,,,,,,,,24.325,12.25,,,,,,,,,1.292
20.879,,,,,,,,,23.661,12.25,,,,,,,,,1.511
21.031,,,,,,,,0.035,24.06,12.25,4.124,,,,,,,,1.257
21.184,2.593,10.0,,,,,,0.035,25.44,12.25,4.117,,,,,,,0.116,1.318
21.336,2.593,10.0,,,,,,0.035,30.237,12.25,4.131,,,,,,,0.116,1.333
21.488,2.593,10.0,,,,,,0.035,17.833,12.25,4.128,,,,,,,0.116,1.297
21.641,2.593,10.0,,,,,,0.035,22.474,12.25,4.128,,,,,,,0.116,0.971
