DEPTH,BS:1,BS:2,BS:3,BS:4,BS:5,BS:6,DNPH:1,DNPH:2,DTCO:1,DTCO:2,DTCO:3,DTCO:4,DTRP:1,DTRP:2,DTRP:3,DTRP:4,DTRS:1,DTRS:2,DTRS:3,DTRS:4,DTSM:1,DTSM:2,DTSM:3,DTSM:4,DTTP:1,DTTP:2,DTTP:3,DTTP:4,DTTS:1,DTTS:2,DTTS:3,DTTS:4,DT_XD_R,DT_XD_T,ECGR:1,ECGR:2,ECGR:3,ECGR:4,ECGR:5,EHGR,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HMIN:1,HMIN:2,HMNO:1,HMNO:2,HTEM:1,HTEM:2,HTNP,PEF8,PEFZ,RHO8,RHOZ,RLA1:1,RLA1:2,RLA2:1,RLA2:2,RLA3:1,RLA3:2,RLA4:1,RLA4:2,RLA5:1,RLA5:2,RT_HRLT:1,RT_HRLT:2,RXO8,RXOZ,RXO_HRLT:1,RXO_HRLT:2,SP:1,SP:2,TENS:1,TENS:2,TENS:3,TENS:4,TENS:5,TENS:6,TNPH
46.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3221,,17.3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.4548,,846.4548,,,
46.9392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5059,,17.5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.8674,,847.8674,,,
47.0916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9486,,16.9486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.2646,,843.2646,,,
47.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4112,,18.4112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.3163,,852.3163,,,
47.3964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4308,,18.4308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.9291,,852.9291,,,
47.5488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0279,,19.0279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.2544,,854.2544,,,
47.7012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0119,,19.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.1076,,853.1076,,,
47.8536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8433,,18.8433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.1416,,859.1416,,,
48.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.664,,17.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.6884,,851.6884,,,
48.1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4711,,17.4711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.6992,,847.6992,,,
