DEPTH,BS,DI_HRLT,DPH8,DSO8,DT,EHGR_EDTC,HCAL,HDRA,HGR,HGR_EDTC,HMIN,HMNO,HNPO,HTEM,HTNP,PEF8,PEM8,REMS,RHO8,RLA0,RLA1,RLA2,RLA3,RLA4,RLA5,RM_HRLT,ROM8,RO_HILT,RSO8,RT,RT_HRLT,RXO8,RXO_HRLT,SP,SPHI,TENS,TNPH
2.5908,,3.8104,0.2753,-0.0162,,48.4431,3.8012,0.0513,97.5151,60.9075,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
2.7432,,3.8104,0.2753,-0.0162,,74.0557,3.8012,0.0513,101.2545,93.1103,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
2.8956,,3.8104,0.2753,-0.0162,,99.6684,3.8012,0.0513,104.9939,125.3132,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
3.048,,3.8104,0.2753,-0.0162,,110.7203,3.8012,0.0513,103.9239,139.2087,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
3.2004,,3.8104,0.2753,-0.0162,,90.1025,3.8012,0.0513,92.3933,113.286,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
3.3528,,3.8104,0.2753,-0.0162,,69.4847,3.8012,0.0513,80.8627,87.3633,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
3.5052,,3.8104,0.2753,-0.0162,,49.2534,3.8012,0.0513,70.2856,61.9263,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
3.6576,,3.8104,0.2753,-0.0162,,39.9591,3.8012,0.0513,86.6993,50.2407,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
3.81,,3.8104,0.2753,-0.0162,,30.6649,3.8012,0.0513,103.1131,38.5551,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
3.9624,,3.8104,0.2753,-0.0162,,21.3707,3.8012,0.0513,119.5268,26.8694,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
4.1148,,3.8104,0.2753,-0.0162,,18.5263,3.8012,0.0513,110.2426,23.2932,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
4.2672,,3.8104,0.2753,-0.0162,,17.7944,3.8012,0.0513,92.5417,22.3729,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
4.4196,,3.8104,0.2753,-0.0162,,17.0625,3.8012,0.0513,74.8408,21.4527,,,0.0973,29.5321,0.0973,9.9608,1.5,0.1965,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0963
4.572,,3.8104,0.2753,-0.0162,,16.341,3.8012,0.0513,59.1089,20.5455,,,0.0949,29.5321,0.0948,9.9608,1.5,0.196486,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0935
4.7244,,3.8104,0.2753,-0.0162,,15.6311,3.8012,0.0513,45.5757,19.6529,,,0.0898,29.5321,0.0896,9.9608,1.5,0.196455,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0875
4.8768,,3.8104,0.2753,-0.0162,,14.9212,3.8012,0.0513,32.0425,18.7604,,,0.0847,29.5321,0.0844,9.9608,1.5,0.196425,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0815
5.0292,,3.8104,0.2753,-0.0162,,15.2187,3.8012,0.0513,21.6514,19.1345,,,0.0752,29.5321,0.0737,9.9608,1.5,0.1964,2.2393,0.0347,0.0342,0.0294,0.0268,0.0246,0.0201,0.04,1.3,2.9805,0.3119,0.0187,0.0201,0.0593,0.0201,-154.9141,,652.7882,0.0703
