DEPTH,BS:1,BS:2,BS:3,DNPH:1,DNPH:2,DNPH:3,DT:1,DT:2,DT:3,ECGR,EHGR:1,EHGR:2,HCAL:1,HCAL:2,HCAL:3,HDRA:1,HDRA:2,HDRA:3,HMIN:1,HMIN:2,HMIN:3,HMNO:1,HMNO:2,HMNO:3,HTEM:1,HTEM:2,HTEM:3,HTNP:1,HTNP:2,PEF8:1,PEF8:2,PEFZ,RHO8:1,RHO8:2,RHOZ,RLA1:1,RLA1:2,RLA1:3,RLA2:1,RLA2:2,RLA2:3,RLA3:1,RLA3:2,RLA3:3,RLA4:1,RLA4:2,RLA4:3,RLA5:1,RLA5:2,RLA5:3,RT_HRLT:1,RT_HRLT:2,RT_HRLT:3,RXO8:1,RXO8:2,RXOZ,RXO_HRLT:1,RXO_HRLT:2,RXO_HRLT:3,SP:1,SP:2,SP:3,TENS:1,TENS:2,TENS:3,TNPH
53.34,,,8.5,,,0.0277638,,,79.626,20.8308,,,,,3.5536,,,0.1514,,,0.1146,,,0.079,,,27.4537,,,,,8.6619,,,1.9661,,,0.0395,,,0.0344,,,0.0321,,,0.0299,,,0.0292,,,0.0292,,,0.0825,,,0.0292,,,177.2097,,,681.6002,0.955
53.4924,,,8.5,,,0.0304119,,,79.626,19.6036,,,,,3.5536,,,0.1514,,,0.1145,,,0.0789,,,27.4537,,,,,8.6619,,,1.9661,,,0.0393,,,0.0342,,,0.032,,,0.0298,,,0.0291,,,0.0291,,,0.0823,,,0.0291,,,178.1694,,,678.604,1.024
53.6448,,,8.5,,,0.0297296,,,79.626,20.2006,,,,,3.5536,,,0.1514,,,0.1137,,,0.0784,,,27.4537,,,,,8.6619,,,1.9661,,,0.0386,,,0.0337,,,0.0315,,,0.0294,,,0.0288,,,0.0288,,,0.0822,,,0.0288,,,179.3347,,,674.2203,1.0063
53.7972,,,8.5,,,0.0261901,,,79.626,22.6633,,,,,3.5536,,,0.1514,,,0.1131,,,0.0781,,,27.4537,,,,,8.6619,,,1.9661,,,0.0386,,,0.0336,,,0.0314,,,0.0293,,,0.0286,,,0.0286,,,0.0819,,,0.0286,,,180.6028,,,669.8633,0.914
53.9496,,,8.5,,,0.0261,,,79.626,23.8521,,,,,3.5536,,,0.1514,,,0.1133,,,0.0781,,,27.4537,,,,,8.6619,,,1.9661,,,0.0377,,,0.0327,,,0.0306,,,0.0286,,,0.028,,,0.028,,,0.0818,,,0.028,,,181.7792,,,670.905,0.9126
54.102,,,8.5,,,0.0262764,,,79.626,25.1409,,,,,3.5536,,,0.1514,,,0.1138,,,0.0782,,,27.4537,,,,,8.6619,,,1.9661,,,0.0365,,,0.0319,,,0.0299,,,0.028,,,0.0277,,,0.0277,,,0.0817,,,0.0277,,,182.7792,,,668.6548,0.9176
54.2544,,,8.5,,,0.0250006,,,79.626,24.824,,,,,3.5536,,,0.1514,,,0.1136,,,0.0781,,,27.4537,,,,,8.6619,,,1.9661,,,0.0372,,,0.0325,,,0.0303,,,0.0283,,,0.0276,,,0.0276,,,0.0815,,,0.0276,,,183.6028,,,667.0942,0.8825
54.4068,,,8.5,,,0.0286165,,,80.131,24.4534,,,,,3.5536,,,0.1514,,,0.114,,,0.0781,,,27.4537,,,,,8.6619,,,1.9661,,,0.0373,,,0.0325,,,0.0303,,,0.0282,,,0.0271,,,0.0271,,,0.0813,,,0.0271,,,184.3347,,,664.3098,0.9773
54.5592,,,8.5,,,0.0348537,,,81.6009,22.5302,,,,,3.5536,,,0.1504,,,0.1138,,,0.0779,,,27.4537,,,,,8.6676,,,1.9619,,,0.0366,,,0.0318,,,0.0297,,,0.0277,,,0.0266,,,0.0266,,,0.0808,,,0.0266,,,185.1139,,,664.9575,1.1258
54.7116,,,8.5,,,0.0498128,,,80.8767,21.517,,,,,3.5536,,,0.1458,,,0.1119,,,0.0769,,,27.4537,,,,,8.6932,,,1.9415,,,0.0375,,,0.0325,,,0.0303,,,0.0283,,,0.0273,,,0.0273,,,0.0801,,,0.0273,,,185.875,,,662.2449,1.473
