wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-A10,Clean,280.111,12.25,11.32,2.197,0.024,137.954,100.646,0.406,2.774,29.38,27.932,12.437,-84.092,280.1114545
Cheal-A10,Clean,280.264,12.25,11.055,2.191,0.02,137.87,105.712,0.455,2.863,28.12,26.167,12.143,-85.821,280.2638303
Cheal-A10,Clean,280.416,8.5,11.04,2.178,0.027,137.786,104.07,0.478,2.73,28.159,26.034,11.795,-87.579,280.4162061
Cheal-A10,Clean,280.568,8.5,11.278,2.172,0.034,138.268,106.408,0.444,2.801,30.392,27.168,11.102,-89.238,280.5685818
Cheal-A10,Clean,280.721,8.5,11.32,2.203,0.043,138.396,109.047,0.455,2.826,29.463,26.128,11.895,-90.825,280.7209576
Cheal-A10,Clean,280.873,8.5,11.481,2.222,0.048,138.45,109.013,0.478,3.03,28.99,25.301,11.488,-92.238,280.8733333
Cheal-A10,Clean,281.026,8.5,11.55,2.184,0.052,138.78,108.589,0.48,2.835,28.041,23.634,10.218,-93.492,281.026
Cheal-A10,Clean,281.178,8.5,11.239,2.159,0.047,137.321,103.891,0.48,2.856,28.438,23.303,10.458,-94.762,281.178
Cheal-A10,Clean,281.33,8.5,11.048,2.196,0.031,136.874,107.474,0.441,2.902,30.163,24.528,12.944,-95.717,281.33
Cheal-A10,Clean,281.483,8.5,10.733,2.237,0.013,136.367,104.739,0.457,2.917,31.84,25.75,13.27,-96.617,281.483
Cheal-A10,Clean,281.635,8.5,10.595,2.228,-0.001,135.116,105.744,0.433,2.829,27.927,22.614,10.036,-97.417,281.635
Cheal-A10,Clean,281.788,8.5,10.491,2.246,-0.005,135.344,102.225,0.416,2.986,29.927,24.174,9.878,-98.254,281.788
Cheal-A10,Clean,281.94,8.5,8.8,2.23,-0.007,134.685,106.917,0.412,2.963,32.694,26.47,11.638,-99.074,281.94
Cheal-A10,Clean,282.092,8.5,8.731,2.232,-0.007,134.274,112.523,0.397,2.94,31.124,25.188,11.925,-99.7,282.092
Cheal-A10,Clean,282.245,8.5,8.785,2.225,-0.007,134.462,113.784,0.383,2.862,31.754,25.542,10.815,-100.192,282.245
Cheal-A10,Clean,282.397,8.5,8.839,2.224,-0.006,134.708,113.784,0.38,2.829,32.436,25.957,11.401,-100.283,282.397
Cheal-A10,Clean,282.55,8.5,8.662,2.204,-0.004,135.416,112.376,0.384,3.025,29.701,23.719,11.02,-100.9,282.551
Cheal-A10,Clean,282.702,8.5,8.578,2.181,0.001,136.266,116.951,0.416,2.834,29.748,23.778,10.942,-101.717,282.7061
Cheal-A10,Clean,282.854,8.5,8.586,2.161,0.011,136.901,117.42,0.382,2.748,29.913,23.859,10.96,-102.529,282.8611
Cheal-A10,Clean,283.007,8.5,8.447,2.205,0.018,136.762,110.499,0.4,2.874,31.497,25.218,11.28,-103.195,283.0169
Cheal-A10,Clean,283.159,8.5,8.352,2.215,0.016,136.713,107.801,0.403,2.89,33,26.545,11.754,-103.588,283.1658
Cheal-A10,Clean,283.312,8.5,8.432,2.222,0.008,136.451,107.215,0.407,2.925,27.869,22.765,10.691,-103.779,283.3158
Cheal-A10,Clean,283.464,8.5,8.743,2.231,0.002,136.54,115.342,0.43,2.69,26.869,22.01,10.354,-104.066,283.4647
Cheal-A10,Clean,283.616,8.5,8.674,2.217,0.005,137.453,115.811,0.392,2.864,31.399,25.596,11.57,-104.3,283.6183
Cheal-A10,Clean,283.769,8.5,8.639,2.208,0.008,137.878,113.583,0.39,2.967,28.965,23.643,11.199,-104.558,283.7744
Cheal-A10,Clean,283.921,8.5,8.536,2.191,0.009,139.858,108.271,0.368,2.908,28.173,22.993,11.136,-104.904,283.9294
Cheal-A10,Clean,284.074,8.5,8.329,2.218,0.011,139.982,110.633,0.379,2.951,28.35,23.205,11.254,-105.171,284.084
Cheal-A10,Clean,284.226,8.5,8.225,2.205,0.009,137.442,111.806,0.39,2.82,29.384,24.12,11.452,-105.5,284.236
Cheal-A10,Clean,284.378,8.5,8.225,2.212,0.009,136.868,117.085,0.377,2.952,29.19,24.13,11.248,-105.963,284.388
Cheal-A10,Clean,284.531,8.5,8.639,2.207,0.004,136.417,117.186,0.383,2.871,30.378,24.943,11.044,-106.267,284.5404
Cheal-A10,Clean,284.683,8.5,8.685,2.202,0.002,136.216,120,0.36,2.842,30.554,25.131,11.346,-106.208,284.6893
Cheal-A10,Clean,284.836,8.5,8.609,2.215,0,138.184,112.611,0.37,2.696,29.549,24.392,11.804,-105.992,284.8393
Cheal-A10,Clean,284.988,8.5,8.524,2.219,-0.003,136.462,109.619,0.387,2.804,27.958,23.078,11.579,-105.963,284.9883
Cheal-A10,Clean,285.14,8.5,8.513,2.218,-0.006,136.833,109.854,0.379,2.754,27.705,22.785,11.382,-106.033,285.14
Cheal-A10,Clean,285.293,8.5,8.57,2.199,-0.006,137.354,107.743,0.42,2.928,29.879,24.466,11.849,-106.171,285.293
Cheal-A10,Clean,285.445,8.5,8.632,2.201,-0.005,137.838,106.394,0.415,2.891,30.514,24.917,12.247,-106.137,285.445
Cheal-A10,Clean,285.598,8.5,8.685,2.192,-0.004,137.544,103.226,0.43,2.822,26.826,22.046,11.883,-106.208,285.598
Cheal-A10,Clean,285.75,8.5,8.708,2.219,-0.004,137.939,106.042,0.4,2.826,26.436,21.784,12.405,-106.725,285.75
Cheal-A10,Clean,285.902,8.5,8.754,2.213,-0.005,137.948,105.883,0.422,2.83,28.702,23.591,13.142,-107.297,285.902
Cheal-A10,Clean,286.055,8.5,8.731,2.203,-0.006,137.677,108.112,0.414,2.82,29.017,23.85,13.029,-108.225,286.0561
