DEPT,UZ,RLA3,AZIM,CVEL:1,TNPH_LIM:1,RT,DPHI_LIM:1,NPOR:1,CVEL:2,DCAL,NPHI_SAN,NPOR:2,INCL,RHOZ,BS,TNPH_SAN:1,DT,DPHI_SAN:1,RLA2,NPOR_DOL:1,SMIN,DPHI_DOL:1,ITT,TNPH_DOL:1,GR:1,TENS:1,DPHI_DOL:2,RLA5,CALI,RLA4,TNPH:1,TNPH_DOL:2,NPHI_LIM,NPOR_SAN:1,RLA0,GR:2,RO,NPOR_DOL:2,CS:1,GR:3,NPOR_LIM:1,RSOZ,RHGX,MRES,PEFZ,VCL,SPHI,GR:4,NPHI_DOL,DPHI_SAN:2,DPHI_LIM:2,GDEV_EDTC,DSOZ,TNPH_LIM:2,TENS:2,SMNO,NPOR_SAN:2,CS:2,TNPH:2,NPHI,TNPH_SAN:2,DPHZ,HTEN,SVEL,RLA1,RXOZ,RXO,NPOR_LIM:2
1449.9336,7.5364,5.13158,,,0.32849,5.67757,0.16873,0.34067,-427.531,-0.01022,,0.33249,,2.41374,8.5,0.37455,99.91819,0.13851,4.97834,0.29821,0.88404,0.23164,0.07766,0.28686,114.3309,3494.00083,0.23582,5.2931,8.48978,5.1976,0.32842,0.2868,,0.38662,0.09419,111.1368,11.34443,0.29059,,117.3735,0.33249,0.06503,2.91066,0.0966,3.10025,0.70105,0.27471,122.9301,,0.14319,0.17325,33.25493,0.09772,0.32842,,1.05561,0.37856,427.531,0.32849,,0.37461,0.17325,,3050.495,4.70707,2.5571,3.25396,0.34067
1450.086,7.51564,5.48669,317.37,-546.6466,0.32108,6.12348,0.17121,0.3164,-553.998,-0.01022,0.35775,0.28946,33.6,2.40863,8.5,0.3684,98.46412,0.14107,5.3131,0.27627,1.06186,0.23393,0.07761,0.28062,106.1166,3518.66686,0.23858,5.66667,8.48978,5.55679,0.32172,0.28115,0.31145,0.36318,0.0939,112.7414,11.49557,0.25132,546.6466,118.8614,0.28946,0.06634,2.89926,0.09635,3.09779,0.7134,0.26954,123.1323,0.25969,0.14629,0.17624,33.27097,0.07264,0.32172,3519.16594,1.21666,0.33637,553.998,0.32108,0.31145,0.36782,0.17624,1200.97771,3095.544,5.00434,2.89389,3.42506,0.3164
1450.2384,7.57293,5.43119,317.37,-563.1535,0.30582,6.06016,0.14854,0.29509,-564.3588,-0.01022,0.36547,0.32385,33.6,2.41655,8.5,0.3535,98.03852,0.11758,5.27542,0.25777,0.9223,0.21298,0.07756,0.26772,117.6984,3616.00014,0.2343,5.61191,8.48978,5.50515,0.30559,0.26752,0.31791,0.34302,0.09493,114.6811,12.27923,0.28452,563.1535,111.174,0.32385,0.07052,2.88852,0.09639,3.11191,0.72832,0.268,110.9518,0.26926,0.14148,0.17161,33.2787,0.09014,0.30559,3627.42943,1.10109,0.37164,564.3588,0.30582,0.31791,0.35372,0.17161,1221.12036,3108.982,4.96003,2.76635,3.40201,0.29509
1450.3908,7.56784,5.43324,317.37,-562.9253,0.32275,6.08916,0.17091,0.32718,-565.1821,0.02899,0.35567,0.30378,33.6,2.41591,8.5,0.36893,98.28651,0.14077,5.2969,0.28614,0.76605,0.23366,0.07751,0.28202,120.3491,3709.66679,0.23464,5.62026,8.52899,5.50785,0.3223,0.28164,0.30971,0.37372,0.09437,116.7283,11.59544,0.26448,562.9253,105.0928,0.30378,0.09085,2.90626,0.0963,3.11058,0.74406,0.2689,99.63811,0.25711,0.14187,0.17198,33.28941,0.10885,0.3223,3698.93441,0.91987,0.35058,565.1821,0.32275,0.30971,0.36935,0.17198,1291.19983,3101.137,4.94981,2.60361,3.40488,0.32718
1450.5432,7.6538,5.40193,317.37,-564.246,0.3102,6.0103,0.18358,0.31004,-564.0483,-0.02199,0.36956,0.30701,33.6,2.42316,8.5,0.35773,99.79298,0.15389,5.26868,0.27128,0.74476,0.24536,0.07746,0.27142,111.8225,3661.00015,0.23072,5.59816,8.47801,5.4817,0.31015,0.27138,0.32133,0.35762,0.09277,116.926,12.24937,0.26847,564.246,104.1263,0.30701,0.10094,2.89817,0.09617,3.13718,0.74558,0.27427,104.1238,0.27434,0.13748,0.16774,33.30115,0.14814,0.31015,3675.57227,0.88552,0.35461,564.0483,0.3102,0.32133,0.35777,0.16774,1303.83185,3054.323,4.96455,2.46555,3.42864,0.31004
1450.6956,7.76657,5.33037,317.37,-562.373,0.31804,5.883,0.18248,0.33119,-560.0999,0.07605,0.36587,0.32524,33.6,2.42315,8.5,0.36497,101.18635,0.15275,5.18452,0.29029,0.76098,0.24434,0.07741,0.27805,119.5586,3668.66613,0.23073,5.52485,8.57605,5.4072,0.31799,0.278,0.31825,0.37803,0.09263,113.7464,11.93577,0.28475,562.373,108.8475,0.32524,0.09854,2.90651,0.09526,3.18342,0.72113,0.2791,109.1353,0.26977,0.13748,0.16775,33.32507,0.17267,0.31799,3652.79912,0.91083,0.37215,560.0999,0.31804,0.31825,0.36502,0.16775,1277.57236,3012.265,4.93331,2.48157,3.42334,0.33119
1450.848,7.90084,5.2182,317.37,-562.9141,0.31163,5.74993,0.16412,0.30462,-562.3561,-0.05728,0.3739,0.3191,33.6,2.42274,8.5,0.35896,101.63846,0.13373,5.06977,0.26613,0.70419,0.22738,0.07736,0.27263,108.9795,3644.33281,0.23095,5.40994,8.44272,5.29215,0.31148,0.27251,0.32496,0.35213,0.09338,114.1754,12.18002,0.27959,562.9141,112.7908,0.3191,0.10869,2.8994,0.09569,3.23896,0.72443,0.28064,112.3975,0.27972,0.13773,0.16799,33.33383,0.18635,0.31148,3629.20092,0.84746,0.36653,562.3561,0.31163,0.32496,0.3591,0.16799,1248.4686,2998.865,4.83898,2.32869,3.35717,0.30462
1451.0004,8.02699,5.02541,317.37,-562.7635,0.3237,5.48838,0.15894,0.31546,-564.4295,-0.18277,0.36049,0.29907,33.6,2.43015,8.5,0.37008,101.82225,0.12835,4.90487,0.27517,0.59775,0.22258,0.07731,0.28282,114.4594,3611.49947,0.22694,5.20721,8.31723,5.09549,0.32355,0.2827,0.31374,0.36206,0.09531,113.4396,11.88474,0.26003,562.7635,112.6951,0.29907,0.11261,2.91736,0.09736,3.28136,0.71877,0.28126,117.1792,0.26309,0.13324,0.16365,33.34237,0.19528,0.32355,3618.13358,0.72983,0.34581,564.4295,0.3237,0.31374,0.37022,0.16365,1246.67192,2993.452,4.69455,2.19682,3.31722,0.31546
1451.1528,8.06569,5.06869,317.37,-559.5494,0.31822,5.53921,0.15682,0.30949,-559.1121,0.0486,0.36606,0.34782,33.6,2.43811,8.5,0.3652,101.50504,0.12616,4.96335,0.2701,0.65834,0.22063,0.07726,0.2782,119.8199,3674.999,0.22264,5.2518,8.5486,5.14262,0.31824,0.27821,0.31841,0.35652,0.09676,117.6403,12.28201,0.30583,559.5494,115.5512,0.34782,0.11104,2.91737,0.09964,3.28719,0.75108,0.28019,110.4796,0.27,0.12842,0.159,33.3495,0.18936,0.31824,3639.49942,0.79262,0.39442,559.1121,0.31822,0.31841,0.36518,0.159,1243.58642,3002.807,4.73268,2.18497,3.35539,0.30949
1451.3052,8.00584,5.28201,317.37,-562.7774,0.33136,5.73952,0.1526,0.33662,-562.3561,0.17801,0.35942,0.36158,33.6,2.4379,8.5,0.377,99.71785,0.12179,5.17922,0.29417,0.75169,0.21673,0.07721,0.28927,119.267,3648.99985,0.22276,5.4591,8.67801,5.35336,0.3311,0.28906,0.31285,0.38241,0.09744,116.4482,11.79123,0.31754,562.7774,113.0944,0.36158,0.08782,2.93043,0.10211,3.26306,0.74191,0.27401,118.9072,0.26177,0.12855,0.15912,33.36443,0.16509,0.3311,3625.73437,0.89148,0.40698,562.3561,0.33136,0.31285,0.37723,0.15912,1248.77681,3056.625,4.9403,2.51778,3.53649,0.33662
