wellName,datasetName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-A11,Clean,651.053,8.5,7.847,2.183,125.292,90.023,0.392,2.799,24.0340004,15.12800026,2.529000044,31.283,638.8966
Cheal-A11,Clean,651.205,8.5,8.478,2.196,126.189,90.951,0.403,2.879,19.38899994,15.60599995,2.448999882,30.883,639.0304
Cheal-A11,Clean,651.358,8.5,8.294,2.206,126.294,93.553,0.401,2.924,19.46299934,16.41300011,2.451999903,30.531,639.165
Cheal-A11,Clean,651.51,8.5,10.466,2.202,127.442,104.889,0.365,2.93,20.43899918,17.11499977,2.548000097,30.227,639.299
Cheal-A11,Clean,651.662,8.5,12.176,2.198,130.781,119.389,0.317,2.914,24.2159996,17.8560009,2.58100009,30.086,639.4358
Cheal-A11,Clean,651.815,8.5,12.831,2.201,130.96,119.707,0.33,2.916,24.68600082,17.59499931,2.723999977,29.895,639.5735
Cheal-A11,Clean,651.967,8.5,12.992,2.206,132.314,115.339,0.335,2.956,27.47100067,20.45100021,3.609999895,29.479,639.7103
Cheal-A11,Clean,652.12,8.5,12.89,2.216,135.933,106.272,0.351,3.03,25.94099998,18.54500008,3.372999907,28.215,639.8456
Cheal-A11,Clean,652.272,8.5,12.89,2.228,133.895,100.131,0.357,3.079,29.57099915,16.24900055,3.092000008,26.313,639.9794
Cheal-A11,Clean,652.424,8.5,12.45,2.241,125.917,97.374,0.364,3.05,36.29999924,18.94799995,3.471999884,24.723,640.1131
Cheal-A11,Clean,652.577,8.5,12.058,2.247,116.669,98.118,0.325,3.001,41.99200058,20.45400047,3.440000057,23.035,640.2493
Cheal-A11,Clean,652.729,8.5,12.184,2.248,113.596,99.041,0.325,2.943,42.25,20.48999977,3.482000113,21.363,640.3861
Cheal-A11,Clean,652.882,8.5,12.592,2.239,116.234,97.504,0.323,2.944,45.19100189,22.02799988,4.099999905,19.645,640.5238
Cheal-A11,Clean,653.034,8.5,12.137,2.225,130.186,95.102,0.324,2.938,39.25400162,20.74799919,4.650000095,18.059,640.6606
Cheal-A11,Clean,653.186,8.5,12.454,2.208,133.153,97.742,0.325,2.925,33.12599945,17.81500053,4.400000095,16.221,640.7974
Cheal-A11,Clean,653.339,8.5,13.086,2.209,130.143,101.93,0.316,2.869,32.11500168,16.89599991,4.017000198,15.243,640.9351
