TVD,ROP,GR,T-TEMP
0.0,,,
0.1524,,,
0.3048,,,
0.4572,,,
0.6096,,,
0.762,,,
0.9144,,,
1.0668,,,
1.2192,,,
1.3716,,,
1.524,,,
1.6764,,,
1.8288,,,
1.9812,,,
2.1336,,,
2.286,,,
2.4384,,,
2.5908,,,
2.7432,,,
2.8956,,,
3.048,,,
3.2004,,,
3.3528,,,
3.5052,,,
3.6576,,,
3.81,,,
3.9624,,,
4.1148,,,
4.2672,,,
4.4196,,,
4.572,,,
4.7244,,,
4.8768,,,
5.0292,,,
5.1816,,,
5.334,,,
5.4864,,,
5.6388,,,
5.7912,,,
5.9436,,,
6.096,,,
6.2484,,,
6.4008,,,
6.5532,,,
6.7056,,,
6.858,,,
7.0104,,,
7.1628,,,
7.3152,,,
7.4676,,,
7.62,,,
7.7724,,,
7.9248,,,
8.0772,,,
8.2296,,,
8.382,,,
8.5344,,,
8.6868,,,
8.8392,,,
8.9916,,,
9.144,,,
9.2964,,,
9.4488,,,
9.6012,,,
9.7536,,,
9.906,,,
10.0584,,,
10.2108,,,
10.3632,,,
10.5156,,,
10.668,,,
10.8204,,,
10.9728,,,
11.1252,,,
11.2776,,,
11.43,,,
11.5824,,,
11.7348,,,
11.8872,,,
12.0396,,,
12.192,,,
12.3444,,,
12.4968,,,
12.6492,,,
12.8016,,,
12.954,,,
13.1064,,,
13.2588,,,
13.4112,,,
13.5636,,,
13.716,,,
13.8684,,,
14.0208,,,
14.1732,,,
14.3256,,,
14.478,,,
14.6304,,,
14.7828,,,
14.9352,,,
15.0876,,,
15.24,,,
15.3924,,,
15.5448,,,
15.6972,,,
15.8496,,,
16.002,,,
16.1544,,,
16.3068,,,
16.4592,,,
16.6116,,,
16.764,,,
16.9164,,,
17.0688,,,
17.2212,,,
17.3736,,,21.5471
17.526,,,21.5598
17.6784,,,21.5725
17.8308,,,21.5872
17.9832,,,21.6261
18.1356,,,21.6651
18.288,,,21.704
18.4404,,,21.7429
18.5928,,,21.775
18.7452,,,21.8049
18.8976,,,21.8344
19.05,,,21.8836
19.2024,,,21.9223
19.3548,,,21.9699
19.5072,,,22.0067
19.6596,,,22.0217
19.812,,,22.07
19.9644,,,22.0955
20.1168,,,22.117
20.2692,,,22.1399
20.4216,,,22.1578
20.574,,,22.176
20.7264,,,22.187
20.8788,,,22.1895
21.0312,,,22.192
21.1836,,,22.1945
21.336,,,22.197
21.4884,,,22.1995
21.6408,,,22.202
21.7932,,,22.2017
21.9456,,48.5834,22.1996
22.098,,48.5834,22.1974
22.2504,,48.3045,22.1953
22.4028,,47.9896,22.1952
22.5552,,47.6746,22.1973
22.7076,,47.5309,22.1993
22.86,,49.2119,22.2014
23.0124,,50.8929,22.2023
23.1648,,52.5739,22.2067
23.3172,,54.2549,22.2112
23.4696,,53.6078,22.2157
23.622,,52.8904,22.2175
23.7744,,54.1156,22.2175
23.9268,,53.3262,22.2175
24.0792,,53.2966,22.2175
24.2316,,53.0418,22.2246
24.384,,51.8099,22.235
24.5364,,52.1218,22.2404
24.6888,,50.1716,22.2404
24.8412,,49.9791,22.2404
24.9936,,50.8742,22.2424
25.146,,49.6945,22.2455
25.2984,,51.1667,22.2439
25.4508,,51.7972,22.2421
25.6032,,51.8368,22.2404
25.7556,,51.5282,22.2404
25.908,,52.2847,22.2404
26.0604,,53.0401,22.2404
26.2128,,53.5909,22.2383
26.3652,,53.5164,22.2266
26.5176,,52.3657,22.2149
26.67,,51.0855,22.2033
26.8224,,51.5989,22.1916
26.9748,,51.171,22.1909
27.1272,,51.4222,22.1968
27.2796,,52.7598,22.208
27.432,,51.3775,22.212
27.5844,,51.9,22.2222
27.7368,,52.0644,22.2248
27.8892,,53.0734,22.2293
28.0416,,54.963,22.2364
28.194,,51.7313,22.2448
28.3464,,50.0751,22.2542
28.4988,,49.0403,22.2633
28.6512,,47.7305,22.2609
28.8036,,51.1975,22.2558
28.956,,52.2126,22.2507
29.1084,,54.2087,22.248
29.2608,,53.6631,22.2457
29.4132,,52.2592,22.2429
29.5656,,51.0564,22.2404
29.718,,49.5184,22.2512
29.8704,,49.2065,22.267
30.0228,,50.0394,22.2786
30.1752,,51.6627,22.2738
30.3276,,52.6001,22.2683
30.48,,52.5675,22.2633
30.6324,,53.2923,22.2672
30.7848,,53.4222,22.273
30.9372,,54.2702,22.2786
31.0896,,55.0452,22.2834
31.242,,55.8589,22.2919
31.3944,,56.2635,22.3004
31.5468,,55.8833,22.298
31.6992,,54.8956,22.2924
31.8516,,53.9079,22.2869
32.004,,52.9202,22.2949
32.1564,,51.5466,22.3025
32.3088,,50.3073,22.3091
32.4612,,52.9385,22.3091
32.6136,,52.4353,22.3091
32.766,,52.439,22.2955
32.9184,,53.6243,22.2923
33.0708,,52.1236,22.2839
33.2232,,54.6276,22.2729
33.3756,,54.0957,22.2709
33.528,,54.6672,22.2709
33.6804,,52.9253,22.2683
33.8328,,51.4119,22.2657
33.9852,,51.4646,22.2633
34.1376,,51.1675,22.2559
34.29,,51.2179,22.2439
34.4424,,51.1176,22.2328
34.5948,,52.5265,22.2285
34.7472,,53.7695,22.2221
34.8996,,54.3751,22.2175
35.052,,53.976,22.2113
35.2044,,53.9284,22.2041
