TVD,ROP,GR,T-TEMP
0.0,,,
0.1524,,,
0.3048,,,
0.4572,,,
0.6096,,,
0.762,,,
0.9144,,,
1.0668,,,
1.2192,,,
1.3716,,,
1.524,,,
1.6764,,,
1.8288,,,
1.9812,,,
2.1336,,,
2.286,,,
2.4384,,,
2.5908,,,
2.7432,,,
2.8956,,,
3.048,,,
3.2004,,,
3.3528,,,
3.5052,,,
3.6576,,,
3.81,,,
3.9624,,,
4.1148,,,
4.2672,,,
4.4196,,,
4.572,,,
4.7244,,,
4.8768,,,
5.0292,,,
5.1816,,,
5.334,,,
5.4864,,,
5.6388,,,
5.7912,,,
5.9436,,,
6.096,,,
6.2484,,,
6.4008,,,
6.5532,,,
6.7056,,,
6.858,,,
7.0104,,,
7.1628,,,
7.3152,,,
7.4676,,,
7.62,,,
7.7724,,,
7.9248,,,
8.0772,,,
8.2296,,,
8.382,,,
8.5344,,,
8.6868,,,
8.8392,,,
8.9916,,,
9.144,,,
9.2964,,,
9.4488,,,
9.6012,,,
9.7536,,,
9.906,,,
10.0584,,,
10.2108,,,
10.3632,,,
10.5156,,,
10.668,,,
10.8204,,,
10.9728,,,
11.1252,,,
11.2776,,,
11.43,,,
11.5824,,,
11.7348,,,
11.8872,,,
12.0396,,,
12.192,,,
12.3444,,,
12.4968,,,
12.6492,,,
12.8016,,,
12.954,,,
13.1064,,,
13.2588,,,
13.4112,,,
13.5636,,,
13.716,,,
13.8684,,,
14.0208,,,
14.1732,,,
14.3256,,,
14.478,,,
14.6304,,,
14.7828,,,
14.9352,,,
15.0876,,,
15.24,,,
15.3924,,,
15.5448,,,
15.6972,,,
15.8496,,,
16.002,,,
16.1544,,,
16.3068,,,
16.4592,,,
16.6116,,,
16.764,,,
16.9164,,,
17.0688,,,
17.2212,,,
17.3736,,,
17.526,,,
17.6784,,,
17.8308,,,
17.9832,,,
18.1356,,,22.2102
18.288,,,22.3964
18.4404,,,22.5826
18.5928,,,22.7688
18.7452,,,22.955
18.8976,,,23.1413
19.05,,,23.3275
19.2024,,,23.4189
19.3548,,,23.4056
19.5072,,,23.3923
19.6596,,,23.3791
19.812,,,23.3658
19.9644,,,23.3525
20.1168,,,23.3392
20.2692,,,23.326
20.4216,,,23.3127
20.574,,,23.2994
20.7264,,,23.2861
20.8788,,,23.2729
21.0312,,,23.2596
21.1836,,,23.2463
21.336,,,23.233
21.4884,,,23.2198
21.6408,,,23.2065
21.7932,,,23.1932
21.9456,,,23.1799
22.098,,,23.1667
22.2504,,,23.1534
22.4028,,,23.1401
22.5552,,,23.1268
22.7076,,,23.1136
22.86,,,23.1003
23.0124,,,23.087
23.1648,,,23.0737
23.3172,,,23.0605
23.4696,,,23.0472
23.622,,,23.0339
23.7744,,,23.0206
23.9268,,,23.0074
24.0792,,,22.9941
24.2316,,,22.9808
24.384,,,22.9675
24.5364,,,22.9543
24.6888,,,22.941
24.8412,,,22.9277
24.9936,,,22.9144
25.146,,,22.9012
25.2984,,,22.8879
25.4508,,,22.8746
25.6032,,,22.8613
25.7556,,,22.8481
25.908,,,22.8348
26.0604,,,22.8215
26.2128,,,22.8082
26.3652,,,22.795
26.5176,,,22.7817
26.67,,,22.7684
26.8224,,,22.7551
26.9748,,,22.7419
27.1272,,,22.7286
27.2796,,,22.7153
27.432,,,22.702
27.5844,,,22.6888
27.7368,,,22.6755
27.8892,,,22.6622
28.0416,,,22.6489
28.194,,,22.6357
28.3464,,,22.6224
28.4988,,,22.6091
28.6512,,,22.5958
28.8036,,,22.5826
28.956,,,22.5693
29.1084,,,22.556
29.2608,,,22.5427
29.4132,,,22.5295
29.5656,,,22.5162
29.718,,,22.5029
29.8704,,,22.4896
30.0228,,,22.4764
30.1752,,,22.4631
30.3276,,,22.4498
30.48,,,22.4365
30.6324,,,22.4233
30.7848,,,22.41
30.9372,,,22.3967
31.0896,,,22.3834
31.242,,,22.3702
31.3944,,,22.3569
31.5468,,,22.3436
31.6992,,,22.3303
31.8516,,,22.3171
32.004,,,22.3038
32.1564,,,22.2905
32.3088,,,22.2772
32.4612,,,22.264
32.6136,,,22.2507
32.766,,,22.2374
32.9184,,,22.2241
33.0708,,,22.2109
33.2232,,,22.1976
33.3756,,,22.1843
33.528,,,22.171
33.6804,,,22.1578
33.8328,,,22.1445
33.9852,,,22.1312
34.1376,,,22.1179
34.29,,,22.1047
34.4424,,,22.0914
34.5948,,,22.0781
34.7472,,,22.0648
34.8996,,,22.0515
35.052,,,22.0472
35.2044,,,22.0472
35.3568,,,22.0472
35.5092,,,22.0472
35.6616,,,22.0472
35.814,,,22.0472
35.9664,,,22.0472
36.1188,,,22.0472
36.2712,,,22.0472
36.4236,,,22.0472
36.576,,,22.0472
36.7284,,,22.0472
36.8808,,,22.0472
37.0332,,,22.0472
37.1856,,,22.0472
37.338,,,22.0472
37.4904,16.8369,,22.0472
37.6428,16.34,,22.0472
37.7952,14.854,,22.0472
37.9476,14.7272,,22.0472
38.1,14.9479,,22.0472
38.2524,15.67,,22.0472
38.4048,15.9202,,22.0472
38.5572,16.1709,,22.0472
38.7096,16.5936,,22.0472
38.862,15.083,,22.0472
39.0144,14.5418,,22.0472
39.1668,14.3052,,22.0472
39.3192,24.3638,,22.0472
