DEPTH,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
74.981,,,,,,,,,,
75.133,12.25,,,,,,,,,
75.286,12.25,,,,,,,,,
75.438,12.25,,,,,,,,,
75.59,12.25,,,,,,,,,
75.743,12.25,,,,,,,,,
75.895,12.25,,,,,,,,,
76.048,12.25,,,,,,,,,
76.2,12.25,,,,,,,,,
76.352,12.25,,,,,,,,,
76.505,12.25,,,,,,,,,
76.657,12.25,,,,,,,,,
76.81,12.25,,,,,,,,,
76.962,12.25,,,,,,,,,
77.114,12.25,,,,,,,,,
77.267,12.25,,,,,,,,,
77.419,12.25,,,,,,,,,
77.572,12.25,,,,,,,,,
77.724,12.25,,,,,,,,,
77.876,12.25,,,,,,,,,
78.029,12.25,,,,,,,,,
78.181,12.25,,,,,,,,,
78.334,12.25,,32.701,,,,,,,
78.486,12.25,,30.642,,,,,,,
78.638,12.25,,27.75,,,,,,,
78.791,12.25,,29.813,,,,,,,
78.943,12.25,,33.747,,,,,,,
79.096,12.25,,35.653,,,,,,,
79.248,12.25,,34.47,,,,,,,
79.4,12.25,,32.785,,,,,,,
79.553,12.25,,31.499,,,,,,,
79.705,12.25,,33.983,,,,,,,
79.858,12.25,,35.553,,,,,,,
80.01,12.25,,37.806,,,,,,,
80.162,12.25,,34.654,,,,,,,
80.315,12.25,,35.855,,,,,,,
80.467,12.25,,36.273,,,,,,,
80.62,12.25,,39.168,,,,,,,
80.772,12.25,,36.895,,,,,,,
80.924,12.25,,36.055,,,,,,,
81.077,12.25,,35.164,,,,,,,
81.229,12.25,,36.658,,,,,,,
81.382,12.25,,37.862,,,,,,,
81.534,12.25,,36.739,,,,,,,
81.686,12.25,,36.575,,,,,,,
81.839,12.25,,37.664,,,,,,,
81.991,12.25,,39.681,,,,,,,
82.144,12.25,,39.3,,,,,,,
82.296,12.25,,37.482,,,,,,,
82.448,12.25,,38.338,,,,,,,
82.601,12.25,,39.206,,,,,,,
82.753,12.25,,39.116,,,,,,,
82.906,12.25,,40.001,,,,,,,
83.058,12.25,,43.314,,,,,,,
83.21,12.25,,45.152,,,,,,,
83.363,12.25,,42.705,,,,,,,
83.515,12.25,,38.198,,,,,,,
83.668,12.25,,38.425,,,,,,,
83.82,12.25,,42.405,,,,,,,
83.972,12.25,,47.175,,,,,,,
84.125,12.25,,48.704,,,,,,,
84.277,12.25,,47.009,,,,,,,
84.43,12.25,,44.449,,,,,,,
84.582,12.25,,42.538,,,,,,,
84.734,12.25,,42.077,,,,,,,
84.887,12.25,,41.135,,,,,,,
85.039,12.25,,38.364,,,,,,,
85.192,12.25,,35.415,,,,,,,
85.344,12.25,,35.749,,,,,,,
85.496,12.25,,35.499,,,,,,,
85.649,12.25,,34.695,,,,,,,
85.801,12.25,,35.076,,,,,,,
85.954,12.25,,39.058,,,,,,,
86.106,12.25,,41.372,,,,,,,
86.258,12.25,,38.269,,,,,,,
86.411,12.25,,34.014,,,,,,,
86.563,12.25,,32.114,,,,,,,
86.716,12.25,,32.211,,,,,,,
86.868,12.25,,32.639,,,,,,,
87.02,12.25,,31.754,,,,,,,
87.173,12.25,,33.888,,,,,,,
87.325,12.25,,37.874,,,,,,,
87.478,12.25,,40.743,,,,,,,
87.63,12.25,,39.405,,,,,,,
87.782,12.25,,36.846,,,,,,,
87.935,12.25,,38.127,,,,,,,
88.087,12.25,,40.258,,,,,,,
88.24,12.25,,40.729,,,,,,,
88.392,12.25,,40.394,,,,,,,
88.544,12.25,,41.356,,,,,,,
88.697,12.25,,43.38,,,,,,,
88.849,12.25,,43.116,,,,,,,
89.002,12.25,,40.612,,,,,,,
89.154,12.25,,39.23,,,,,,,
89.306,12.25,,36.467,,,,,,,
89.459,12.25,,30.655,,,,,,,
89.611,12.25,,26.833,,,,,,,
89.764,12.25,,27.378,,,,,,,
89.916,12.25,,31.757,,,,,,,
90.068,12.25,,33.909,,,,,,,
90.221,12.25,,35.56,,,,,,,
90.373,12.25,,35.232,,,,,,,
90.526,12.25,,30.451,,,,,,,
90.678,12.25,,26.975,,,,,,,
90.83,12.25,,27.444,,,,,,,
90.983,12.25,,31.743,,,,,,,
91.135,12.25,,34.209,,,,,,,
91.288,12.25,,35.254,,,,,,,
91.44,12.25,,35.573,,,,,,,
91.592,12.25,,37.7,,,,,,,
91.745,12.25,,40.981,,,,,,,
91.897,12.25,,44.252,,,,,,,
92.05,12.25,,45.135,,,,,,,
92.202,12.25,,45.966,,,,,,,
92.354,12.25,,47.618,,,,,,,
92.507,12.25,,48.981,,,,,,,
92.659,12.25,,49.314,,,,,,,
92.812,12.25,,47.312,,,,,,,
92.964,12.25,,48.647,,,,,,,
93.116,12.25,,52.637,,,,,,,
93.269,12.25,,57.113,,,,,,,
93.421,12.25,,56.62,,,,,,,
93.574,12.25,,55.562,,,,,,,
93.726,12.25,,59.857,,,,,,,
93.878,12.25,,63.923,,,,,,,
94.031,12.25,,62.098,,,,,,,
94.183,12.25,,55.397,,,,,,,
94.336,12.25,,49.273,,,,,,,
94.488,12.25,,46.676,,,,,,,
94.64,12.25,,46.455,,,,,,,
94.793,12.25,,47.629,,,,,,,
94.945,12.25,,46.102,,,,,,,
95.098,12.25,,45.404,,,,,,,
95.25,12.25,,46.375,,,,,,,
95.402,12.25,,48.903,,,,,,,
95.555,12.25,,53.342,,,,,,,
95.707,12.25,,62.178,,,,,,,
95.86,12.25,,74.192,,,,,,,
96.012,12.25,,76.241,,,,,,,
96.164,12.25,,66.122,,,,,,,
96.317,12.25,,58.017,,,,,,,
96.469,12.25,,60.106,,,,,,,
96.622,12.25,,66.071,,,,,,,
96.774,12.25,,63.27,,,,,,,
96.926,12.25,,55.152,,,,,,,
97.079,12.25,,51.445,,,,,,,
97.231,12.25,,51.307,,,,,,,
97.384,12.25,,48.754,,,,,,,
97.536,12.25,,44.446,,,,,,,
97.688,12.25,,43.428,,,,,,,
97.841,12.25,,47.409,,,,,,,
97.993,12.25,,53.827,,,,,,,
98.146,12.25,,58.354,,,,,,,
98.298,12.25,,60.188,,,,,,,
98.45,12.25,,60.222,,,,,,,
98.603,12.25,,60.912,,,,,,,
98.755,12.25,,61.837,,,,,,,
98.908,12.25,,59.764,,,,,,,
99.06,12.25,,53.665,,,,,,,
99.212,12.25,,46.619,,,,,,,
99.365,12.25,,41.729,,,,,,,
99.517,12.25,,42.744,,,,,,,
99.67,12.25,,48.877,,,,,,,
99.822,12.25,,54.885,,,,,,,
99.974,12.25,,55.735,,,,,,,
100.127,12.25,,51.123,,,,,,,
100.279,12.25,,47.472,,,,,,,
100.432,12.25,,47.093,,,,,,,
100.584,12.25,,47.244,,,,,,,
100.736,12.25,,46.799,,,,,,,
100.889,12.25,,46.721,,,,,,,
101.041,12.25,,49.127,,,,,,,
101.194,12.25,,53.604,,,,,,,
101.346,12.25,,58.34,,,,,,,
101.498,12.25,,63.489,,,,,,,
101.651,12.25,,65.717,,,,,,,
101.803,12.25,,66.686,,,,,,,
101.956,12.25,,64.517,,,,,,,
102.108,12.25,,56.974,,,,,,,
102.26,12.25,,49.531,,,,,,,
102.413,12.25,,46.537,,,,,,,
102.565,12.25,,49.618,,,,,,,
102.718,12.25,,51.832,,,,,,,
102.87,12.25,,49.922,,,,,,,
103.022,12.25,,48.009,,,,,,,
103.175,12.25,,45.553,,,,,,,
103.327,12.25,,43.149,,,,,,,
103.48,12.25,,43.489,,,,,,,
103.632,12.25,,47.237,,,,,,,
103.784,12.25,,51.378,,,,,,,
103.937,12.25,,50.964,,,,,,,
104.089,12.25,,45.891,,,,,,,
104.242,12.25,,43.026,,,,,,,
104.394,12.25,,45.846,,,,,,,
104.546,12.25,,49.723,,,,,,,
104.699,12.25,,50.652,,,,,,,
104.851,12.25,,47.301,,,,,,,
105.004,12.25,,44.78,,,,,,,
105.156,12.25,,43.832,,,,,,,
