TVD,GR,ROP
40.0812,46.227,124.6271
40.2336,44.9093,123.5939
40.386,46.1874,88.0651
40.5384,44.7313,59.4882
40.6908,44.2895,40.7124
40.8432,45.263,21.1859
40.9956,46.2366,21.0314
41.148,47.2101,21.2232
41.3004,46.5438,21.4338
41.4528,44.6832,21.1562
41.6052,43.0995,20.7038
41.7576,41.3846,20.5232
41.91,39.2954,20.4114
42.0624,37.9543,20.5115
42.2148,36.2791,20.5306
42.3672,36.0078,20.4998
42.5196,37.5168,20.4305
42.672,39.0037,20.5522
42.8244,40.519,20.5831
42.9768,40.5006,20.5924
43.1292,40.4534,20.693
43.2816,40.7875,20.6563
43.434,40.8344,20.7477
43.5864,41.0786,20.8222
43.7388,41.9805,20.7089
43.8912,41.9647,20.7202
44.0436,41.6825,20.6015
44.196,42.6147,20.5833
44.3484,43.136,20.647
44.5008,44.5083,20.6267
44.6532,43.7959,20.696
44.8056,43.592,20.7366
44.958,43.6512,20.7569
45.1104,44.149,20.6833
45.2628,45.7851,20.5374
45.4152,46.9051,20.4392
45.5676,46.9156,20.455
45.72,45.5206,20.5308
45.8724,44.059,20.5841
46.0248,41.0239,20.2123
46.1772,40.7912,17.6258
46.3296,40.915,15.1965
46.482,40.5571,14.9793
46.6344,41.2789,17.3169
46.7868,41.912,22.7603
46.9392,42.1805,29.5524
47.0916,42.6061,34.3363
47.244,42.8151,35.9133
47.3964,42.3454,37.6026
47.5488,42.1012,38.6689
47.7012,41.5546,39.2636
47.8536,42.2915,40.8101
48.006,41.9307,41.0526
48.1584,42.055,41.5236
48.3108,42.0311,40.647
48.4632,40.1852,37.3687
48.6156,40.1992,34.0808
48.768,39.1247,28.0883
48.9204,39.9617,21.9139
49.0728,41.5555,17.9611
49.2252,40.424,13.5812
49.3776,40.2519,12.4447
49.53,41.4943,13.1313
49.6824,41.105,15.2672
49.8348,40.4601,16.2953
49.9872,41.1505,16.8901
50.1396,40.6709,18.6602
50.292,41.1352,18.4845
50.4444,42.3096,20.6745
50.5968,41.8997,19.7508
50.7492,41.4205,21.9454
50.9016,40.68,24.6581
51.054,37.9627,22.7087
51.2064,38.2439,25.6962
51.3588,38.9995,27.8675
51.5112,39.1049,28.2849
51.6636,42.1745,27.3299
51.816,44.4052,22.7126
51.9684,46.2093,21.5606
52.1208,46.6166,21.5224
52.2732,46.5739,23.1362
52.4256,46.6787,29.8826
52.578,47.7029,27.7289
52.7304,47.2384,32.7816
52.8828,47.4851,30.7505
53.0352,46.3877,24.2307
53.1876,45.333,22.039
53.34,44.238,14.5201
53.4924,44.0928,10.5612
53.6448,43.1133,10.5673
53.7972,41.2273,11.8103
53.9496,40.1153,12.3413
54.102,40.3473,13.2033
54.2544,39.5451,13.0431
54.4068,40.2073,13.0238
54.5592,40.3763,12.3549
54.7116,39.572,11.4918
54.864,38.3939,11.942
55.0164,39.3855,11.5033
55.1688,39.9377,11.8686
55.3212,39.3495,12.6379
55.4736,39.1474,12.8922
55.626,38.2555,14.2439
55.7784,37.7075,15.7762
55.9308,38.8552,18.8497
56.0832,38.7885,21.2255
56.2356,40.0773,23.7052
56.388,40.0885,33.0
