DEPTH,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DRHO,DTC
47.701,12.25,,,,,,,,,,,
47.854,12.25,,,,,,,,,,,
48.006,12.25,,,,,,,,,,,
48.158,12.25,,,,,,,,,,,
48.311,12.25,,,,,,,,,,,
48.463,12.25,,,,,,,,,,,
48.616,12.25,,,,,,,,,,,
48.768,12.25,,,,,,,,,,,
48.92,12.25,,,,,,,,,,,
49.073,12.25,,,,,,,,,,,
49.225,12.25,,,,,,,,,,,
49.378,12.25,,,,,,,,,,,
49.53,12.25,,,,,,,,,,,
49.682,12.25,,,,,,,,,,,
49.835,12.25,,,,,,,,,,,
49.987,12.25,,,,,,,,,,,
50.14,12.25,,,,,,,,,,,
50.292,12.25,,,,,,,,,,,
50.444,12.25,,,,,,,,,,,
50.597,12.25,,,,,,,,,,,
50.749,12.25,,,,,,,,,,,
50.902,12.25,,,,,,,,,,,
51.054,12.25,,,,,,,,,,,
51.206,12.25,,,,,,,,,,,
51.359,12.25,,,,,,,,,,,
51.511,12.25,,,,,,,,,,,
51.664,12.25,,,,,,,,,,,
51.816,12.25,,,,,,,,,,,
51.968,12.25,,29.706,,,,,,,,,
52.121,12.25,,30.004,,,,,,,,,
52.273,12.25,,28.282,,,,,,,,,
52.426,12.25,,28.499,,,,,,,,,
52.578,12.25,,29.309,,,,,,,,,
52.73,12.25,,33.189,,,,,,,,,
52.883,12.25,,32.981,,,,,,,,,
53.035,12.25,,31.395,,,,,,,,,
53.188,12.25,,29.946,,,,,,,,,
53.34,12.25,,30.065,,,,,,,,,
53.492,12.25,,28.752,,,,,,,,,
53.645,12.25,,26.74,,,,,,,,,
53.797,12.25,,25.145,,,,,,,,,
53.95,12.25,,27.532,,,,,,,,,
54.102,12.25,,30.824,,,,,,,,,
54.254,12.25,,33.612,,,,,,,,,
54.407,12.25,,33.731,,,,,,,,,
54.559,12.25,,32.589,,,,,,,,,
54.712,12.25,,31.335,,,,,,,,,
54.864,12.25,,30.261,,,,,,,,,
55.016,12.25,,30.5,,,,,,,,,
55.169,12.25,,32.29,,,,,,,,,
55.321,12.25,,33.962,,,,,,,,,
55.474,12.25,,34.32,,,,,,,,,
55.626,12.25,,34.064,,,,,,,,,
55.778,12.25,,33.228,,,,,,,,,
55.931,12.25,,32.154,,,,,,,,,
56.083,12.25,,32.828,,,,,,,,,
56.236,12.25,,32.947,,,,,,,,,
56.388,12.25,,32.393,,,,,,,,,
56.54,12.25,,31.676,,,,,,,,,
56.693,12.25,,30.721,,,,,,,,,
56.845,12.25,,31.745,,,,,,,,,
56.998,12.25,,29.477,,,,,,,,,
57.15,12.25,,28.76,,,,,,,,,
57.302,12.25,,28.76,,,,,,,,,
57.455,12.25,,29.835,,,,,,,,,
57.607,12.25,,32.461,,,,,,,,,
57.76,12.25,,34.021,,,,,,,,,
57.912,12.25,,40.885,,,,,,,,,
58.064,12.25,,39.214,,,,,,,,,
58.217,12.25,,39.811,,,,,,,,,
58.369,12.25,,32.904,,,,,,,,,
58.522,12.25,,35.292,,,,,,,,,
58.674,12.25,,33.859,,,,,,,,,
58.826,12.25,,38.208,,,,,,,,,
58.979,12.25,,38.088,,,,,,,,,
59.131,12.25,,39.998,,,,,,,,,
59.284,12.25,,38.438,,,,,,,,,
59.436,12.25,,38.933,,,,,,,,,
59.588,12.25,,38.216,,,,,,,,,
59.741,12.25,,39.888,,,,,,,,,
59.893,12.25,,41.064,,,,,,,,,
60.046,12.25,,41.064,,,,,,,,,
60.198,12.25,,39.99,,,,,,,,,
60.35,12.25,,41.627,,,,,,,,,
60.503,12.25,,43.179,,,,,,,,,
60.655,12.25,,43.656,,,,,,,,,
60.808,12.25,,42.258,,,,,,,,,
60.96,12.25,,43.452,,,,,,,,,
61.112,12.25,,44.066,,,,,,,,,
61.265,12.25,,42.633,,,,,,,,,
61.417,12.25,,40.126,,,,,,,,,
61.57,12.25,,40.254,,,,,,,,,
61.722,12.25,,39.419,,,,,,,,,
61.874,12.25,,40.612,,,,,,,,,
62.027,12.25,,39.845,,,,,,,,,
62.179,12.25,,39.726,,,,,,,,,
62.332,12.25,,38.412,,,,,,,,,
62.484,12.25,,39.393,,,,,,,,,
62.636,12.25,,41.184,,,,,,,,,
62.789,12.25,,44.134,,,,,,,,,
62.941,12.25,,43.537,,,,,,,,,
63.094,12.25,,45.788,,,,,,,,,
63.246,12.25,,42.718,,,,,,,,,
63.398,12.25,,39.973,,,,,,,,,
63.551,12.25,,38.08,,,,,,,,,
63.703,12.25,,41.661,,,,,,,,,
63.856,12.25,,42.497,,,,,,,,,
64.008,12.25,,40.586,,,,,,,,,
64.16,12.25,,37.96,,,,,,,,,
64.313,12.25,,39.615,,,,,,,,,
64.465,12.25,,40.092,,,,,,,,,
64.618,12.25,,40.689,,,,,,,,,
64.77,12.25,,38.319,,,,,,,,,
64.922,12.25,,39.214,,,,,,,,,
65.075,12.25,,39.692,,,,,,,,,
65.227,12.25,,39.453,,,,,,,,,
65.38,12.25,,39.709,,,,,,,,,
65.532,12.25,,36.963,,,,,,,,,
65.684,12.25,,39.112,,,,,,,,,
65.837,12.25,,35.215,,,,,,,,,
65.989,12.25,,34.379,,,,,,,,,
66.142,12.25,,31.386,,,,,,,,,
66.294,12.25,,34.013,,,,,,,,,
66.446,12.25,,38.762,,,,,,,,,
66.599,12.25,,40.084,,,,,,,,,
66.751,12.25,,40.203,,,,,,,,,
66.904,12.25,,34.499,,,,,,,,,
67.056,12.25,,32.23,,,,,,,,,
67.208,12.25,,33.509,,,,,,,,,
67.361,12.25,,35.658,,,,,,,,,
67.513,12.25,,37.091,,,,,,,,,
67.666,12.25,,35.573,,,,,,,,,
67.818,12.25,,34.652,,,,,,,,,
67.97,12.25,,36.92,,,,,,,,,
68.123,12.25,,35.01,,,,,,,,,
68.275,12.25,,35.522,,,,,,,,,
68.428,12.25,,34.567,,,,,,,,,
68.58,12.25,,34.686,,,,,,,,,
68.732,12.25,,34.618,,,,,,,,,
68.885,12.25,,34.14,,,,,,,,,
69.037,12.25,,35.019,,,,,,,,,
69.19,12.25,,37.287,,,,,,,,,
69.342,12.25,,40.698,,,,,,,,,
69.494,12.25,,46.982,,,,,,,,,
69.647,12.25,,51.996,,,,,,,,,
69.799,12.25,,53.479,,,,,,,,,
69.952,12.25,,51.671,,,,,,,,,
70.104,12.25,,51.433,,,,,,,,,
70.256,12.25,,52.626,,,,,,,,,
70.409,12.25,,54.195,,,,,,,,,
70.561,12.25,,53.999,,,,,,,,,
70.714,12.25,,56.148,,,,,,,,,
70.866,12.25,,57.137,,,,,,,,,
71.018,12.25,,60.914,,,,,,,,,
71.171,12.25,,60.914,,,,,,,,,
71.323,12.25,,60.642,,,,,,,,,
71.476,12.25,,58.015,,,,,,,,,
71.628,12.25,,57.282,,,,,,,,,
71.78,12.25,,58.237,,,,,,,,,
71.933,12.25,,57.521,,,,,,,,,
72.085,12.25,,57.776,,,,,,,,,
72.238,12.25,,57.222,,,,,,,,,
72.39,12.25,,57.938,,,,,,,,,
72.542,12.25,,59.968,,,,,,,,,
72.695,12.25,,62.398,,,,,,,,,
72.847,12.25,,61.563,,,,,,,,,
73.0,12.25,,60.727,,,,,,,,,
73.152,12.25,,61.0,,,,,,,,,
73.304,12.25,,61.196,,,,,,,,,
73.457,12.25,,61.076,,,,,,,,,
73.609,12.25,,57.734,,,,,,,,,
73.762,12.25,,60.42,,,,,,,,,
73.914,12.25,,59.823,,,,,,,,,
74.066,12.25,,63.643,,,,,,,,,
74.219,12.25,,60.045,,,,,,,,,
74.371,12.25,,61.869,,,,,,,,,
74.524,12.25,,63.898,,,,,,,,,
74.676,12.25,,68.077,,,,,,,,,
74.828,12.25,,66.542,,,,,,,,,
74.981,12.25,,56.873,,,,,,,,,
75.133,12.25,,51.859,,,,,,,,,
75.286,12.25,,48.227,,,,,,,,,
75.438,12.25,,52.174,,,,,,,,,
75.59,12.25,,53.607,,,,,,,,,
75.743,12.25,,57.665,,,,,,,,,
75.895,12.25,,56.702,,,,,,,,,
76.048,12.25,,55.611,,,,,,,,,
76.2,12.25,,52.984,,,,,,,,,
76.352,12.25,,56.924,,,,,,,,,
76.505,12.25,,62.168,,,,,,,,,
76.657,12.25,,64.197,,,,,,,,,
76.81,12.25,,64.316,,,,,,,,,
76.962,12.25,,60.88,,,,,,,,,
77.114,12.25,,60.539,,,,,,,,,
77.267,12.25,,56.48,,,,,,,,,
77.419,12.25,,57.197,,,,,,,,,
77.572,12.25,,57.18,,,,,,,,,
77.724,12.25,,59.686,,,,,,,,,
77.876,12.25,,59.337,,,,,,,,,
78.029,12.25,,55.04,,,,,,,,,
78.181,12.25,,58.382,,,,,,,,,
78.334,12.25,,60.044,,,,,,,,,
78.486,12.25,,65.638,,,,,,,,,
78.638,12.25,,63.438,,,,,,,,,
78.791,12.25,,60.931,,,,,,,,,
78.943,12.25,,56.77,,,,,,,,,
79.096,12.25,,53.24,,,,,,,,,
79.248,12.25,,53.001,,,,,,,,,
79.4,12.25,,54.093,,,,,,,,,
79.553,12.25,,58.271,,,,,,,,,
79.705,12.25,,57.674,,,,,,,,,
79.858,12.25,,58.731,,,,,,,,,
80.01,12.25,,55.909,,,,,,,,,
80.162,12.25,,55.79,,,,,,,,,
80.315,12.25,,58.058,,,,,,,,,
80.467,12.25,,59.328,,,,,,,,,
80.62,12.25,,61.767,,,,,,,,,
80.772,12.25,,60.692,,,,,,,,,
80.924,12.25,,61.17,,,,,,,,,
81.077,12.25,,62.551,,,,,,,,,
81.229,12.25,,65.058,,,,,,,,,
81.382,12.25,,62.926,,,,,,,,,
81.534,12.25,,57.077,,,,,,,,,
81.686,12.25,,53.726,,,,,,,,,
81.839,12.25,,52.515,,,,,,,,,
81.991,12.25,,51.918,,,,,,,,,
82.144,12.25,,51.689,,,,,,,,,
82.296,12.25,,55.329,,,,,,,,,
82.448,12.25,,55.807,,,,,,,,,
82.601,12.25,,55.449,,,,,,,,,
82.753,12.25,,54.042,,,,,,,,,
82.906,12.25,,54.878,,,,,,,,,
83.058,12.25,,52.251,,,,,,,,,
83.21,12.25,,54.434,,,,,,,,,
83.363,12.25,,60.616,,,,,,,,,
83.515,12.25,,61.929,,,,,,,,,
83.668,12.25,,59.422,,,,,,,,,
83.82,12.25,,57.776,,,,,,,,,
83.972,12.25,,61.34,,,,,,,,,
84.125,12.25,,62.056,,,,,,,,,
84.277,12.25,,62.295,,,,,,,,,
84.43,12.25,,60.761,,,,,,,,,
84.582,12.25,,60.403,,,,,,,,,
84.734,12.25,,59.686,,,,,,,,,
84.887,12.25,,56.941,,,,,,,,,
85.039,12.25,,54.093,,,,,,,,,
85.192,12.25,,54.093,,,,,,,,,
85.344,12.25,,54.929,,,,,,,,,
85.496,12.25,,56.975,,,,,,,,,
85.649,12.25,,56.736,,,,,,,,,
85.801,12.25,,60.079,,,,,,,,,
85.954,12.25,,60.283,,,,,,,,,
86.106,12.25,,55.483,,,,,,,,,
86.258,12.25,,51.305,,,,,,,,,
86.411,12.25,,49.753,,,,,,,,,
86.563,12.25,,53.462,,,,,,,,,
86.716,12.25,,52.984,,,,,,,,,
86.868,12.25,,54.417,,,,,,,,,
87.02,12.25,,54.161,,,,,,,,,
87.173,12.25,,54.758,,,,,,,,,
87.325,12.25,,53.803,,,,,,,,,
87.478,12.25,,53.599,,,,,,,,,
87.63,12.25,,56.864,,,,,,,,,
87.782,12.25,,57.342,,,,,,,,,
87.935,12.25,,57.103,,,,,,,,,
88.087,12.25,,53.479,,,,,,,,,
88.24,12.25,,53.487,,,,,,,,,
88.392,12.25,,55.636,,,,,,,,,
88.544,12.25,,56.574,,,,,,,,,
88.697,12.25,,56.804,,,,,,,,,
88.849,12.25,,53.343,,,,,,,,,
89.002,12.25,,53.957,,,,,,,,,
89.154,12.25,,53.854,,,,,,,,,
89.306,12.25,,58.032,,,,,,,,,
89.459,12.25,,57.674,,,,,,,,,
89.611,12.25,,59.448,,,,,,,,,
89.764,12.25,,58.177,,,,,,,,,
89.916,12.25,,60.087,,,,,,,,,
90.068,12.25,,59.132,,,,,,,,,
90.221,12.25,,57.981,,,,,,,,,
90.373,12.25,,56.191,,,,,,,,,
90.526,12.25,,57.265,,,,,,,,,
90.678,12.25,,56.941,,,,,,,,,
90.83,12.25,,58.1,,,,,,,,,
90.983,12.25,,56.429,,,,,,,,,
91.135,12.25,,55.713,,,,,,,,,
91.288,12.25,,54.554,,,,,,,,,
91.44,12.25,,51.518,,,,,,,,,
91.592,12.25,,51.757,,,,,,,,,
91.745,12.25,,50.443,,,,,,,,,
91.897,12.25,,52.106,,,,,,,,,
92.05,12.25,,49.361,,,,,,,,,
92.202,12.25,,47.331,,,,,,,,,
92.354,12.25,,45.72,,,,,,,,,
92.507,12.25,,47.51,,,,,,,,,
92.659,12.25,,49.071,,,,,,,,,
92.812,12.25,,49.429,,,,,,,,,
92.964,12.25,,50.384,,,,,,,,,
93.116,12.25,,55.031,,,,,,,,,
93.269,12.25,,57.691,,,,,,,,,
93.421,12.25,,57.572,,,,,,,,,
93.574,12.25,,56.02,,,,,,,,,
93.726,12.25,,55.252,,,,,,,,,
93.878,12.25,,56.446,,,,,,,,,
94.031,12.25,,55.491,,,,,,,,,
94.183,12.25,,54.673,,,,,,,,,
94.336,12.25,,53.505,,,,,,,,,
94.488,12.25,,53.863,,,,,,,,,
94.64,12.25,,58.16,,,,,,,,,
94.793,12.25,,58.851,,,,,,,,,
94.945,12.25,,60.445,,,,,,,,,
95.098,12.25,,56.028,,,,,,,,,
95.25,12.25,,52.925,,,,,,,,,
95.402,12.25,,50.111,,,,,,,,,
95.555,12.25,,48.917,,,,,,,,,
95.707,12.25,,52.021,,,,,,,,,
95.86,12.25,,52.166,,,,,,,,,
96.012,12.25,,53.36,,,,,,,,,
96.164,12.25,,54.715,,,,,,,,,
96.317,12.25,,53.402,,,,,,,,,
96.469,12.25,,53.402,,,,,,,,,
96.622,12.25,,50.614,,,,,,,,,
96.774,12.25,,50.119,,,,,,,,,
96.926,12.25,,50.597,,,,,,,,,
97.079,12.25,,49.403,,,,,,,,,
97.231,12.25,,55.747,,,,,,,,,
97.384,12.25,,58.254,,,,,,,,,
97.536,12.25,,59.328,,,,,,,,,
97.688,12.25,,54.673,,,,,,,,,
97.841,12.25,,51.22,,,,,,,,,
97.993,12.25,,55.04,,,,,,,,,
98.146,12.25,,60.292,,,,,,,,,
98.298,12.25,,61.187,,,,,,,,,
98.45,12.25,,57.845,,,,,,,,,
98.603,12.25,,52.95,,,,,,,,,
98.755,12.25,,54.434,,,,,,,,,
98.908,12.25,,54.195,,,,,,,,,
99.06,12.25,,54.835,,,,,,,,,
99.212,12.25,,53.283,,,,,,,,,
99.365,12.25,,55.551,,,,,,,,,
99.517,12.25,,54.792,,,,,,,,,
99.67,12.25,,55.628,,,,,,,,,
99.822,12.25,,53.479,,,,,,,,,
99.974,12.25,,54.673,,,,,,,,,
100.127,12.25,,54.417,,,,,,,,,
100.279,12.25,,54.536,,,,,,,,,
100.432,12.25,,58.476,,,,,,,,,
100.584,12.25,,61.597,,,,,,,,,
100.736,12.25,,61.98,,,,,,,,,
100.889,12.25,,58.16,,,,,,,,,
101.041,12.25,,55.295,,,,,,,,,
101.194,12.25,,52.046,,,,,,,,,
101.346,12.25,,49.83,,,,,,,,,
101.498,12.25,,47.8,,,,,,,,,
101.651,12.25,,50.546,,,,,,,,,
101.803,12.25,,52.592,,,,,,,,,
101.956,12.25,,55.219,,,,,,,,,
102.108,12.25,,54.86,,,,,,,,,
102.26,12.25,,54.86,,,,,,,,,
102.413,12.25,,53.308,,,,,,,,,
102.565,12.25,,54.263,,,,,,,,,
102.718,12.25,,56.225,,,,,,,,,
102.87,12.25,,58.459,,,,,,,,,
103.022,12.25,,57.265,,,,,,,,,
103.175,12.25,,52.61,,,,,,,,,
103.327,12.25,,53.76,,,,,,,,,
103.48,12.25,,55.312,,,,,,,,,
103.632,12.25,,57.461,,,,,,,,,
103.784,12.25,,55.389,,,,,,,,,
103.937,12.25,,56.983,,,,,,,,,
104.089,12.25,,56.745,,,,,,,,,
104.242,12.25,,59.61,,,,,,,,,
104.394,12.25,,56.668,,,,,,,,,
104.546,12.25,,54.758,,,,,,,,,
104.699,12.25,,51.296,,,,,,,,,
104.851,12.25,,52.047,,,,,,,,,
105.004,12.25,,52.822,,,,,,,,,
105.156,12.25,,53.658,,,,,,,,,
105.308,12.25,,51.629,,,,,,,,,
105.461,12.25,,51.688,,,,,,,,,
105.613,12.25,,50.256,,,,,,,,,
105.766,12.25,,51.791,,,,,,,,,
105.918,12.25,,53.701,,,,,,,,,
106.07,12.25,,57.606,,,,,,,,,
106.223,12.25,,54.4,,,,,,,,,
106.375,12.25,,54.042,,,,,,,,,
106.528,12.25,,54.681,,,,,,,,,
106.68,12.25,,60.531,,,,,,,,,
106.832,12.25,,63.396,,,,,,,,,
106.985,12.25,,61.477,,,,,,,,,
107.137,12.25,,58.962,,,,,,,,,
107.29,12.25,,56.932,,,,,,,,,
107.442,12.25,,54.903,,,,,,,,,
107.594,12.25,,55.031,,,,,,,,,
107.747,12.25,,52.643,,,,,,,,,
107.899,12.25,,56.702,,,,,,,,,
108.052,12.25,,57.776,,,,,,,,,
108.204,12.25,,60.641,,,,,,,,,
108.356,12.25,,56.054,,,,,,,,,
108.509,12.25,,53.666,,,,,,,,,
108.661,12.25,,54.98,,,,,,,,,
108.814,12.25,,57.657,,,,,,,,,
108.966,12.25,,59.806,,,,,,,,,
109.118,12.25,,54.161,,,,,,,,,
109.271,12.25,,54.997,,,,,,,,,
109.423,12.25,,57.026,,,,,,,,,
109.576,12.25,,62.79,,,,,,,,,
109.728,12.25,,60.522,,,,,,,,,
109.88,12.25,,57.18,,,,,,,,,
110.033,12.25,,50.648,,,,,,,,,
110.185,12.25,,51.245,,,,,,,,,
110.338,12.25,,52.439,,,,,,,,,
110.49,12.25,,55.628,,,,,,,,,
110.642,12.25,,58.373,,,,,,,,,
110.795,12.25,,57.419,,,,,,,,,
110.947,12.25,,58.194,,,,,,,,,
111.1,12.25,,56.404,,,,,,,,,
111.252,12.25,,55.568,,,,,,,,,
111.404,12.25,,57.06,,,,,,,,,
111.557,12.25,,58.254,,,,,,,,,
111.709,12.25,,63.984,,,,,,,,,
111.862,12.25,,61.477,,,,,,,,,
112.014,12.25,,58.638,,,,,,,,,
112.166,12.25,,53.863,,,,,,,,,
112.319,12.25,,52.908,,,,,,,,,
112.471,12.25,,52.882,,,,,,,,,
112.624,12.25,,52.285,,,,,,,,,
112.776,12.25,,55.747,,,,,,,,,
112.928,12.25,,57.435,,,,,,,,,
113.081,12.25,,59.107,,,,,,,,,
113.233,12.25,,58.271,,,,,,,,,
113.386,12.25,,59.328,,,,,,,,,
113.538,12.25,,60.044,,,,,,,,,
113.69,12.25,,60.88,,,,,,,,,
113.843,12.25,,58.672,,,,,,,,,
113.995,12.25,,58.433,,,,,,,,,
114.148,12.25,,58.672,,,,,,,,,
114.3,12.25,,59.09,,,,,,,,,
114.452,12.25,,58.254,,,,,,,,,
114.605,12.25,,54.673,,,,,,,,,
114.757,12.25,,54.434,,,,,,,,,
114.91,12.25,,53.965,,,,,,,,,
115.062,12.25,,57.666,,,,,,,,,
115.214,12.25,,55.278,,,,,,,,,
115.367,12.25,,54.553,,,,,,,,,
115.519,12.25,,53.718,,,,,,,,,
115.672,12.25,,54.136,,,,,,,,,
115.824,12.25,,56.284,,,,,,,,,
115.976,12.25,,57.956,,,,,,,,,
116.129,12.25,,58.97,,,,,,,,,
116.281,12.25,,60.104,,,,,,,,,
116.434,12.25,,58.194,,,,,,,,,
116.586,12.25,,62.134,,,,,,,,,
116.738,12.25,,59.448,,,,,,,,,
116.891,12.25,,58.544,,,,,,,,,
117.043,12.25,,56.514,,,,,,,,,
117.196,12.25,,55.798,,,,,,,,,
117.348,12.25,,55.508,,,,,,,,,
117.5,12.25,,53.351,,,,,,,,,
117.653,12.25,,52.396,,,,,,,,,
117.805,12.25,,49.531,,,,,,,,,
117.958,12.25,,50.137,,,,,,,,,
118.11,12.25,,50.784,,,,,,,,,
118.262,12.25,,53.172,,,,,,,,,
118.415,12.25,,54.741,,,,,,,,,
118.567,12.25,,55.884,,,,,,,,,
118.72,12.25,,57.674,,,,,,,,,
118.872,12.25,,56.821,,,,,,,,,
119.024,12.25,,53.36,,,,,,,,,
119.177,12.25,,56.046,,,,,,,,,
119.329,12.25,,56.045,,,,,,,,,
119.482,12.25,,56.318,,,,,,,,,
119.634,12.25,,48.38,,,,,,,,,
119.786,12.25,,44.918,,,,,,,,,
119.939,12.25,,48.243,,,,,,,,,
120.091,12.25,,51.705,,,,,,,,,
120.244,12.25,,56.787,,,,,,,,,
120.396,12.25,,57.367,,,,,,,,,
120.548,12.25,,57.367,,,,,,,,,
120.701,12.25,,56.088,,,,,,,,,
120.853,12.25,,55.491,,,,,,,,,
121.006,12.25,,54.178,,,,,,,,,
121.158,12.25,,50.256,,,,,,,,,
121.31,12.25,,48.611,,,,,,,,,
121.463,12.25,,48.61,,,,,,,,,
121.615,12.25,,49.804,,,,,,,,,
121.768,12.25,,52.166,,,,,,,,,
121.92,12.25,,54.119,,,,,,,,,
122.072,12.25,,56.625,,,,,,,,,
122.225,12.25,,54.954,,,,,,,,,
122.377,12.25,,52.763,,,,,,,,,
122.53,12.25,,51.705,,,,,,,,,
122.682,12.25,,50.631,,,,,,,,,
122.834,12.25,,48.96,,,,,,,,,
