DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
1754.886,-0.0017,0.0828,87.3459,121.8634,8.7502,0.0105,3.1675,3.3296,5.2479,5.3175,5.5048,5.6829,6.2392,0.0001,0.003,6.6176,4.8358,4.8628,3892.7332,0.297
1754.7336,0.0625,0.1445,87.7908,124.4245,8.7734,0.0648,3.3087,3.3204,5.2838,5.3002,5.4761,5.6496,6.1998,0.0707,0.1189,6.4784,4.3222,3.8377,3865.3572,0.2853
1754.5812,0.2781,0.2426,88.1774,120.9993,8.7849,0.1304,3.3928,3.3555,5.1634,5.1568,5.3165,5.483,6.0124,0.3249,0.3065,6.2381,2.826,2.8253,3886.8667,0.2777
1754.4288,0.5658,0.3111,88.6385,112.7838,8.8196,0.1758,3.3815,3.3642,4.9283,4.8711,5.0158,5.1696,5.6614,0.5093,0.4438,5.8048,2.0466,2.2934,3869.4287,0.2918
1754.2764,0.408,0.2992,88.9173,111.5273,8.808,0.1674,3.5899,3.3109,5.0662,4.9558,5.1114,5.2619,5.7572,0.4011,0.3533,5.85,2.3322,2.5735,3859.4001,0.3069
1754.124,0.1106,0.2662,88.7578,107.2759,8.7734,0.1453,3.0515,3.2631,5.2911,5.2184,5.3824,5.54,6.054,0.1878,0.2607,6.1995,3.3601,2.7944,3891.4287,0.3097
1753.9716,0.2927,0.2228,87.8909,115.3509,9.1202,0.1179,3.2898,3.2505,5.2297,5.2042,5.3681,5.5231,6.0262,0.2363,0.1753,6.2179,2.5235,2.9517,3893.8665,0.3052
1753.8192,0.2464,0.1639,87.2525,113.8706,8.8774,0.0902,3.2768,3.2351,5.3169,5.3198,5.4974,5.6555,6.1727,0.1117,0.121,6.4176,2.9478,3.0312,3884.5,0.2937
1753.6668,-0.042,0.0912,87.2038,116.2752,8.7734,0.0469,2.9778,3.1985,5.3719,5.3906,5.5681,5.732,6.2385,0.0001,0.0248,6.5015,3.8818,3.8149,3860.6001,0.2848
1753.5144,0.0726,0.0654,87.0774,115.3018,8.7348,0.0111,3.2003,3.1803,5.3758,5.385,5.566,5.7399,6.2343,0.0001,0.0001,6.4942,4.6406,4.6372,3889.3572,0.281
1753.362,-0.0101,0.048,87.4481,116.8066,8.7271,-0.0063,3.0052,3.157,5.3113,5.3254,5.5085,5.6694,6.163,0.0001,0.0001,6.4218,4.7017,4.7029,3880.8,0.2688
