DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
2478.3288,,,,,,,,,,,,,,,,,,
2478.4812,,6.25,,,,,,,,,,,,,,,,
2478.6336,,6.25,,,,,,,,,,,,,,,,
2478.786,,6.25,,,,,,,,,,,,,,,,
2478.9384,,6.25,,,,,,,,,,,,,,,,
2479.0908,,6.25,,,,,,,,,,,,,,,,
2479.2432,,6.25,,,,,,,,,,,,,,,,
2479.3956,,6.25,,,,,,,,,,,,,,,,
2479.548,,6.25,,,,,,,,,,,,,,,,
2479.7004,,6.25,,,,,,,,,,,,,,,,
2479.8528,,6.25,,,,,,,,,,,,,,,,
2480.0052,,6.25,,,,,,,,,,,,,,,,
2480.1576,,6.25,,,,,,,,,,,,,,,,
2480.31,,6.25,,,,,,,,,,,,,,,,
2480.4624,,6.25,,,,,,,,,,,,,,,,
2480.6148,,6.25,,,,,,,,,,,,,,,,
2480.7672,,6.25,,,,,,,,,,,,,,,,
2480.9196,,6.25,,,,,,,,,,,,,,,,
2481.072,,6.25,,,,,,,,,,,,,,,,
2481.2244,,6.25,,,,,,,,,,,,,,,,
2481.3768,,6.25,,,,,,,,,,,,,,,,
2481.5292,,6.25,,,,,,,,,,,,,,,,
2481.6816,,6.25,,,,,,,,,,,,,,,,
2481.834,,6.25,,,,,,,,,,,,,,,,
2481.9864,,6.25,,,,,,,,,,,,,,,,
2482.1388,,6.25,,,,,,,,,,,,,,,,
2482.2912,,6.25,59.8155,,,,,,,,,,,,,,,
2482.4436,,6.25,61.50699,,,,,,,,,,,,,,,
2482.596,,6.25,64.04518,,,,,,,,,,,,,,,
2482.7484,,6.25,55.10254,,,,,,,,,,,,,,,
2482.9008,,6.25,59.21141,,,,,,,,,,,,,,,
2483.0532,,6.25,60.7822,,,,,,,,,,,,,,,
2483.2056,,6.25,65.25367,,,,,,,,,,,,,,,
2483.358,,6.25,59.45381,,,,,,,,,,,,,,,
2483.5104,,6.25,68.03239,,,,,,,,,,,,,,,
2483.6628,,6.25,72.0201,,,,,,,,,,,,,,,
2483.8152,,6.25,62.35369,,,,,,,,,,,,,,,
2483.9676,,6.25,64.8912,,,,,,,,,,,,,,,
2484.12,,6.25,67.06538,,,,,,,,,,,,,,,
2484.2724,,6.25,66.58292,,,,,,,,,,,,,0.31275,,
2484.4248,,6.25,62.71539,,,,,,,,,,,,,0.31726,,
2484.5772,,6.25,66.09952,,,,,,,,,,,,,0.33821,,
2484.7296,,6.25,61.02422,,,,,,,,,,,,,0.34487,,
2484.882,,6.25,59.09014,,,,,,,,,,,,,0.34236,,
2485.0344,,6.25,57.03647,,,,,,,,,,,,,0.3311,,
2485.1868,,6.25,59.93637,,,,,,,,,,,,,0.31197,,
2485.3392,,6.25,56.43172,,,,,,,,,,,,,0.31803,,
2485.4916,,6.25,65.13272,,,,,,,,,,,,,0.33189,,
2485.644,,6.25,52.6862,,,,,,,,,,,,,0.33836,,
2485.7964,,6.25,66.46271,,,,,,,,,,,,,0.32763,,
2485.9488,,6.25,56.31183,,,,,,,,,,,,,0.31984,,
2486.1012,,6.25,50.14803,,,,,,,,,,,,,0.30596,,
2486.2536,,6.25,58.2447,,,,,,,,,,,,,0.32175,,
2486.406,,6.25,57.51934,,,,,,,,,,,,,0.30745,,
2486.5584,,6.25,53.53281,,,,,,,,,,,,,0.29754,,
2486.7108,,6.25,51.71946,,,,,,,,,,,,,0.2956,,
2486.8632,,6.25,61.38651,,,,,,,,,,,,,0.30703,,
2487.0156,,6.25,49.78629,,,,,,,,,,,,,0.32064,,
2487.168,,6.25,50.87362,,,,,,,,,,,,,0.30996,,
2487.3204,,6.25,52.68585,,,,,,,,,,,,,0.30682,,
2487.4728,,6.25,56.55285,,,,,,,,,,,,,0.31664,,
2487.6252,,6.25,52.08212,,,,,,,,,,,,,0.31598,,
2487.7776,,6.25,48.57786,,,,,,,,,,,,,0.32116,,
2487.93,3.76812,6.25,53.16897,,0.28754,,,,,,,,,,,0.32602,0.03,
2488.0824,3.77952,6.25,52.57256,,0.29436,,,,,,,,,,,0.31859,0.03,
2488.2348,3.76812,6.25,56.19028,0.45549,0.29821,,,,,,,,0.17936,10.0,2.10102,0.29458,0.03,
2488.3872,3.77952,6.25,48.94727,0.45549,0.29578,,,,,,,,0.17936,10.0,2.10102,0.27159,0.03,
2488.5396,3.76812,6.25,53.53132,0.45549,0.29992,,,,,,,,0.17936,10.0,2.10102,0.27226,0.03,
2488.692,3.76812,6.25,55.4655,0.45549,0.29831,,,,,,,,0.17936,10.0,2.10102,0.28907,0.03,
2488.8444,3.76812,6.25,55.4651,0.45549,0.29394,,,,,,,,0.17936,10.0,2.10102,0.31086,0.03,
2488.9968,3.76812,6.25,62.83649,0.45549,0.29151,,,,,,,,0.17936,10.0,2.10102,0.32119,0.03,
2489.1492,3.76812,6.25,53.77388,0.45549,0.2941,,,,,,,,0.17936,10.0,2.10102,0.30253,0.03,
2489.3016,3.76812,6.25,59.33261,0.45549,0.29613,,,,,,,,0.17936,10.0,2.10102,0.30519,0.03,
2489.454,3.77952,6.25,53.66003,0.45492,0.29347,,,,,,,,0.17936,10.0,2.10171,0.31709,0.03,
2489.6064,3.75673,6.25,51.60326,0.42367,0.29693,,,,,,,,0.17776,10.0,2.08138,0.31444,0.03,
2489.7588,3.79091,6.25,53.4339,0.42912,0.29789,,,,,,,,0.17879,9.91084,2.10344,0.31242,0.03,
2489.9112,3.76812,6.25,46.64431,0.43694,0.29691,,,,,,,,0.18355,9.98298,2.14215,0.2996,0.03,
2490.0636,3.76812,6.25,56.79476,0.44977,0.30572,,,,,,,,0.18817,10.0,2.16491,0.29676,0.03,
2490.216,3.76812,6.25,58.96984,0.43611,0.29383,,,,,,,,0.1913,9.96848,2.17223,0.30203,0.03,
2490.3684,3.76812,6.25,50.02782,0.42481,0.29573,,,,,,,,0.19015,10.0,2.15245,0.29035,0.03,
2490.5208,3.76812,6.25,42.65644,0.39442,0.30189,,,,,,,,0.18467,10.0,2.12425,0.29098,0.03,
2490.6732,3.77952,6.25,57.52789,0.41967,0.29832,,,,,,,,0.17746,9.97522,2.13993,0.26533,0.03,
2490.8256,3.76812,6.25,50.75236,0.4124,0.29905,,,,,,,,0.17033,9.83415,2.16864,0.27024,0.03,
2490.978,3.76812,6.25,53.41116,0.42177,0.29997,,,,,,,,0.16903,9.81583,2.1721,0.27967,0.03,
2491.1304,3.76812,6.25,50.75308,0.38701,0.2994,,,,,,,,0.16976,10.0,2.13165,0.30982,0.03,
2491.2828,3.79091,6.25,50.04858,0.39668,0.29706,,,,,,,,0.17583,10.0,2.15277,0.30225,0.03,
2491.4352,3.79091,6.25,51.01519,0.40357,0.29685,,,,,,,,0.18779,10.0,2.1602,0.28252,0.03,
2491.5876,3.79091,6.25,56.45652,0.41448,0.29746,,,,,,,,0.19627,9.98148,2.1555,0.27165,0.03,
2491.74,3.77952,6.25,44.95854,0.42329,0.29646,,,,,,,,0.19898,9.99302,2.17344,0.26757,0.03,
2491.8924,3.77952,6.25,52.93476,0.41897,0.29646,,,,,,,,0.19237,10.0,2.15295,0.2793,0.03,
2492.0448,3.76812,6.25,49.66508,0.39723,0.29489,,,,,,,,0.18773,9.85678,2.12613,0.29054,0.03,
2492.1972,3.76812,6.25,56.79521,0.39514,0.29501,,,,,,,,0.1849,9.9883,2.12562,0.28372,0.03,
2492.3496,3.77952,6.25,53.78105,0.41759,0.29644,,,,,,,,0.18659,9.97837,2.17087,0.28122,0.03,
2492.502,3.76812,6.25,49.66544,0.39392,0.29292,,,,,,,,0.18796,9.8205,2.15266,0.28083,0.03,
2492.6544,3.77952,6.25,46.64978,0.38734,0.29923,,,,,,,,0.18637,9.799,2.17852,0.29746,0.03,
2492.8068,3.76812,6.25,56.06984,0.37438,0.30223,,,,,,,,0.18001,9.54308,2.12558,0.31075,0.03,
2492.9592,3.79091,6.25,60.92935,0.37357,0.29854,,,,,,,,0.17134,9.63041,2.12044,0.30009,0.03,
2493.1116,3.76812,6.25,58.97,0.40326,0.29987,,,,,,,,0.1692,9.17448,2.1414,0.2856,0.03,
2493.264,3.76812,6.25,53.53187,0.417,0.30031,,,,,,,,0.17369,9.55268,2.13871,0.26777,0.03,
2493.4164,3.76812,6.25,47.12766,0.44391,0.30181,,,,,,,,0.18363,9.6994,2.17682,0.26298,0.03,
2493.5688,3.77952,6.25,52.45194,0.45739,0.30402,0.00388,0.00357,0.00345,0.00301,0.00295,0.00295,,0.1948,9.69171,2.18832,0.26206,0.03,
2493.7212,3.76812,6.25,51.11488,0.44669,0.30193,0.00269,0.00271,0.00276,0.00242,0.00249,0.00249,,0.20498,9.49689,2.19848,0.2686,0.03,
2493.8736,3.76812,6.25,61.99023,0.44925,0.29484,0.00288,0.00284,0.00284,0.0025,0.00253,0.00253,,0.20906,9.43399,2.21126,0.26669,0.03,
2494.026,3.77952,6.25,55.47311,0.4469,0.29705,0.00412,0.00389,0.00378,0.00335,0.00336,0.00336,,0.20713,9.4551,2.17471,0.26999,0.03,
2494.1784,3.77952,6.25,55.35181,0.41381,0.29717,0.00425,0.00392,0.00379,0.00335,0.00336,0.00336,,0.20393,9.34721,2.12734,0.27347,0.03,
2494.3308,3.77952,6.25,56.19853,0.45724,0.29802,0.0039,0.00368,0.00358,0.00318,0.00322,0.00322,,0.20236,9.3798,2.15233,0.28206,0.03,
2494.4832,3.77952,6.25,52.57256,0.4881,0.29948,0.00402,0.00379,0.0037,0.00326,0.00331,0.00331,,0.20363,9.28358,2.1739,0.28708,0.03,
2494.6356,3.76812,6.25,51.84045,0.44905,0.29943,0.00251,0.00247,0.00251,0.00218,0.00234,0.00234,,0.19878,9.4442,2.08988,0.29477,0.03,
2494.788,3.75673,6.25,46.28603,0.44313,0.29647,0.00417,0.00386,0.00369,0.0032,0.0031,0.0031,,0.19293,9.66542,2.05667,0.27947,0.03,
2494.9404,3.77952,6.25,44.71666,0.40335,0.29803,0.0029,0.00282,0.00276,0.00236,0.00247,0.00247,,0.18286,9.52451,2.02649,0.2619,0.03,
2495.0928,3.77952,6.25,36.49858,0.4083,0.29563,0.00243,0.00251,0.0025,0.00212,0.00223,0.00223,,0.17471,9.37126,2.048,0.23395,0.03,
2495.2452,3.76812,6.25,42.29402,0.41426,0.2897,0.00334,0.00312,0.00305,0.00263,0.00257,0.00257,,0.17262,8.91164,2.06317,0.24931,0.03,
2495.3976,3.76812,6.25,50.51107,0.4237,0.29332,0.00393,0.00376,0.00361,0.00312,0.00305,0.00305,,0.17416,8.86019,2.06084,0.2647,0.03,
2495.55,3.77952,6.25,46.28737,0.4545,0.29859,0.00458,0.00416,0.00399,0.0035,0.00342,0.00342,,0.17871,8.78372,2.07337,0.27406,0.03,
2495.7024,3.76812,6.25,55.70722,0.46007,0.29888,0.00291,0.00283,0.00277,0.00237,0.00238,0.00238,,0.18377,9.00889,2.06269,0.27377,0.03,
2495.8548,3.76812,6.25,43.6229,0.46134,0.30014,0.00387,0.00357,0.00341,0.00296,0.00291,0.00291,,0.19172,8.82883,2.06856,0.26726,0.03,
2496.0072,3.79091,6.25,57.78644,0.48079,0.29127,0.00295,0.00285,0.00282,0.00243,0.00242,0.00242,,0.20145,8.81456,2.08506,0.2586,0.03,
2496.1596,3.76812,6.25,53.16979,0.47855,0.29139,0.00278,0.00277,0.00271,0.00228,0.00224,0.00224,,0.207,8.64784,2.05812,0.26186,0.03,
2496.312,3.76812,6.25,53.41097,0.48724,0.29507,0.00348,0.00328,0.00311,0.0026,0.00243,0.00243,,0.21221,8.50563,2.07646,0.27384,0.03,
2496.4644,3.76812,6.25,43.50232,0.50564,0.29445,0.00711,0.00615,0.0056,0.00479,0.00403,0.00403,,0.21521,8.76862,2.07649,0.2855,0.03,
2496.6168,3.76812,6.25,54.13633,0.4966,0.29332,0.00259,0.00259,0.00246,0.002,0.00182,0.00182,,0.21961,8.63347,2.08764,0.28044,0.03,
2496.7692,3.77952,6.25,46.16719,0.47128,0.2932,0.00259,0.00251,0.0024,0.00195,0.00167,0.00167,,0.21844,8.42347,2.08249,0.28178,0.03,
2496.9216,3.76812,6.25,57.03663,0.45968,0.2972,0.00305,0.00292,0.00281,0.00232,0.0021,0.0021,,0.21096,8.21689,2.07771,0.2723,0.03,
2497.074,3.76812,6.25,60.05685,0.44293,0.29689,0.00367,0.00349,0.00329,0.00272,0.00245,0.00245,,0.20307,7.91718,2.05944,0.26736,0.03,
2497.2264,3.76812,6.25,62.35321,0.48611,0.29952,0.00361,0.00334,0.00314,0.00256,0.00226,0.00226,,0.20268,7.65683,2.08692,0.28623,0.03,
2497.3788,3.77952,6.25,67.92035,0.58129,0.29191,0.00316,0.00313,0.00294,0.00235,0.002,0.002,,0.21692,8.1597,2.12318,0.31395,0.03,
2497.5312,3.76812,6.25,81.08357,0.61369,0.2936,0.0038,0.00351,0.00326,0.00263,0.00221,0.00221,,0.23139,8.66603,2.12852,0.33042,0.03,
2497.6836,3.75673,6.25,80.00346,0.59253,0.30149,0.00358,0.00339,0.00311,0.00247,0.00201,0.00201,,0.24872,8.54794,2.14831,0.31213,0.03,
2497.836,3.79091,6.25,62.98484,0.58979,0.29561,0.00349,0.00325,0.00301,0.00239,0.00204,0.00204,,0.26714,8.59437,2.18526,0.3164,0.03,
2497.9884,3.77952,6.25,63.57027,0.61815,0.29553,0.00166,0.00169,0.00156,0.00103,0.00078,0.00078,,0.28176,8.52503,2.24342,0.30505,0.03,
2498.1408,3.76812,6.25,57.5195,0.58674,0.2994,0.00495,0.00438,0.00398,0.00324,0.00279,0.00279,,0.28094,8.56665,2.24622,0.3118,0.03,
2498.2932,3.76812,6.25,47.73149,0.55355,0.30207,0.00414,0.00375,0.00345,0.0028,0.00226,0.00226,,0.27419,8.45672,2.2782,0.28161,0.03,
2498.4456,3.79091,6.25,44.36687,0.5681,0.29907,0.00546,0.00481,0.00435,0.00357,0.00282,0.00282,,0.2721,8.62381,2.34167,0.28036,0.03,
2498.598,3.76812,6.25,44.71067,0.53707,0.28595,0.0034,0.00314,0.00285,0.00217,0.00166,0.00166,,0.28353,8.75605,2.41156,0.2697,0.03,
2498.7504,3.76812,6.25,41.32662,0.53739,0.29259,0.00383,0.00346,0.00315,0.0025,0.00198,0.00198,,0.29329,9.02152,2.37615,0.29413,0.03,
2498.9028,3.77952,6.25,46.52988,0.59069,0.29885,0.00268,0.00261,0.00239,0.00181,0.0014,0.0014,,0.29919,8.79291,2.28334,0.29351,0.03,
2499.0552,3.76812,6.25,53.532,0.57682,0.30115,0.00392,0.00354,0.00327,0.00261,0.00212,0.00212,,0.30218,9.11476,2.28231,0.29243,0.03,
2499.2076,3.76812,6.25,49.30255,0.59573,0.2987,0.00401,0.00366,0.00338,0.00274,0.00224,0.00224,,0.30877,8.88103,2.33268,0.28915,0.03,
2499.36,3.77952,6.25,57.40645,0.56224,0.29042,0.003,0.00307,0.00278,0.00215,0.00169,0.00169,,0.31126,8.82138,2.33848,0.28977,0.03,
2499.5124,3.75673,6.25,50.51587,0.53239,0.29029,0.00378,0.00362,0.00335,0.0027,0.00217,0.00217,,0.29784,8.90173,2.28104,0.29361,0.03,
2499.6648,3.77952,6.25,45.56271,0.50387,0.29086,0.00473,0.00435,0.00409,0.00341,0.00281,0.00281,,0.27741,8.85831,2.24017,0.27949,0.03,
2499.8172,3.76812,6.25,49.42334,0.53879,0.2931,0.0029,0.00286,0.00277,0.0022,0.00176,0.00176,,0.26445,8.76873,2.27133,0.28079,0.03,
2499.9696,3.77952,6.25,48.70409,0.56963,0.2898,0.00336,0.00323,0.00305,0.0025,0.00207,0.00207,,0.26577,8.82026,2.28694,0.26323,0.03,
2500.122,3.76812,6.25,52.20277,0.56367,0.2926,0.00312,0.003,0.00288,0.00236,0.00199,0.00199,,0.268,9.09472,2.2596,0.2534,0.03,
2500.2744,3.76812,6.25,39.87739,0.55029,0.29434,0.00321,0.00299,0.00281,0.00229,0.00183,0.00183,,0.26807,9.10245,2.24639,0.2445,0.03,
2500.4268,3.76812,6.25,48.57753,0.55065,0.28985,0.00332,0.00312,0.00304,0.00255,0.00217,0.00217,,0.2665,8.95861,2.2424,0.24989,0.03,
2500.5792,3.77952,6.25,51.36403,0.56878,0.29268,0.00352,0.00331,0.00316,0.00261,0.0022,0.0022,,0.26577,9.10446,2.25912,0.28009,0.03,
2500.7316,3.76812,6.25,51.84024,0.58651,0.2956,0.00292,0.00278,0.00271,0.0022,0.00193,0.00193,,0.26882,9.32045,2.27964,0.30418,0.03,
2500.884,3.76812,6.25,44.22758,0.57808,0.28929,0.0048,0.00422,0.00403,0.00353,0.00326,0.00326,,0.27589,9.48181,2.25425,0.31666,0.03,
2501.0364,3.76812,6.25,51.11548,0.57823,0.29286,0.00196,0.00199,0.00198,0.00159,0.00155,0.00155,,0.2935,9.50065,2.27693,0.27835,0.03,
2501.1888,3.77952,6.25,53.90178,0.60457,0.29174,0.0029,0.00284,0.00276,0.00235,0.00222,0.00222,,0.31114,9.46309,2.35062,0.26681,0.03,
2501.3412,3.76812,6.25,45.67682,0.61578,0.29463,0.00484,0.00445,0.00426,0.00373,0.00343,0.00343,,0.32567,9.44968,2.39044,0.24048,0.03,
2501.4936,3.77952,6.25,48.34222,0.57808,0.29729,0.00529,0.00481,0.0046,0.00405,0.00384,0.00384,,0.32603,9.45748,2.36285,0.24106,0.03,
2501.646,3.76812,6.25,51.23595,0.59373,0.29595,0.00386,0.00362,0.00357,0.00314,0.00315,0.00315,,0.32316,9.40689,2.36804,0.24535,0.03,
2501.7984,3.77952,6.25,50.15487,0.59734,0.2938,0.00256,0.00264,0.00271,0.0024,0.00252,0.00252,,0.31985,10.0,2.36553,0.27876,0.03,
2501.9508,3.77952,6.25,54.74766,0.56398,0.29622,0.00437,0.00408,0.00401,0.00361,0.00374,0.00374,,0.31861,10.0,2.34925,0.30195,0.03,
2502.1032,3.76812,6.25,63.32007,0.5122,0.29574,0.0045,0.00417,0.00412,0.00374,0.00386,0.00386,,0.30606,9.74399,2.31738,0.32005,0.03,
2502.2556,3.76812,6.25,56.55263,0.51351,0.29979,0.00352,0.00338,0.00351,0.00323,0.00359,0.00359,,0.2936,9.67786,2.31959,0.30493,0.03,
2502.408,3.76812,6.25,55.10278,0.51635,0.30162,0.00466,0.00435,0.00436,0.00401,0.00433,0.00433,,0.27998,9.6826,2.31312,0.30231,0.03,
