DEPT,CALI,BS,GR,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
3294.888,,,101.7401,,,18.99557,19.46268,19.61832,19.46705,20.49491,20.60111,,,,,,,
3295.0404,6.75354,6.25,102.7997,0.15743,0.08595,17.87713,17.94888,18.3951,17.99531,18.78338,18.61881,,0.07994,3.62669,2.65382,0.18397,6.73285,
3295.1928,6.8295,6.25,105.2022,0.2754,0.09923,19.05885,19.14525,19.69844,19.35695,20.3674,20.36885,,0.08751,3.65063,2.65205,0.18566,5.97752,
3295.3452,6.77632,6.25,97.15466,0.21665,0.16494,17.86268,17.90503,18.00955,18.03898,18.96558,18.74909,,0.1006,3.71369,2.5997,0.19259,4.18092,
3295.4976,6.94344,6.25,107.4684,0.34934,0.23632,18.83648,18.66584,18.6886,18.80007,19.91319,19.52458,,0.1066,4.05243,2.62889,0.19088,4.85917,
3295.65,6.94344,6.25,98.25715,0.31767,0.29381,19.43274,19.34904,19.52262,19.66828,20.94519,20.74942,,0.10567,3.96063,2.65547,0.20008,4.82057,
3295.8024,6.95864,6.25,94.57124,0.30606,0.31545,18.92128,18.46462,18.63231,18.65022,19.84325,19.25783,,0.10302,3.97042,2.64947,0.1946,5.46106,
3295.9548,6.98143,6.25,105.608,0.26292,0.24254,18.69676,18.22715,18.35282,18.4085,19.6238,19.00658,,0.10294,3.76562,2.61735,0.20089,6.16449,
3296.1072,6.98903,6.25,114.8765,0.25587,0.12911,18.89549,18.31321,18.44678,18.53993,19.7947,19.11818,,0.10749,3.67634,2.622,0.18553,7.47915,
3296.2596,7.09537,6.25,113.0379,0.22112,0.13026,19.13066,18.42325,18.59792,18.72113,19.98511,19.25744,,0.11074,3.7288,2.61617,0.18394,6.69663,
3296.412,6.95104,6.25,106.1413,0.2628,0.22046,19.38281,18.48558,18.71702,18.85324,20.14268,19.306,,0.11285,3.80564,2.62072,0.1759,5.35846,
3296.5644,7.01561,6.25,100.1846,0.36238,0.33831,22.5361,21.47823,21.83672,22.00763,23.5765,22.68071,,0.11214,3.65727,2.57839,0.16631,4.33209,
3296.7168,6.98903,6.25,98.4659,0.27468,0.38138,25.85546,25.59281,26.12244,26.27282,28.38289,28.3248,,0.1185,3.89061,2.63069,0.15907,5.32706,
3296.8692,7.0498,6.25,108.0001,0.44635,0.3569,24.09618,23.45196,23.89818,24.0641,26.54152,26.21702,,0.13283,4.34611,2.67165,0.16324,9.61217,
3297.0216,6.97004,6.25,110.7326,0.36933,0.31429,22.42135,21.96074,22.22103,22.55274,25.19091,25.01058,,0.14645,3.86109,2.63993,0.17455,16.13314,
3297.174,6.97004,6.25,107.2601,0.31736,0.14937,21.66493,21.24562,21.34351,21.69982,24.23721,23.99376,,0.14859,3.72384,2.60107,0.17913,6.03899,
3297.3264,6.99282,6.25,99.16648,0.28629,0.22047,21.06306,20.57304,20.75577,21.24489,23.66809,23.51364,,0.1351,3.51911,2.64969,0.17689,3.72349,
3297.4788,7.19793,6.25,101.4904,0.2715,0.18874,20.61015,20.12505,20.21208,20.59356,22.77166,22.42554,,0.12905,3.84624,2.64757,0.16713,7.02044,
3297.6312,6.98143,6.25,111.0765,0.47496,0.28628,20.40788,20.04708,20.102,20.36536,22.30543,21.92592,,0.12469,3.96991,2.6531,0.17169,6.92543,
3297.7836,6.98903,6.25,109.4064,0.2512,0.17491,20.06084,19.78979,19.97587,20.11777,21.71069,21.41577,,0.13699,3.81392,2.65692,0.17873,6.57839,
3297.936,7.0422,6.25,106.2487,0.42306,0.16496,21.06154,21.36202,21.63659,21.8922,23.44984,23.83661,,0.1374,3.94553,2.58778,0.18918,3.29981,
3298.0884,6.99662,6.25,112.8648,0.3713,0.30348,22.57063,22.95608,23.33725,23.60012,25.18391,25.74673,,0.12519,3.8947,2.64063,0.20912,3.65802,
3298.2408,6.98143,6.25,95.69672,0.34925,0.30675,22.95889,23.44332,23.77048,24.00129,25.55214,26.14593,,0.09268,4.07372,2.61225,0.2362,5.1116,
3298.3932,6.95104,6.25,105.1175,0.17694,0.13159,22.22829,22.53873,22.8342,23.11507,24.412,24.79465,,0.06064,3.66753,2.56857,0.26024,5.74716,
3298.5456,6.99282,6.25,100.5345,0.20334,0.0001,22.54268,22.96629,23.40228,23.89896,24.93837,25.77857,,0.04243,3.77691,2.69399,0.24679,7.02617,
3298.698,6.89027,6.25,112.6484,0.14925,0.0001,15.05497,14.80608,15.22078,15.73525,15.77724,15.72555,,0.03035,3.72754,2.69535,0.23659,7.10211,
3298.8504,6.82191,6.25,109.5753,0.14096,0.0001,14.35533,14.69759,15.32988,15.34429,15.0,15.3373,,0.02372,3.79186,2.67012,0.22906,7.4467,
3299.0028,6.85989,6.25,120.2484,0.06332,0.0001,12.33864,13.40268,13.54781,12.96661,12.78908,13.04027,,0.01486,3.90922,2.63735,0.23309,7.37658,
3299.1552,6.81431,6.25,110.5539,0.03895,0.0001,13.70641,13.63471,13.41477,13.18305,13.09392,13.0854,,0.01076,3.62302,2.63703,0.22493,5.30594,
3299.3076,6.81431,6.25,105.8056,0.07099,0.0001,12.96527,12.80568,12.63442,12.50773,12.47181,12.46829,,0.00241,3.62185,2.65634,0.23311,7.19489,
3299.46,6.79911,6.25,101.3254,0.02487,0.0001,12.82125,12.69495,12.52933,12.39692,12.37848,12.39789,,-0.00477,3.46677,2.61553,0.2305,6.52883,
3299.6124,6.77632,6.25,81.24474,0.07047,0.0001,12.73555,12.61306,12.40922,12.30979,12.26621,12.29385,,-0.00412,3.37986,2.50834,0.24777,5.28293,
3299.7648,6.82191,6.25,76.66888,0.10667,0.0001,11.94832,11.84885,11.63984,11.54944,11.53644,11.59363,,0.00261,3.35029,2.56166,0.23981,5.42314,
3299.9172,6.82191,6.25,67.16961,0.10581,0.0001,11.81483,11.75176,11.64313,11.63214,11.67931,11.70544,,0.01539,3.45612,2.5816,0.23277,4.73167,
3300.0696,6.82191,6.25,77.40368,0.16276,0.0001,11.88221,11.81664,11.68847,11.69582,11.77204,11.77434,,0.02616,3.48925,2.5811,0.21414,5.33385,
3300.222,6.82191,6.25,73.95423,0.11107,0.00239,11.91571,11.80982,11.71899,11.7383,11.80856,11.80241,,0.02824,3.5123,2.53817,0.18648,6.21614,
3300.3744,6.85229,6.25,73.04091,0.1235,0.0001,12.30527,12.14855,12.14319,12.21416,12.34248,12.23339,,0.02418,3.46965,2.54058,0.12755,5.16557,
3300.5268,6.92066,6.25,70.20592,0.22829,0.0001,30.69051,31.07383,32.00273,33.20916,33.42686,33.66738,,0.03783,3.47887,2.57503,0.08343,6.37145,
3300.6792,6.77632,6.25,66.68837,0.25116,0.0001,198.643,212.9643,223.3936,229.7462,237.6093,263.8945,,0.0535,3.85438,2.69145,0.06693,14.09035,
3300.8316,6.63959,6.25,59.25272,0.1389,0.0001,121.6531,112.2492,118.6228,119.2397,126.2565,123.7497,,0.05897,4.81644,2.75222,0.07116,17.46411,
3300.984,6.66238,6.25,55.52872,0.10707,0.0001,22.24401,21.98523,22.24465,21.83439,23.10158,22.64904,,0.03409,4.82574,2.72033,0.07602,17.68998,
3301.1364,6.66238,6.25,53.90135,0.09006,0.0001,14.05954,13.86135,13.35493,13.16237,13.90049,13.64192,,0.0137,4.63514,2.70625,0.08783,17.64852,
3301.2888,6.63959,6.25,68.61433,0.09644,0.0001,16.01941,15.40552,14.74297,14.63953,15.47607,14.92631,,0.00616,4.38567,2.70225,0.12993,17.54321,
3301.4412,6.62819,6.25,83.03226,0.08742,0.0001,15.7111,14.92974,14.33969,14.19086,14.99378,14.2104,,0.00703,4.14554,2.68816,0.20364,17.02269,
3301.5936,6.6168,6.25,88.02711,0.05064,0.0089,15.63587,14.8346,14.26165,14.07379,14.88336,14.03759,69.49093,0.00424,3.98325,2.66477,0.24478,9.87762,
3301.746,6.59401,6.25,70.4804,0.07769,0.0001,14.74545,14.01212,13.41827,13.16253,13.86077,12.91273,69.6297,0.01122,3.55566,2.58152,0.20742,6.54822,
3301.8984,6.84469,6.25,67.24207,0.09536,0.01369,12.36917,12.34468,11.9788,11.70072,12.28032,12.13749,69.69999,0.03054,3.45101,2.51018,0.1878,7.33043,
3302.0508,6.70796,6.25,72.88444,0.10684,0.03915,20.95501,22.42332,23.72399,23.39658,23.82065,25.98911,69.72556,0.0527,3.71108,2.65382,0.18492,7.08339,
3302.2032,6.62439,6.25,66.21243,0.1921,0.02185,16.72916,16.93257,17.88817,18.43276,18.22573,19.23348,69.74391,0.06361,3.81332,2.65036,0.19405,7.12242,
3302.3556,6.64719,6.25,67.62959,0.20201,0.00725,14.23681,14.24423,15.04939,15.73345,15.51864,16.23763,69.74171,0.05839,3.82287,2.65219,0.2143,7.16054,
3302.508,6.65478,6.25,68.7477,0.18168,0.0001,14.29212,14.21759,15.0543,15.74501,15.52415,16.18011,70.47247,0.05383,3.73964,2.65102,0.19527,7.10163,
3302.6604,6.65478,6.25,71.13245,0.18788,0.0001,14.42228,14.29247,15.12363,15.83587,15.63261,16.22863,66.34902,0.04864,3.73473,2.65631,0.17639,6.99098,
3302.8128,6.67757,6.25,76.48692,0.18779,0.0001,14.48471,14.29394,15.14909,15.8578,15.64224,16.16271,70.00378,0.04531,3.82557,2.65923,0.17933,6.81746,
3302.9652,6.68517,6.25,84.60425,0.16981,0.0001,15.52605,15.10294,15.97455,16.72923,16.62148,16.88136,71.75992,0.04048,3.85279,2.63951,0.21828,6.808,
