wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-B8,Clean,652.577,8.5,9.459,2.271,-0.003,119.89,110.808,0.358,2.982,14.008,10.338,5.526,-51.667,624.7908
Cheal-B8,Clean,652.729,8.5,9.444,2.276,-0.002,118.891,106.391,0.355,2.961,14.994,11.098,5.385,-60.828,624.9307
Cheal-B8,Clean,652.882,8.5,9.455,2.279,0,118.483,107.943,0.357,2.941,16.353,12.196,5.452,-69.433,625.0714
Cheal-B8,Clean,653.034,8.5,9.455,2.272,0.001,118.5,105.406,0.357,2.949,15.823,11.872,5.535,-83.354,625.2106
Cheal-B8,Clean,653.186,8.5,9.459,2.268,0.002,118.926,108.637,0.356,2.974,14.623,11.01,5.452,-94.146,625.3474
Cheal-B8,Clean,653.339,8.5,9.498,2.269,0.003,118.926,107.443,0.372,2.987,13.515,10.058,5.212,-46.367,625.4851
Cheal-B8,Clean,653.491,8.5,9.502,2.273,0.001,118.991,108.04,0.354,2.985,11.475,8.598,4.896,-23.725,625.6219
Cheal-B8,Clean,653.644,8.5,9.49,2.272,-0.002,118.649,108.749,0.37,3.009,10.099,7.613,4.527,-25.6,625.7596
Cheal-B8,Clean,653.796,8.5,9.428,2.274,-0.003,118.87,110.122,0.369,3.006,11.139,8.376,4.744,-28.82,625.8964
Cheal-B8,Clean,653.948,8.5,9.467,2.279,-0.001,119.164,107.615,0.366,2.984,12.453,9.471,5.164,-32.433,626.0332
Cheal-B8,Clean,654.101,8.5,9.502,2.283,0,119.032,110.121,0.346,2.942,13.747,10.503,5.437,-35.046,626.1729
Cheal-B8,Clean,654.253,8.5,9.571,2.28,-0.001,119.414,112.568,0.34,2.915,14.122,10.883,5.485,-37.188,626.3127
Cheal-B8,Clean,654.406,8.5,9.606,2.276,-0.002,119.665,112.986,0.349,2.894,14.525,11.234,5.744,-38.537,626.4535
Cheal-B8,Clean,654.558,8.5,9.617,2.278,-0.002,119.527,112.151,0.345,2.869,14.397,11.124,5.767,-41.113,626.5922
Cheal-B8,Clean,654.71,8.5,9.629,2.274,-0.002,119.602,110.36,0.368,2.888,13.523,10.418,5.641,-42.246,626.729
Cheal-B8,Clean,654.863,8.5,9.644,2.274,-0.001,119.555,113.882,0.354,2.913,13.148,10.054,5.541,-43.862,626.8667
Cheal-B8,Clean,655.015,8.5,9.69,2.269,-0.001,119.424,110.181,0.359,2.939,13.235,10.055,5.579,-44.883,627.0035
Cheal-B8,Clean,655.168,8.5,9.675,2.272,0.001,119.52,108.742,0.347,2.94,12.726,9.668,5.435,-45.963,627.1412
Cheal-B8,Clean,655.32,8.5,9.675,2.27,0.002,119.513,102.176,0.376,2.949,12.224,9.361,5.291,-46.621,627.278
Cheal-B8,Clean,655.472,8.5,9.683,2.267,0.001,119.329,104.563,0.386,2.988,12.696,9.749,5.311,-47.558,627.4148
Cheal-B8,Clean,655.625,8.5,9.675,2.265,0,119.164,106.354,0.398,3.022,13.207,10.218,5.333,-47.917,627.555
Cheal-B8,Clean,655.777,8.5,9.768,2.27,0,118.843,109.696,0.351,3.023,12.156,9.516,5.099,-48.021,627.6948
Cheal-B8,Clean,655.93,8.5,9.698,2.276,0,118.708,106.115,0.338,2.997,11.771,9.241,4.999,-49.883,627.8356
Cheal-B8,Clean,656.082,8.5,9.629,2.277,0,118.637,102.9,0.353,2.954,12.55,9.829,5.235,-53.371,627.9738
Cheal-B8,Clean,656.234,8.5,9.675,2.277,0,119.019,104.168,0.366,2.919,13.184,10.239,5.303,-55.912,628.1106
Cheal-B8,Clean,656.387,8.5,9.652,2.275,-0.001,119.269,108.823,0.385,2.917,12.191,9.419,4.965,-57.27,628.2483
Cheal-B8,Clean,656.539,8.5,9.768,2.273,-0.002,119.217,111.807,0.377,2.94,10.816,8.366,4.67,-59.713,628.3851
Cheal-B8,Clean,656.692,8.5,9.768,2.271,-0.002,119.329,110.778,0.381,2.95,11.04,8.487,4.858,-63.629,628.5228
Cheal-B8,Clean,656.844,8.5,9.829,2.277,0.001,119.382,109.979,0.341,2.965,12.181,9.335,5.213,-69.512,628.6596
Cheal-B8,Clean,656.996,8.5,9.652,2.284,0.004,119.308,108.667,0.327,2.97,12.638,9.703,5.303,-76.338,628.7964
Cheal-B8,Clean,657.149,8.5,9.606,2.282,0.005,119.364,106.876,0.337,2.995,13.892,10.656,5.517,-84.07,628.9371
Cheal-B8,Clean,657.301,8.5,9.606,2.276,0.004,119.328,106.652,0.355,2.989,13.842,10.673,5.519,-93.025,629.0769
Cheal-B8,Clean,657.454,8.5,9.575,2.272,0.003,119.39,106.413,0.39,2.983,13.881,10.713,5.555,-105.475,629.2177
Cheal-B8,Clean,657.606,8.5,9.536,2.267,0.002,119.684,111.546,0.371,2.982,14.034,10.744,5.55,-113.267,629.3554
Cheal-B8,Clean,657.758,8.5,9.583,2.262,0,119.856,108.152,0.396,2.995,12.578,9.583,5.173,-97.262,629.4922
Cheal-B8,Clean,657.911,8.5,9.629,2.258,-0.003,119.735,109.107,0.364,2.999,11.55,8.811,4.894,-80.588,629.6299
Cheal-B8,Clean,658.063,8.5,9.617,2.269,-0.002,119.41,105.116,0.37,2.959,11.36,8.722,4.903,-76.504,629.7667
Cheal-B8,Clean,658.216,8.5,9.49,2.278,-0.002,119.044,108.697,0.358,2.917,11.682,9.006,5.014,-85.484,629.9044
Cheal-B8,Clean,658.368,8.5,9.49,2.281,-0.001,118.636,107.145,0.375,2.896,13.026,10.051,5.186,-95.549,630.0412
Cheal-B8,Clean,658.52,8.5,9.598,2.274,-0.001,118.839,107.077,0.382,2.916,13.913,10.759,5.23,-110.965,630.1783
Cheal-B8,Clean,658.673,8.5,9.652,2.275,0,118.923,106.219,0.398,2.904,13.772,10.662,5.189,-111.725,630.3192
Cheal-B8,Clean,658.825,8.5,9.687,2.274,-0.002,119.126,108.249,0.391,2.905,11.955,9.365,4.884,-47.358,630.459
Cheal-B8,Clean,658.978,8.5,9.583,2.272,-0.004,119.231,112.308,0.384,2.921,11.195,8.795,4.779,-18.52,630.5997
Cheal-B8,Clean,659.13,8.5,9.575,2.271,-0.004,119.466,113.203,0.369,2.947,11.499,8.97,4.897,-14.446,630.737
Cheal-B8,Clean,659.282,8.5,9.529,2.268,-0.002,119.416,113.186,0.37,2.952,12.209,9.447,4.959,-16.067,630.8738
Cheal-B8,Clean,659.435,8.5,9.536,2.266,0,119.968,109.194,0.358,2.935,12.404,9.581,4.915,-17.289,631.0115
Cheal-B8,Clean,659.587,8.5,9.513,2.26,0,119.886,108.083,0.358,2.945,11.374,8.836,4.653,-19.087,631.1483
Cheal-B8,Clean,659.74,8.5,9.498,2.26,-0.002,119.984,104.996,0.367,2.967,11.567,9.014,4.917,-21.054,631.286
Cheal-B8,Clean,659.892,8.5,9.467,2.263,-0.004,119.965,108.354,0.371,3.014,11.749,9.175,5.079,-22.479,631.4228
Cheal-B8,Clean,660.044,8.5,9.513,2.267,-0.005,119.488,108.115,0.369,3.036,12.29,9.556,5.166,-23.454,631.5605
Cheal-B8,Clean,660.197,8.5,9.521,2.279,-0.002,119.492,105.966,0.362,3.034,13.612,10.397,5.339,-24.563,631.7012
Cheal-B8,Clean,660.349,8.5,9.536,2.295,0.003,119.121,104.959,0.342,3.02,14.546,11.098,5.627,-26.703,631.8411
Cheal-B8,Clean,660.502,8.5,9.559,2.298,0.004,119.053,104.958,0.362,3.002,14.972,11.433,5.89,-28.183,631.9818
Cheal-B8,Clean,660.654,8.5,9.621,2.293,0.003,119.289,105.794,0.355,2.981,15.257,11.596,6.137,-30.658,632.1186
Cheal-B8,Clean,660.806,8.5,9.806,2.283,0,119.31,105.883,0.392,2.953,14.671,11.115,6.139,-32.375,632.2554
Cheal-B8,Clean,660.959,8.5,9.899,2.279,-0.002,119.394,105.526,0.382,2.942,13.698,10.327,6.093,-29.391,632.3931
Cheal-B8,Clean,661.111,8.5,9.937,2.276,-0.004,119.22,107.048,0.376,2.945,13.521,10.15,6.184,-25.917,632.5299
Cheal-B8,Clean,661.264,8.5,10.01,2.272,-0.005,119.46,108.046,0.36,2.966,13.331,10.04,6.287,-25.954,632.6676
Cheal-B8,Clean,661.416,8.5,9.968,2.271,-0.005,119.38,108.355,0.345,2.986,13.646,10.299,6.338,-27,632.8044
Cheal-B8,Clean,661.568,8.5,9.868,2.278,-0.003,119.453,108.504,0.348,2.977,14.278,10.851,6.558,-26.469,632.9426
Cheal-B8,Clean,661.721,8.5,9.687,2.284,-0.001,119.429,102.044,0.344,2.95,14.719,11.242,6.676,-27.375,633.0833
Cheal-B8,Clean,661.873,8.5,9.664,2.29,0.001,119.283,107.824,0.357,2.922,14.263,10.973,6.441,-28.929,633.2232
Cheal-B8,Clean,662.026,8.5,9.64,2.287,0.002,119.662,108.898,0.359,2.936,14.478,11.142,6.376,-30.95,633.3634
Cheal-B8,Clean,662.178,8.5,9.598,2.283,0.004,119.66,115.792,0.352,2.961,13.873,10.632,6.057,-31.711,633.5002
Cheal-B8,Clean,662.33,8.5,9.583,2.28,0.005,119.796,110.069,0.344,2.999,12.707,9.74,5.722,-26.325,633.637
Cheal-B8,Clean,662.483,8.5,9.536,2.282,0.006,119.749,112.457,0.344,3.035,12.765,9.706,5.673,-26.342,633.7747
Cheal-B8,Clean,662.635,8.5,9.567,2.29,0.009,119.576,107.563,0.35,3.057,12.665,9.596,5.559,-26.767,633.9142
Cheal-B8,Clean,662.788,8.5,9.536,2.289,0.009,119.116,108.272,0.34,3.055,11.546,8.84,5.197,-26.996,634.0549
Cheal-B8,Clean,662.94,8.5,9.525,2.289,0.008,118.982,106.004,0.337,3.046,11.397,8.791,5.089,-30.058,634.1948
Cheal-B8,Clean,663.092,8.5,9.521,2.281,0.006,118.887,107.316,0.336,3.031,12.584,9.759,5.355,-32.953,634.3328
Cheal-B8,Clean,663.245,8.5,9.552,2.272,0.004,118.517,107.503,0.337,3.034,13.534,10.496,5.456,-35.242,634.4705
Cheal-B8,Clean,663.397,8.5,9.506,2.268,0.003,118.572,106.667,0.351,3.011,14.553,11.238,5.496,-37.567,634.6073
Cheal-B8,Clean,663.55,8.5,9.467,2.275,0.004,118.348,107.622,0.36,2.997,14.258,10.999,5.386,-40.979,634.745
Cheal-B8,Clean,663.702,8.5,9.482,2.287,0.004,118.116,108.749,0.34,2.946,12.916,9.99,5.101,-43.367,634.8818
Cheal-B8,Clean,663.854,8.5,9.49,2.29,0.003,118.31,109.346,0.337,2.902,10.778,8.39,4.616,-46.867,635.0186
Cheal-B8,Clean,664.007,8.5,9.544,2.283,0.001,117.837,107.436,0.332,2.88,10.33,7.983,4.405,-51.279,635.1565
Cheal-B8,Clean,664.159,8.5,9.536,2.282,0.003,117.97,104.571,0.331,2.903,11.74,8.923,4.729,-54.229,635.2963
Cheal-B8,Clean,664.312,8.5,9.548,2.279,0.004,117.952,106.376,0.316,2.937,12.664,9.541,4.93,-56.667,635.437
Cheal-B8,Clean,664.464,8.5,9.583,2.28,0.006,117.597,107.331,0.325,2.957,12.715,9.578,4.903,-59.658,635.5768
Cheal-B8,Clean,664.616,8.5,9.552,2.28,0.006,117.917,113.419,0.351,2.958,13.096,9.902,5.078,-62.824,635.7144
Cheal-B8,Clean,664.769,8.5,9.548,2.283,0.007,117.955,111.733,0.399,2.952,13.335,10.104,5.275,-65.592,635.8521
Cheal-B8,Clean,664.921,8.5,9.598,2.282,0.006,118.073,111.733,0.392,2.935,13.447,10.225,5.472,-69.342,635.9889
Cheal-B8,Clean,665.074,8.5,9.567,2.28,0.004,118.475,103.735,0.359,2.918,14.432,10.905,5.843,-73.2,636.1266
Cheal-B8,Clean,665.226,8.5,9.583,2.284,0.006,118.663,99.49,0.32,2.932,15.477,11.594,6.233,-77.817,636.2634
Cheal-B8,Clean,665.378,8.5,9.629,2.29,0.009,118.905,101.758,0.322,2.957,15.643,11.679,6.415,-83.57,636.4002
Cheal-B8,Clean,665.531,8.5,9.675,2.3,0.013,118.63,105.339,0.337,2.975,14.551,10.898,6.313,-89.088,636.5385
Cheal-B8,Clean,665.683,8.5,9.59,2.296,0.012,118.487,113.524,0.345,2.95,13.786,10.345,6.155,-90.658,636.6783
Cheal-B8,Clean,665.836,8.5,9.536,2.292,0.01,118.339,114.098,0.361,2.92,13.529,10.188,6.064,-92.363,636.8191
Cheal-B8,Clean,665.988,8.5,9.536,2.281,0.007,118.135,113.143,0.375,2.89,13.613,10.274,6.018,-98.713,636.9589
Cheal-B8,Clean,666.14,8.5,9.529,2.275,0.006,117.952,106.22,0.363,2.902,14.526,10.969,6.162,-107.426,637.0959
Cheal-B8,Clean,666.293,8.5,9.552,2.282,0.014,117.993,104.929,0.353,2.968,15.306,11.648,6.246,-122.475,637.2337
Cheal-B8,Clean,666.445,8.5,9.571,2.289,0.024,118.026,104.093,0.32,3.048,14.476,11.136,5.921,-138.058,637.3705
Cheal-B8,Clean,666.598,8.5,9.567,2.295,0.033,118.081,109.099,0.324,3.103,13.004,10.095,5.488,-132,637.5082
Cheal-B8,Clean,666.75,8.5,9.444,2.295,0.032,118.415,103.966,0.327,3.087,12.893,9.994,5.426,-77.047,637.645
Cheal-B8,Clean,666.902,8.5,9.374,2.292,0.028,118.359,109.697,0.358,3.043,12.801,9.91,5.337,-32.438,637.7818
Cheal-B8,Clean,667.055,8.5,9.359,2.287,0.021,118.46,108.272,0.38,3.012,12.739,9.851,5.239,-33.983,637.9206
Cheal-B8,Clean,667.207,8.5,9.351,2.28,0.018,118.502,109.585,0.397,3.02,13.142,10.15,5.219,-36.208,638.0604
Cheal-B8,Clean,667.36,8.5,9.313,2.28,0.018,118.477,105.265,0.384,3.046,13.238,10.247,5.195,-38.779,638.2012
Cheal-B8,Clean,667.512,8.5,9.305,2.287,0.022,118.473,107.772,0.37,3.047,13.286,10.331,5.299,-41.648,638.3408
Cheal-B8,Clean,667.664,8.5,9.328,2.292,0.024,118.414,112.069,0.349,3.016,14.07,10.984,5.551,-44.25,638.4776
Cheal-B8,Clean,667.817,8.5,9.317,2.299,0.027,118.442,111.614,0.338,2.987,14.694,11.422,5.749,-46.246,638.6153
Cheal-B8,Clean,667.969,8.5,9.328,2.304,0.028,118.353,108.987,0.348,2.984,14.498,11.252,5.743,-48.671,638.7521
Cheal-B8,Clean,668.122,8.5,9.297,2.305,0.027,118.302,110.897,0.349,2.991,14.593,11.304,5.811,-51.289,638.8898
Cheal-B8,Clean,668.274,8.5,9.305,2.307,0.026,118.027,111.912,0.36,3.005,15.066,11.618,5.983,-52.825,639.0266
Cheal-B8,Clean,668.426,8.5,9.328,2.303,0.021,117.894,112.987,0.358,2.996,14.912,11.453,6.066,-54.621,639.1634
Cheal-B8,Clean,668.579,8.5,9.34,2.298,0.017,117.933,108.331,0.37,2.98,14.55,11.078,6.022,-56.592,639.3027
Cheal-B8,Clean,668.731,8.5,9.374,2.298,0.018,117.937,103.019,0.357,2.961,14.643,11.106,6.032,-59.55,639.4425
Cheal-B8,Clean,668.884,8.5,9.328,2.299,0.02,117.82,99.796,0.36,2.96,15.067,11.32,6.191,-62.059,639.5833
