TVD,ROP,GR
50.1396,0.0,17.4948
50.292,0.0,17.5253
50.4444,0.0,17.5558
50.5968,0.0,17.5863
50.7492,0.0,17.6
50.9016,0.0,17.6
51.054,0.0,17.7584
51.2064,0.0,17.9251
51.3588,0.0,17.8562
51.5112,0.0,17.8
51.6636,0.0,18.2224
51.816,0.0,17.6408
51.9684,0.0,17.0001
52.1208,0.0,16.3594
52.2732,0.0,16.2
52.4256,0.0,16.2
52.578,0.0,15.6835
52.7304,0.0,14.9959
52.8828,0.0,14.3084
53.0352,0.0,14.0
53.1876,0.0,13.3717
53.34,0.0,12.9986
53.4924,0.0,12.4799
53.6448,0.0,12.75
53.7972,0.0,13.4399
53.9496,0.0054,13.5069
54.102,0.0142,13.6831
54.2544,0.023,13.7842
54.4068,0.0318,13.2155
54.5592,0.0406,12.3097
54.7116,0.0495,11.4038
54.864,0.0583,10.8381
55.0164,0.0671,11.7681
55.1688,0.0759,11.7648
55.3212,0.0847,13.3777
55.4736,0.0936,14.7035
55.626,0.1024,15.0518
55.7784,0.1112,15.3902
55.9308,0.12,15.7286
56.0832,0.1289,16.0652
56.2356,0.1377,16.2341
56.388,0.1465,16.1577
56.5404,0.1553,15.7537
56.6928,0.1641,14.5761
56.8452,0.173,13.827
56.9976,0.1818,13.5145
57.15,0.1906,14.0
57.3024,0.1994,14.6429
57.4548,0.2082,15.8038
57.6072,0.2171,16.9646
57.7596,0.2259,17.1587
57.912,0.2347,16.8
58.0644,0.2435,17.4699
58.2168,0.2524,16.8134
58.3692,0.2612,15.6824
58.5216,0.27,14.5513
58.674,0.2788,15.8889
58.8264,0.2876,16.735
58.9788,0.2965,18.036
59.1312,0.3053,19.4
59.2836,0.3141,19.8182
59.436,0.3229,20.7315
59.5884,0.3318,21.8659
59.7408,0.3406,23.0003
59.8932,0.3494,24.1346
60.0456,0.3582,25.269
60.198,0.367,26.0
60.3504,0.3759,26.0
60.5028,0.3847,26.3755
60.6552,0.3935,27.0606
60.8076,0.4023,27.7458
60.96,0.4111,28.2729
61.1124,0.42,27.5548
61.2648,0.4288,27.2318
61.4172,0.4376,25.9867
61.5696,0.4464,25.8991
61.722,0.4553,25.8116
61.8744,0.4641,25.724
62.0268,0.4729,24.4277
62.1792,0.4817,23.0275
62.3316,0.4905,22.0431
62.484,0.4994,19.0304
62.6364,0.5082,19.1175
62.7888,0.517,19.2046
62.9412,0.5258,19.2918
63.0936,0.5346,19.708
63.246,0.5435,20.946
63.3984,0.5523,20.0424
63.5508,0.5611,20.6594
63.7032,0.5699,19.7069
63.8556,0.5795,18.7544
64.008,0.5941,17.802
64.1604,0.5491,16.8717
64.3128,0.5993,15.8874
64.4652,0.7257,15.3357
64.6176,0.73,15.4444
64.77,0.7086,18.2517
64.9224,0.7313,21.059
65.0748,0.7335,23.8663
65.2272,0.7018,25.2557
65.3796,0.6653,24.7947
65.532,0.6678,25.231
65.6844,0.6899,24.1213
65.8368,0.6758,22.7879
65.9892,0.6689,21.4544
66.1416,0.6891,20.1209
66.294,0.662,19.0
66.4464,0.5628,18.7888
66.5988,0.4701,18.1603
66.7512,0.4402,17.6835
66.9036,0.4205,17.4983
67.056,0.4386,17.3228
67.2084,0.5415,17.1474
67.3608,0.6173,17.2001
67.5132,0.6631,18.0
67.6656,0.7453,19.4174
67.818,0.8149,20.8629
67.9704,0.8295,21.9568
68.1228,0.8221,23.4778
68.2752,0.7947,25.0164
68.4276,0.7397,25.2109
68.58,0.7153,23.0232
68.7324,0.7452,22.0244
68.8848,0.7407,21.3786
69.0372,0.6999,20.8009
69.1896,0.6748,21.903
69.342,0.654,23.5584
69.4944,0.5973,20.8201
69.6468,0.512,18.0817
69.7992,0.4575,15.3434
69.9516,0.4405,12.6051
70.104,0.4294,11.2472
70.2564,0.4421,11.6616
70.4088,0.505,11.4689
70.5612,0.6183,11.7187
70.7136,0.698,11.86
70.866,0.7401,11.9491
