TVD,ROP,GR
50.1396,0.0,16.7871
50.292,0.0,16.838
50.4444,0.0,16.8889
50.5968,0.0,16.9398
50.7492,0.0,16.8791
50.9016,0.0,17.0342
51.054,0.0,17.3228
51.2064,0.0,18.0575
51.3588,0.0,18.3361
51.5112,0.0,18.7124
51.6636,0.0,19.7217
51.816,0.0,18.4808
51.9684,0.0,17.1315
52.1208,0.0,17.0306
52.2732,0.0,17.08
52.4256,0.0,18.0738
52.578,0.0,19.1897
52.7304,0.0,18.3966
52.8828,0.0,15.6858
53.0352,0.0,14.7764
53.1876,0.0,14.8238
53.34,0.0,14.6304
53.4924,0.0,14.3926
53.6448,0.0,14.3161
53.7972,0.0,14.7862
53.9496,0.0054,13.8081
54.102,0.0142,14.2014
54.2544,0.023,14.0544
54.4068,0.0318,12.089
54.5592,0.0406,11.7811
54.7116,0.0495,11.5317
54.864,0.0583,11.4563
55.0164,0.0671,12.0958
55.1688,0.0759,12.7518
55.3212,0.0847,14.0169
55.4736,0.0936,14.9829
55.626,0.1024,15.5463
55.7784,0.1112,15.8468
55.9308,0.12,16.8193
56.0832,0.1289,16.8948
56.2356,0.1377,17.536
56.388,0.1465,17.2984
56.5404,0.1553,17.0279
56.6928,0.1641,16.565
56.8452,0.173,15.6018
56.9976,0.1818,15.6215
57.15,0.1906,15.9634
57.3024,0.1994,15.6078
57.4548,0.2082,16.847
57.6072,0.2171,17.7705
57.7596,0.2259,17.5125
57.912,0.2347,17.9311
58.0644,0.2435,17.3161
58.2168,0.2524,16.3163
58.3692,0.2612,14.934
58.5216,0.27,16.0806
58.674,0.2788,16.8434
58.8264,0.2876,17.8283
58.9788,0.2965,18.8667
59.1312,0.3053,19.9238
59.2836,0.3141,20.1423
59.436,0.3229,20.7852
59.5884,0.3318,22.2853
59.7408,0.3406,23.7854
59.8932,0.3494,25.2855
60.0456,0.3582,26.7857
60.198,0.367,27.636
60.3504,0.3759,27.4906
60.5028,0.3847,26.4823
60.6552,0.3935,26.2563
60.8076,0.4023,26.6327
60.96,0.4111,26.9669
61.1124,0.42,27.1706
61.2648,0.4288,28.1346
61.4172,0.4376,27.7815
