DEPT,ROP,GR
50.1396,0.0,17.4946
50.292,0.0,17.5251
50.4444,0.0,17.5556
50.5968,0.0,17.5861
50.7492,0.0,17.6
50.9016,0.0,17.6
51.054,0.0,17.7576
51.2064,0.0,17.9242
51.3588,0.0,17.8576
51.5112,0.0,17.8
51.6636,0.0,18.2193
51.816,0.0,17.6443
51.9684,0.0,17.0037
52.1208,0.0,16.3631
52.2732,0.0,16.2
52.4256,0.0,16.2
52.578,0.0,15.6875
52.7304,0.0,15.0
52.8828,0.0,14.3125
53.0352,0.0,14.0
53.1876,0.0,13.3696
53.34,0.0,13.0037
53.4924,0.0,12.4773
53.6448,0.0,12.75
53.7972,0.0,13.4318
53.9496,0.0053,13.5089
54.102,0.0141,13.6971
54.2544,0.0229,13.7848
54.4068,0.0318,13.2218
54.5592,0.0406,12.316
54.7116,0.0494,11.4102
54.864,0.0582,10.8315
55.0164,0.067,11.7613
55.1688,0.0759,11.7671
55.3212,0.0847,13.3651
55.4736,0.0935,14.6945
55.626,0.1023,15.0492
55.7784,0.1111,15.3876
55.9308,0.12,15.7259
56.0832,0.1288,16.0626
56.2356,0.1376,16.2323
56.388,0.1464,16.1602
56.5404,0.1552,15.757
56.6928,0.1641,14.5859
56.8452,0.1729,13.8296
56.9976,0.1817,13.5171
57.15,0.1905,14.0
57.3024,0.1994,14.6331
57.4548,0.2082,15.7938
57.6072,0.217,16.9545
57.7596,0.2258,17.1639
57.912,0.2346,16.8
58.0644,0.2435,17.4627
58.2168,0.2523,16.8236
58.3692,0.2611,15.6927
58.5216,0.2699,14.5617
58.674,0.2787,15.8889
58.8264,0.2876,16.7245
58.9788,0.2964,18.0105
59.1312,0.3052,19.4
59.2836,0.314,19.8182
59.436,0.3228,20.7205
59.5884,0.3317,21.8547
59.7408,0.3405,22.989
59.8932,0.3493,24.1233
60.0456,0.3581,25.2575
60.198,0.3669,26.0
60.3504,0.3758,26.0
60.5028,0.3846,26.3683
60.6552,0.3934,27.0534
60.8076,0.4022,27.7386
60.96,0.411,28.2775
61.1124,0.4199,27.5682
61.2648,0.4287,27.2273
61.4172,0.4375,25.9877
61.5696,0.4463,25.9001
61.722,0.4552,25.8125
61.8744,0.464,25.725
62.0268,0.4728,24.4682
62.1792,0.4816,23.0348
62.3316,0.4904,22.0546
62.484,0.4993,19.0294
62.6364,0.5081,19.1165
62.7888,0.5169,19.2036
62.9412,0.5257,19.2907
63.0936,0.5345,19.6994
63.246,0.5434,20.9306
63.3984,0.5522,20.0546
63.5508,0.561,20.671
63.7032,0.5698,19.7187
63.8556,0.5786,18.7663
64.008,0.5946,17.8139
64.1604,0.5495,16.8819
64.3128,0.5974,15.9017
64.4652,0.7252,15.3402
64.6176,0.7304,15.4082
64.77,0.7085,18.2152
64.9224,0.7311,21.0222
65.0748,0.7338,23.8292
65.2272,0.7024,25.2709
65.3796,0.6655,24.7936
65.532,0.6675,25.2248
65.6844,0.6899,24.1395
65.8368,0.6762,22.8061
65.9892,0.6687,21.4728
66.1416,0.689,20.1395
66.294,0.6632,19.0
66.4464,0.5644,18.7974
66.5988,0.4707,18.1697
66.7512,0.4404,17.6894
66.9036,0.4207,17.5008
67.056,0.4375,17.3254
67.2084,0.54,17.1499
67.3608,0.6167,17.1818
67.5132,0.6622,18.0
67.6656,0.744,19.3893
67.818,0.8141,20.8465
67.9704,0.8295,21.9403
68.1228,0.8223,23.4545
68.2752,0.7954,24.9929
68.4276,0.7405,25.2444
68.58,0.715,23.0569
68.7324,0.7449,22.0341
68.8848,0.7412,21.4001
69.0372,0.7004,20.7878
69.1896,0.6751,21.8635
69.342,0.6545,23.6019
69.4944,0.5987,20.8638
69.6468,0.5132,18.1257
69.7992,0.4579,15.3876
69.9516,0.4406,12.6495
70.104,0.4295,11.2285
70.2564,0.4415,11.6536
70.4088,0.5033,11.4648
70.5612,0.6164,11.7145
70.7136,0.6971,11.8586
70.866,0.7396,11.9476
71.0184,0.7634,12.0366
71.1708,0.7779,12.1257
71.3232,0.775,12.2147
71.4756,0.7395,12.3037
71.628,0.6572,12.3928
71.7804,0.4812,12.4818
71.9328,0.3252,12.9644
72.0852,0.3032,14.1069
72.2376,0.2865,16.2105
72.39,0.2153,16.8125
72.5424,0.1888,16.9988
72.6948,0.2469,17.0
72.8472,0.389,16.0765
72.9996,0.5311,14.7775
73.152,0.6733,15.4398
73.3044,0.8154,16.6656
73.4568,0.8876,17.4034
73.6092,0.8547,18.0
73.7616,0.8108,17.6667
73.914,0.807,18.081
74.0664,0.8076,17.969
74.2188,0.8008,17.5419
74.3712,0.8287,17.4286
74.5236,0.8673,17.5989
74.676,0.8667,17.1614
74.8284,0.8768,17.1063
74.9808,0.8992,17.1429
75.1332,0.8826,17.084
75.2856,0.8547,16.9137
75.438,0.8528,16.7434
75.5904,0.8644,16.5731
75.7428,0.8607,17.2854
75.8952,0.8771,18.2056
76.0476,0.903,18.2857
76.2,0.9101,19.1667
76.3524,0.9393,20.636
76.5048,0.9506,21.2383
76.6572,0.9209,21.5495
76.8096,0.9036,21.8607
76.962,0.9079,22.1718
77.1144,0.9227,22.483
77.2668,0.9133,21.1274
77.4192,0.892,20.9935
77.5716,0.8792,21.3739
77.724,0.8846,20.7103
77.8764,0.9001,20.4778
78.0288,0.9002,20.2452
78.1812,0.8635,20.0127
78.3336,0.8413,18.246
78.486,0.8529,18.0523
78.6384,0.8736,17.5163
78.7908,0.885,17.3231
78.9432,0.9121,16.8578
79.0956,0.9545,16.7751
79.248,0.9452,15.7577
79.4004,0.8996,15.5785
79.5528,0.8953,15.4819
79.7052,0.9022,14.3387
79.8576,0.869,14.355
80.01,0.8538,14.0546
80.1624,0.8776,14.0788
80.3148,0.9059,14.1621
80.4672,0.9115,14.6
80.6196,0.9018,15.3727
80.772,0.8881,16.7893
80.9244,0.8736,18.0
81.0768,0.8606,18.0
81.2292,0.8624,17.8882
81.3816,0.863,16.7061
81.534,0.8623,15.5239
81.6864,0.8936,15.117
81.8388,0.9046,15.6
81.9912,0.8886,15.7995
82.1436,0.8943,15.7431
82.296,0.9049,15.375
82.4484,0.8945,15.0068
82.6008,0.8801,14.6754
82.7532,0.8773,14.6
82.9056,0.8659,14.6864
83.058,0.8637,15.5487
83.2104,0.8788,16.6201
83.3628,0.885,17.6915
83.5152,0.8832,17.0
83.6676,0.8851,17.0
83.82,0.8781,16.696
83.9724,0.876,16.5398
84.1248,0.894,16.3835
84.2772,0.871,16.0137
84.4296,0.8339,15.6
84.582,0.8465,15.2818
84.7344,0.8614,15.4057
84.8868,0.859,15.5703
85.0392,0.8757,15.735
85.1916,0.9089,15.8591
85.344,0.8843,16.2
85.4964,0.6976,18.2139
85.6488,0.6279,19.52
85.8012,0.6728,20.0
85.9536,0.4828,19.9172
86.106,0.2323,19.8061
86.2584,0.201,19.695
86.4108,0.1669,18.2
86.5632,0.1013,17.9167
86.7156,0.0636,17.5962
86.868,0.0588,18.258
87.0204,0.0631,18.9198
87.1728,0.0792,19.5815
87.3252,0.0948,19.4239
87.4776,0.1223,18.8141
87.63,0.1503,18.9277
87.7824,0.1494,17.9698
87.9348,0.1268,17.2834
88.0872,0.1706,17.2771
88.2396,0.3371,17.6739
88.392,0.4919,17.7689
88.5444,0.5247,17.9375
88.6968,0.522,18.2273
88.8492,0.5298,17.7273
89.0016,0.5275,17.2
89.154,0.5163,17.2
89.3064,0.5129,17.7874
89.4588,0.5323,18.8643
89.6112,0.5641,19.9412
89.7636,0.5878,19.8
89.916,0.6009,19.7785
90.0684,0.6071,20.1425
90.2208,0.6029,20.7415
90.3732,0.5992,21.3406
90.5256,0.6086,21.4
90.678,0.6129,21.4
90.8304,0.6043,19.0806
90.9828,0.5975,16.3726
91.1352,0.5897,14.6
91.2876,0.5906,14.6
91.44,0.6215,15.372
91.5924,0.5491,16.7874
91.7448,0.4099,18.2028
91.8972,0.3634,18.4
92.0496,0.3591,18.3531
92.202,0.3183,18.0305
92.3544,0.2564,17.7079
92.5068,0.2128,17.6
92.6592,0.202,17.9126
92.8116,0.2696,19.5686
92.964,0.3886,20.931
93.1164,0.4458,20.6314
93.2688,0.4593,20.0
93.4212,0.4661,19.1048
93.5736,0.4367,18.3667
93.726,0.4848,17.4272
93.8784,0.5778,17.4
94.0308,0.5764,17.2075
94.1832,0.5773,18.2909
94.3356,0.6444,18.1365
94.488,0.6706,17.7577
94.6404,0.6376,17.7682
94.7928,0.6332,18.3515
94.9452,0.6633,17.6
95.0976,0.6936,17.6895
95.25,0.7342,18.3049
95.4024,0.7824,18.9203
95.5548,0.7949,19.2
95.7072,0.7358,19.1396
95.8596,0.679,19.4179
96.012,0.6679,20.0472
96.1644,0.6703,19.6
96.3168,0.67,20.0438
96.4692,0.6605,20.4211
96.6216,0.6882,21.0453
96.774,0.747,22.118
96.9264,0.7436,21.374
97.0788,0.6948,21.0
97.2312,0.7011,21.0
97.3836,0.7193,20.5994
97.536,0.7051,20.1757
97.6884,0.7272,19.7519
97.8408,0.8022,19.3282
97.9932,1.0322,18.9045
98.1456,1.7253,18.4808
98.298,2.6439,18.057
98.4504,2.7782,17.6333
98.6028,2.6232,17.2096
98.7552,1.9074,16.7858
98.9076,1.1001,16.3621
99.06,0.7918,16.0
99.2124,0.7013,16.0
99.3648,0.7032,16.0
99.5172,0.7638,16.0
99.6696,0.7784,16.0
99.822,0.7343,16.0
99.9744,0.7338,16.0
100.1268,0.8163,14.3737
100.2792,0.8298,14.4546
100.4316,0.7775,14.1745
100.584,0.672,13.6364
100.7364,0.4963,13.5065
100.8888,0.3747,13.6493
101.0412,0.3325,13.7922
101.1936,0.3323,13.9351
101.346,0.3347,14.1385
101.4984,0.3189,14.5714
101.6508,0.3278,14.4156
101.8032,0.4324,14.6045
101.9556,0.5228,14.9795
102.108,0.5109,15.3545
102.2604,0.5383,15.4465
102.4128,0.6119,16.2857
102.5652,0.6374,16.39
102.7176,0.629,17.2797
102.87,0.6276,20.7893
103.0224,0.6161,24.2988
103.1748,0.6323,27.8084
103.3272,0.6764,27.5714
103.4796,0.6771,27.5714
103.632,0.6314,27.5909
103.7844,0.6003,26.3592
103.9368,0.5943,25.0467
104.0892,0.5832,23.7342
104.2416,0.5585,24.5237
104.394,0.5637,24.625
104.5464,0.5916,26.2062
104.6988,0.6064,26.4212
104.8512,0.5879,25.5774
105.0036,0.5404,22.8818
105.156,0.5131,20.1863
105.3084,0.5408,19.5
105.4608,0.5951,19.5
105.6132,0.6592,19.7027
105.7656,0.647,20.0262
105.918,0.5246,20.3497
106.0704,0.4301,20.7301
106.2228,0.4149,22.2575
106.3752,0.4234,23.0431
106.5276,0.4427,23.0465
106.68,0.4546,23.4286
106.8324,0.4645,23.9452
106.9848,0.482,24.4618
107.1372,0.4815,25.3055
107.2896,0.4744,24.3
107.442,0.4853,24.5556
107.5944,0.4878,24.4267
107.7468,0.4606,25.3961
107.8992,0.4367,26.3654
108.0516,0.4664,26.9615
108.204,0.5338,26.6968
108.3564,0.6072,26.4321
108.5088,0.6299,26.1674
108.6612,0.5854,25.9027
108.8136,0.5585,25.638
108.966,0.5495,25.3733
109.1184,0.508,24.8978
109.2708,0.5155,24.5
109.4232,0.5093,24.2122
109.5756,0.4167,23.8136
109.728,0.3413,23.5636
109.8804,0.3305,24.0
110.0328,0.3245,24.0
110.1852,0.3179,22.6249
110.3376,0.3107,21.1703
