DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
29.108,,,,,,,,,,,,,,,,,,,,,,,
29.261,,,,,,,,,,,,,,,,,,,,,,,
29.413,,,17.5,,,,,,,,,,,,,,,,,,,,
29.566,,,17.5,,,,,,,,,,,,,,,,,,,,
29.718,,,17.5,,,,,,,,,,,,,,,,,,,,
29.87,,,17.5,,,,,,,,,,,,,,,,,,,,
30.023,,,17.5,,,,,,,,,,,,,,,,,,,,
30.175,,,17.5,,,,,,,,,,,,,,,,,,,,
30.328,,,17.5,,,,,,,,,,,,,,,,,,,,
30.48,,,17.5,,,,,,,,,,,,,,,,,,,,
30.632,,,17.5,,,,,,,,,,,,,,,,,,,,
30.785,,,17.5,,,,,,,,,,,,,,,,,,,,
30.937,,,17.5,,,,,,,,,,,,,,,,,,,,
31.09,,,17.5,,,,,,,,,,,,,,,,,,,,
31.242,,,17.5,,,,,,,,,,,,,,,,,,,,
31.394,,,17.5,,,,,,,,,,,,,,,,,,,,
31.547,,,17.5,,,,,,,,,,,,,,,,,,,,
31.699,,,17.5,,,,,,,,,,,,,,,,,,,,
31.852,,,17.5,,,,,,,,,,,,,,,,,,,,
32.004,,,17.5,,25.46,,,,,,,,,,,,,,,,,25.085,
32.156,,,17.5,,26.424,,,,,,,,,,,,,,,,,28.922,
32.309,,,17.5,,25.329,,,,,,,,,,,,,,,,,25.151,
32.461,,,17.5,,26.943,,,,,,,,,,,,,,,,,22.003,
32.614,,,17.5,,25.126,,,,,,,,,,,,,,,,,33.788,
32.766,,,17.5,,25.255,25.889,,,,,,,,,,,,,,,,19.624,
32.918,,,17.5,27.684,24.796,28.657,,,,,,,,,,,,,,,,22.688,
33.071,,,17.5,29.668,26.852,28.504,,,,,,,,,,,,,,,,32.53,
33.223,,,17.5,30.211,28.609,31.836,,,,,,,,,,,,,,,,25.756,
33.376,,,17.5,31.206,25.454,30.606,,,,,,,,,,,,,,,,27.96,
33.528,,,17.5,28.86,25.729,30.913,,,,,,,,,,,,,,,,22.78,
33.68,,,17.5,28.532,26.39,24.813,,,,,,,,,,,,,,,,26.286,
33.833,,,17.5,28.894,26.299,29.478,,,,,,,,,,,,,,,,29.907,
33.985,,,17.5,29.708,25.674,31.99,,,,,,,,,,,,,,,,22.399,
34.138,,,17.5,31.053,26.21,27.273,,,,,,,,,,,,,,,,24.705,
34.29,,,17.5,29.515,27.364,33.323,,,,,,,,,,,,,,,,31.293,
34.442,,,17.5,30.239,27.749,27.068,,,,,,,,,,,,,,,,25.932,
34.595,,,17.5,29.312,23.531,29.632,,,,,,0.954,,,0.933,,,,,,0.665,25.91,
34.747,,,17.5,30.398,23.918,30.401,,,,,,0.826,,,0.867,,,,,,0.721,18.749,
34.9,,,17.5,30.488,25.073,30.862,,,,,,1.031,,,1.043,,,,,,0.711,27.236,
35.052,,,17.5,30.646,26.871,29.631,,,,,,0.94,,,0.946,,,,,,0.719,29.539,
35.204,,,17.5,31.189,25.641,31.426,,,,,,0.904,,,0.889,,,,,,0.653,23.989,
35.357,,,17.5,31.099,26.119,33.681,,,,,,0.687,,,0.676,,,,,,0.683,23.542,
