wellName,datasetName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
,,M,INCH,INCH,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,m
Cheal-C4,Clean,656.539,8.5,12.096,2.281,128.25,118.011,0.376,3.361,25.499,14.534,3.316,613.3997
Cheal-C4,Clean,656.692,8.5,12.853,2.284,129.25,125.567,0.347,3.33,26.081,14.924,3.548,613.5159
Cheal-C4,Clean,656.844,8.5,13.43,2.288,129,130.208,0.341,3.31,26.127,15.275,4.243,613.6314
Cheal-C4,Clean,656.996,8.5,14.517,2.287,130,139.629,0.318,3.334,25.605,15.71,5.48,613.7469
Cheal-C4,Clean,657.149,8.5,15.006,2.285,129.25,138.701,0.307,3.378,26.073,16.328,6.312,613.8632
Cheal-C4,Clean,657.301,8.5,15.302,2.287,127.5,144.144,0.299,3.397,26.391,16.521,6.448,613.9788
Cheal-C4,Clean,657.454,8.5,15.174,2.291,125.75,143.48,0.317,3.372,27.025,16.088,6.752,614.095
Cheal-C4,Clean,657.606,8.5,9.546,2.291,123.25,123.158,0.358,3.319,29.721,16.599,5.973,614.2106
Cheal-C4,Clean,657.758,8.5,9.33,2.286,123.25,122.103,0.342,3.272,29.526,16.694,5.196,614.3261
Cheal-C4,Clean,657.911,8.5,9.354,2.283,124.25,128.126,0.33,3.222,28.379,16.451,4.909,614.4424
Cheal-C4,Clean,658.063,8.5,9.402,2.287,125,125.539,0.321,3.17,28.178,16.877,4.995,614.5579
Cheal-C4,Clean,658.216,8.5,9.45,2.289,124.166,124.14,0.347,3.137,27.018,16.703,5.251,614.6742
Cheal-C4,Clean,658.368,8.5,9.426,2.287,123.334,121.376,0.363,3.117,26.039,16.516,5.396,614.7897
Cheal-C4,Clean,658.52,8.5,9.506,2.278,123.5,126.526,0.375,3.12,24.729,15.998,5.376,614.9048
Cheal-C4,Clean,658.673,8.5,9.474,2.277,123.25,128.133,0.357,3.097,23.847,15.723,5.372,615.018
Cheal-C4,Clean,658.825,8.5,9.466,2.274,123.251,128.345,0.349,3.091,23.461,15.704,5.336,615.1305
Cheal-C4,Clean,658.978,8.5,9.33,2.277,123.416,123.633,0.354,3.076,23.371,15.738,5.303,615.2437
Cheal-C4,Clean,659.13,8.5,9.234,2.279,121.75,122.032,0.362,3.066,22.439,15.292,5.126,615.3588
Cheal-C4,Clean,659.282,8.5,9.202,2.278,120.831,120.973,0.362,3.06,22.185,15.26,5.097,615.4743
Cheal-C4,Clean,659.435,8.5,9.169,2.278,122.584,119.57,0.351,3.047,23.541,16.118,5.157,615.5906
Cheal-C4,Clean,659.587,8.5,9.282,2.28,124.166,120.486,0.349,3.053,25.273,17.055,5.159,615.7061
Cheal-C4,Clean,659.74,8.5,9.306,2.281,124.25,123.764,0.336,3.042,26.035,17.444,5.159,615.8224
Cheal-C4,Clean,659.892,8.5,9.466,2.279,125,126.911,0.343,3.047,25.373,16.98,5.231,615.9379
Cheal-C4,Clean,660.044,8.5,9.787,2.278,123.334,131.333,0.336,3.029,25.088,16.712,5.185,616.0535
Cheal-C4,Clean,660.197,8.5,9.618,2.279,123.416,123.234,0.347,3.007,24.995,16.607,5.242,616.1697
Cheal-C4,Clean,660.349,8.5,9.667,2.28,124.25,124.148,0.348,2.985,24.931,16.487,5.237,616.2853
Cheal-C4,Clean,660.502,8.5,9.683,2.276,125,118.753,0.331,2.975,25.855,16.952,5.21,616.4015
Cheal-C4,Clean,660.654,8.5,9.715,2.272,124.25,123.999,0.339,2.972,26.472,17.325,5.188,616.514
Cheal-C4,Clean,660.806,8.5,9.667,2.269,123.25,120.204,0.335,2.992,26.53,17.431,5.157,616.6265
Cheal-C4,Clean,660.959,8.5,9.667,2.276,122.5,123.893,0.356,3.038,26.714,17.658,5.099,616.7397
Cheal-C4,Clean,661.111,8.5,9.667,2.284,123.25,127.328,0.327,3.087,26.354,17.452,4.957,616.8544
Cheal-C4,Clean,661.264,8.5,9.618,2.285,124.25,128.992,0.33,3.125,25.59,17.028,4.838,616.9706
Cheal-C4,Clean,661.416,8.5,9.618,2.273,123.25,129.872,0.317,3.17,24.707,16.59,4.888,617.0862
Cheal-C4,Clean,661.568,8.5,9.594,2.263,124.251,125.182,0.329,3.212,22.716,15.514,4.778,617.2003
Cheal-C4,Clean,661.721,8.5,9.586,2.26,123.5,128.286,0.323,3.23,22.08,15.144,4.708,617.3135
Cheal-C4,Clean,661.873,8.5,9.594,2.264,122.5,122.754,0.331,3.214,22.131,15.227,4.853,617.426
Cheal-C4,Clean,662.026,8.5,9.582,2.269,120.751,120.288,0.33,3.17,21.744,15.069,4.992,617.5398
Cheal-C4,Clean,662.178,8.5,9.57,2.272,120.834,116.293,0.346,3.115,22.085,15.303,5.022,617.6553
Cheal-C4,Clean,662.33,8.5,9.522,2.28,121.75,118.918,0.333,3.052,23.351,16.005,5.016,617.7708
Cheal-C4,Clean,662.483,8.5,9.498,2.285,121.75,119.951,0.32,3.05,24.186,16.475,5.081,617.8871
Cheal-C4,Clean,662.635,8.5,9.438,2.286,121.75,119.449,0.322,3.091,25.527,17.246,5.204,618.0026
Cheal-C4,Clean,662.788,8.5,9.45,2.282,121.75,120.317,0.339,3.142,26.732,17.844,5.241,618.1189
Cheal-C4,Clean,662.94,8.5,9.426,2.275,121.666,118.312,0.357,3.121,27.069,17.943,5.242,618.2344
Cheal-C4,Clean,663.092,8.5,9.45,2.275,120.834,121.615,0.328,3.055,27.002,17.934,5.247,618.3481
Cheal-C4,Clean,663.245,8.5,9.426,2.276,122.5,119.492,0.334,2.983,26.831,17.838,5.242,618.4613
Cheal-C4,Clean,663.397,8.5,9.402,2.284,122.584,122.614,0.371,2.954,26.799,17.843,5.199,618.5738
Cheal-C4,Clean,663.55,8.5,9.426,2.288,125,121.787,0.371,2.948,26.86,17.884,5.134,618.688
Cheal-C4,Clean,663.702,8.5,9.426,2.29,125,116.747,0.342,2.983,27.162,18.096,5.165,618.8035
Cheal-C4,Clean,663.854,8.5,9.49,2.289,123.334,116.367,0.319,3.035,27.016,18.09,5.146,618.9191
Cheal-C4,Clean,664.007,8.5,9.618,2.288,123.5,116.731,0.32,3.082,27.176,18.157,5.17,619.0352
Cheal-C4,Clean,664.159,8.5,9.699,2.287,123.334,124.904,0.302,3.067,27.211,18.182,5.197,619.1477
Cheal-C4,Clean,664.312,8.5,9.707,2.288,120.75,127.128,0.285,3.009,26.192,17.648,5.165,619.2609
Cheal-C4,Clean,664.464,8.5,9.715,2.287,119.084,129.207,0.266,2.967,24.597,16.861,5.107,619.3734
Cheal-C4,Clean,664.616,8.5,9.799,2.289,120.834,126.618,0.281,2.978,24.242,16.792,5.146,619.4882
Cheal-C4,Clean,664.769,8.5,9.618,2.284,119.166,120.703,0.288,3.01,23.818,16.647,5.152,619.6045
Cheal-C4,Clean,664.921,8.5,9.667,2.285,118.249,115.171,0.323,3.039,24.424,17.034,5.162,619.72
Cheal-C4,Clean,665.074,8.5,9.634,2.284,119.416,113.665,0.318,3.039,25.361,17.591,5.271,619.8362
Cheal-C4,Clean,665.226,8.5,9.594,2.288,121,116.784,0.344,3.036,26.197,18.09,5.406,619.9518
Cheal-C4,Clean,665.378,8.5,9.294,2.288,119,120.563,0.324,3.042,26.314,18.097,5.472,620.0673
Cheal-C4,Clean,665.531,8.5,9.173,2.288,120,124.097,0.325,3.07,25.521,17.499,5.318,620.1829
Cheal-C4,Clean,665.683,8.5,9.21,2.291,120,123.965,0.311,3.102,25.786,17.611,5.32,620.2954
Cheal-C4,Clean,665.836,8.5,9.258,2.29,119.416,120.657,0.33,3.094,26.81,18.204,5.512,620.4086
Cheal-C4,Clean,665.988,8.5,9.258,2.289,119.334,118.905,0.34,3.061,27.091,18.359,5.571,620.5211
Cheal-C4,Clean,666.14,8.5,9.246,2.288,120.75,121.259,0.345,3.028,26.811,18.186,5.521,620.6364
Cheal-C4,Clean,666.293,8.5,9.258,2.29,121.75,123.329,0.371,3.029,26.331,17.892,5.405,620.7527
Cheal-C4,Clean,666.445,8.5,9.258,2.291,121.75,126.315,0.384,3.038,26.252,17.84,5.331,620.8682
Cheal-C4,Clean,666.598,8.5,9.25,2.29,120.75,122.655,0.363,3.032,26.299,17.86,5.281,620.9825
Cheal-C4,Clean,666.75,8.5,9.258,2.291,120,123.231,0.357,3.027,26.133,17.685,5.16,621.095
Cheal-C4,Clean,666.902,8.5,9.234,2.29,120.834,120.504,0.36,3.019,25.785,17.405,5.049,621.2075
Cheal-C4,Clean,667.055,8.5,9.149,2.293,121.75,121.165,0.365,3.017,25.874,17.474,5.065,621.3218
Cheal-C4,Clean,667.207,8.5,9.097,2.292,120,120.243,0.348,2.985,25.788,17.438,5.028,621.4373
Cheal-C4,Clean,667.36,8.5,9.113,2.292,120,120.783,0.353,2.97,25.359,17.222,4.954,621.5536
Cheal-C4,Clean,667.512,8.5,9.121,2.291,120,117.906,0.339,2.982,25.866,17.404,4.922,621.6691
Cheal-C4,Clean,667.664,8.5,9.113,2.296,119.166,117.068,0.347,3.061,26.642,17.651,4.975,621.7846
Cheal-C4,Clean,667.817,8.5,9.125,2.299,119.166,124.594,0.351,3.125,27.018,17.652,5.062,621.9009
Cheal-C4,Clean,667.969,8.5,9.137,2.305,118.25,127.893,0.348,3.182,27.03,17.522,5.092,622.0164
Cheal-C4,Clean,668.122,8.5,9.161,2.311,118.25,128.017,0.352,3.221,27.118,17.528,5.249,622.1302
