DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HVOL,AVOL,BIT,HDP3,HDP4,HDP5,HDP6,HDPT
0.0,,,,,,,,,,,,,,12.25,,,,,
0.1,,,,,,,,,,,,,,12.25,,,,,
0.2,,,,,,,,,,,,,,12.25,,,,,
0.3,,,,,,,,,,199.205,,,,12.25,,,,,
0.4,,,,,,,,,,190.32,,,,12.25,,,,,
0.5,,,,,,,,,,185.191,,,,12.25,,,,,
0.6,,,,,,,,,,171.477,,,,12.25,,,,,
0.7,,,,,,,,,,154.737,,,,12.25,,,,,
0.8,,,,,,,,,,138.556,,,,12.25,,,,,
0.9,,,,,,,,,,120.998,,,,12.25,,,,,
1.0,,,,,,,,,,99.533,,,,12.25,,,,,
1.1,,,,,,,,,,86.409,,,,12.25,,,,,
1.2,,,,,,,,,,76.041,,,,12.25,,,,,
1.3,,,,,,,,,,74.324,,,,12.25,,,,,
1.4,,,,,,,,,,72.786,,,,12.25,,,,,
1.5,,,,,,,,,,70.638,,,,12.25,,,,,
1.6,,,,,,,,,,67.784,,,,12.25,,,,,
1.7,,,,,,,,,,64.615,,,,12.25,,,,,
1.8,,,,,,,,,,61.108,,,,12.25,,,,,
1.9,,,,,,,,,,57.9,,,,12.25,,,,,
2.0,,,,,,,,,,56.663,,,,12.25,,,,,
2.1,,,,,,,,,,58.289,,,,12.25,,,,,
2.2,,,,,,,,,,62.552,,,,12.25,,,,,
2.3,,,,,,,,,,69.24,,,,12.25,,,,,
2.4,,,,,,,,,,76.864,,,,12.25,,,,,
2.5,,,,,,,,,,83.795,,,,12.25,,,,,
2.6,,,,,,,,,,89.213,,,,12.25,,,,,
2.7,,,,,,,,,,92.708,,,,12.25,,,,,
2.8,,,,,,,,,,94.771,,,,12.25,,,,,
2.9,,,,,,,,,,96.269,,,,12.25,,,,,
3.0,,,,,,,,,,97.245,,,,12.25,,,,,
3.1,,,,,,,,,,97.734,,,,12.25,,,,,
3.2,,,,,,,,,,97.859,,,,12.25,,,,,
3.3,,,,,,,,,,97.761,,,,12.25,,,,,
3.4,,,,,,,,,,97.467,,,,12.25,,,,,
3.5,,,,,,,,,,97.306,,,,12.25,,,,,
3.6,,,,,,,,,,97.111,,,,12.25,,,,,
3.7,,,,,,,,,,97.309,,,,12.25,,,,,
3.8,,,,,,,,,,97.643,,,,12.25,,,,,
3.9,,,,,,,,,,98.375,,,,12.25,,,,,
4.0,,,,,,,,,,99.612,,,,12.25,,,,,
4.1,,,,,,,,,,101.727,,,,12.25,,,,,
4.2,,,,,,,,,,104.38,,,,12.25,,,,,
4.3,,,,,,,,,,107.722,,,,12.25,,,,,
4.4,,,,,,,,,,111.636,,,,12.25,,,,,
4.5,,,,,,,,,,116.054,,,,12.25,,,,,
4.6,,,,,,,,,,120.834,,,,12.25,,,,,
4.7,,,20.661,,,,,,,125.891,,,,12.25,,,,,
4.8,,,20.434,,,,,,,131.366,,,,12.25,,,,,
4.9,,,20.072,,,,,,,136.921,,,,12.25,,,,,
5.0,,,19.636,,,,,,,142.494,,,,12.25,,,,,
5.1,,,19.725,,,,,,,148.553,,,,12.25,,,,,
5.2,,,20.133,,,,,,,155.017,,,,12.25,,,,,
5.3,,,21.176,,,,,,,161.264,,,,12.25,,,,,
5.4,,,22.004,,,,,,,167.129,,,,12.25,,,,,
5.5,,,22.854,,,,,,,172.507,,,,12.25,,,,,
5.6,29.12,,22.936,,,,,,,176.689,,,,12.25,,,,,
5.7,29.13,,23.22,,,,,,,179.94,,,,12.25,,,,,
5.8,29.136,,23.846,,,,,,,182.562,,,,12.25,,,,,
5.9,29.121,,25.335,,,,,,,184.896,,,,12.25,,,,,
6.0,29.123,,27.619,,,,,,,186.844,,,,12.25,,,,,
6.1,29.118,,30.586,,,,,,,188.549,,,,12.25,,,,,
6.2,29.107,,33.519,,,,,,,189.962,,,,12.25,,,,,
6.3,29.159,,36.539,,,,,,,191.04,,,,12.25,,,,,
6.4,29.119,,38.377,,,,,,,191.876,,,,12.25,,,,,
6.5,29.168,,38.711,,,,,,,192.596,,,,12.25,,,,,
6.6,29.165,,37.343,,,,,,,193.146,,,,12.25,,,,,
6.7,29.133,,35.076,1.083,,,,,,193.666,,,,12.25,,,,,
6.8,29.167,,31.778,0.975,,,,,,194.213,,,,12.25,,,,,
6.9,29.183,,29.282,0.839,,,,,,194.726,,,,12.25,,,,,
7.0,29.126,,27.908,0.72,,,,,,195.073,,,,12.25,,,,,
7.1,29.157,,28.102,0.633,,,,,,195.459,,,,12.25,,,,,
7.2,29.166,,28.305,0.603,,,,,,195.775,,,,12.25,,,,,
7.3,29.163,,28.895,0.611,,,,,,195.997,,,,12.25,,,,,
7.4,29.161,,29.13,0.641,,,,,,196.231,,,,12.25,,,,,
7.5,29.181,,29.393,0.654,,,,,,196.58,,,,12.25,,,,,
7.6,29.174,,28.791,0.647,,,,,,196.89,,,,12.25,,,,,
7.7,29.171,,28.874,0.633,,,,,,197.16,,,,12.25,,,,,
7.8,29.158,,28.286,0.631,,,,,,197.452,,,,12.25,,,,,
7.9,29.188,,27.482,0.639,,,,,,197.841,,,,12.25,,,,,
8.0,29.174,,25.747,0.648,,,,,,198.215,,,,12.25,,,,,
8.1,29.165,,24.731,0.652,,,,,,198.522,,,,12.25,,,,,
8.2,29.176,,24.082,0.641,,,,,,199.005,,,,12.25,,,,,
8.3,29.148,,23.948,0.608,,,,,,199.521,,,,12.25,,,,,
8.4,29.162,,24.234,0.559,,,,,,199.871,,,,12.25,,,,,
8.5,29.22,,24.781,0.519,,,,,,200.275,,,,12.25,,,,,
8.6,29.16,,25.444,0.504,,,,,,200.749,,,,12.25,,,,,
8.7,29.178,,25.244,0.509,,,,,,201.175,,,,12.25,,,,,
8.8,29.181,,25.324,0.533,1.565,,,,,201.609,,0.004,0.0,12.25,,,,,
8.9,29.224,,25.533,0.571,1.565,,,,,202.098,,0.004,0.0,12.25,,,,,
9.0,29.157,,26.244,0.621,1.565,,,,,202.688,,0.004,0.0,12.25,,,,,
9.1,29.142,,26.401,0.666,1.565,,,,,203.283,,0.004,0.0,12.25,,,,,
9.2,29.194,,26.501,0.719,1.565,,,,,203.961,,0.004,0.0,12.25,,,,,
9.3,29.162,,26.174,0.761,1.565,,,,,204.775,,0.004,0.0,12.25,,,,,
9.4,29.186,,25.803,0.795,1.565,,,,,205.705,,0.004,0.0,12.25,,,,,
9.5,29.223,,25.401,0.79,1.565,-1.229,1.814,13.103,,206.556,,0.004,0.0,12.25,,,,,
9.6,29.15,,25.198,0.762,1.565,-1.225,1.825,13.127,,207.483,,0.004,0.0,12.25,,,,,
9.7,29.223,,24.835,0.718,1.565,-1.222,1.834,13.134,,208.425,,0.004,0.0,12.25,,,,,
