DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,HP01,HP02,BIT
1588.2,,,,,,,,,,,,,,,,,,,,,8.5
1588.3,,,,,,,,,,,,,,,,,,,,,8.5
1588.4,,,,,,,,,,,,,,,,,,,,,8.5
1588.5,,,,,,,,,,,,,,,,,,,,,8.5
1588.6,,,,,,,,,,,,,,,,,,,,,8.5
1588.7,,,,,,,,,,,,,,,,,,,,,8.5
1588.8,,,,,,,,,,,,,,,,,,,,,8.5
1588.9,,,,,,,,,,,,,,,,,,,,,8.5
1589.0,,,,,,,,,,,,,,,,,,,,,8.5
1589.1,,,,,,,,,,,,,,,,,,,,,8.5
1589.2,,,,,,,,,,,,,,,,,,,,,8.5
1589.3,,,,,,,,,,,,,,,,,,,,,8.5
1589.4,,,,,,,,,,,,,,,,,,,,,8.5
1589.5,,,,,,,,,,,,,,,,,,,,,8.5
1589.6,,,,,,,,,,,,,,,,,,,,,8.5
1589.7,,,,,,,,,,,,,,,,,,,,,8.5
1589.8,,,,,,,,,,,,,,,,,,,,,8.5
1589.9,,,,,,,,,,,,,,,,,,,,,8.5
1590.0,,,,,,,,,,,,,,,,,,,,,8.5
1590.1,,,,,,,,,,,,,,,,,,,,,8.5
1590.2,,,,,,,,,,,,,,,,,,,,,8.5
1590.3,,,,,,,,,,,,,,,,,,,,,8.5
1590.4,,,,,,,,,,,,,,,,,,,,,8.5
1590.5,,,,,,,,,,,,,,,,,,,,,8.5
1590.6,,,,,,,,,,,,,,,,,,,,,8.5
1590.7,,,,,,,,,,,,,,,,,,,,,8.5
1590.8,,,,,,,,,,,,,,,,,,,,,8.5
1590.9,,,,,,,,,,,,,,,,,,,,,8.5
1591.0,,,,,,,,,,,,,,,,,,,,,8.5
1591.1,,,,,,,,,,,,,,,,,,,,,8.5
1591.2,,,,,,,,,,,,,,,,,,,,,8.5
1591.3,,,,,,,,,,,,,,,,,,,,,8.5
1591.4,,,,,,,,,,,,,,,,,,,,,8.5
1591.5,,,,,,,,,,,,,,,,,,,,,8.5
1591.6,,,,,,,,,,,,,,,,,,,,,8.5
1591.7,,,,,,,,,,,,,,,,,,,,,8.5
1591.8,,,,,,,,,,,,,,,,,,,,,8.5
1591.9,,,,,,,,,,,,,,,,,,,,,8.5
1592.0,,,,,,,,,,,,,,,,,,,,,8.5
1592.1,,,,,,,,,,,,,,,,,,,,,8.5
1592.2,,,,,,,,,,,,,,,,,,,,,8.5
1592.3,,,,,,,,,,,,,,,,,,,,,8.5
1592.4,,,,,,,,,,,,,,,,,,,,,8.5
1592.5,,,,,,,,,,,,,,,,,,,,,8.5
1592.6,,,,,,,,,,,,,,,,,,,,,8.5
1592.7,,,,,,,,,,,,,,,,,,,,,8.5
1592.8,,,,,,,,,,,,,,,,,,,,,8.5
1592.9,,,,,,,,,,,,,,,,,,,,,8.5
1593.0,,,,,,,,,,,,,,,,,,,,,8.5
1593.1,,,,,,,,,,,,,,,,,,,,,8.5
1593.2,,,,,,,,,,,,,,,,,,,,,8.5
1593.3,,,,,,,,,,,,,,,,,,,,,8.5
1593.4,,,,,,,,,,,,,,,,,,,,,8.5
1593.5,,,,,,,,,,,,,,,,,,,,,8.5
1593.6,,,,,,,,,,,,,,,,,,,,,8.5
1593.7,,,,,,,,,,,,,,,,,,,,,8.5
1593.8,,,,,,,,,,,,,,,,,,,,,8.5
1593.9,,,,,,,,,,,,,,,,,,,,,8.5
1594.0,,,,,,,,,,,,,,,,,,,,,8.5
1594.1,,,,,,,,,,,,,,,,,,,,,8.5
1594.2,,,,,,,,,,,,,,,,,,,,,8.5
1594.3,,,,,,,,,,,,,,,,,,,,,8.5
1594.4,,,,,,,,,,,,,,,,,,,,,8.5
1594.5,,,,,,,,,,,,,,,,,,,,,8.5
1594.6,,,,,,,,,,,,,,,,,,,,,8.5
1594.7,,,,,,,,,,,,,,,,,,,,,8.5
1594.8,,,,,,,,,,,,,,,,,,,,,8.5
1594.9,,,,,,,,,,,,,,,,,,,,,8.5
1595.0,,,,,,,,,,,,,,,,,,,,,8.5
1595.1,,,,,,,,,,,,,,,,,,,,,8.5
1595.2,,,,,,,,,,,,,,,,,,,,,8.5
1595.3,,,,,,,,,,,,,,,,,,,,,8.5
1595.4,,,,,,,,,,,,,,,,,,,,,8.5
1595.5,,,,,,,,,,,,,,,,,,,,,8.5
1595.6,,,,,,,,,,,,,,,,,,,,,8.5
1595.7,,,,,,,,,,,,,,,,,,,,,8.5
1595.8,,,,,,,,,,,,,,,,,,,,,8.5
1595.9,,,,,,,,,,92.759273,,,,,,,,,,,8.5
1596.0,,,,,,,,,,92.747755,,,,,,,,,,,8.5
1596.1,,,,,,,,,,92.753966,,,,,,,,,,,8.5
1596.2,,,,,,,,,,92.760762,,,,,,,,,,,8.5
1596.3,,,,,,,,,,92.765316,,,,,,,,,,,8.5
1596.4,,,,,,,,,,92.723455,,,,,,,,,,,8.5
1596.5,,,,,,,,,,92.761157,,,,,,,,,,,8.5
1596.6,,,,,,,,,,92.774942,,,,,,,,,,,8.5
1596.7,,,,,,,,,,92.879742,,,,,,,,,,,8.5
1596.8,,,,,,,,,,92.927661,,,,,,,,,,,8.5
1596.9,,,,,,,,,,92.964117,,,,,,,,,,,8.5
1597.0,,,,,,,,,,93.013589,,,,,,,,,,,8.5
1597.1,,,,,,,,,,93.034959,,,,,,,,,,,8.5
1597.2,,,,,,,,,,93.027641,,,,,,,,,,,8.5
1597.3,,,,,,,,,,93.069136,,,,,,,,,,,8.5
1597.4,,,,,,,,,,93.103498,,,,,,,,,,,8.5
1597.5,,,,,,,,,,93.128055,,,,,,,,,,,8.5
1597.6,,,,,,,,,,93.183227,,,,,,,,,,,8.5
1597.7,,,,,,,,,,93.182387,,,,,,,,,,,8.5
1597.8,,,,,,,,,,93.181713,,,,,,,,,,,8.5
1597.9,,,,,,,,,,93.222771,,,,,,,,,,,8.5
1598.0,,,,,,,,,,93.247306,,,,,,,,,,,8.5
1598.1,,,,,,,,,,93.257607,,,,,,,,,,,8.5
1598.2,,,,,,,,,,93.336925,,,,,,,,,,,8.5
1598.3,,,,,,,,,,93.42048,,,,,,,,,,,8.5
1598.4,,,,,,,,,,93.483447,,,,,,,,,,,8.5
1598.5,,,,,,,,,,93.538757,,,,,,,,,,,8.5
1598.6,,,,,,,,,,93.570354,,,,,,,,,,,8.5
1598.7,,,,,,,,,,93.592985,,,,,,,,,,,8.5
1598.8,,,,,,,,,,93.607519,,,,,,,,,,,8.5
1598.9,,,,,,,,,,93.636025,,,,,,,,,,,8.5
1599.0,,,,,,,,,,93.717304,,,,,,,,,,,8.5
1599.1,,,,,,,,,,93.803105,,,,,,,,,,,8.5
1599.2,,,,,,,,,,93.848846,,,,,,,,,,,8.5
1599.3,,,,,,,,,,93.854175,,,,,,,,,,,8.5
1599.4,,,,,,,,,,93.794236,,,,,,,,,,,8.5
1599.5,,,,,,,,,,93.778072,,,,,,,,,,,8.5
1599.6,,,,,,,,,,93.777573,,,,,,,,,,,8.5
1599.7,,,,,,,,,,93.745482,,,,,,,,,,,8.5
1599.8,,,,,,,,,,93.719174,,,,,,,,,,,8.5
1599.9,,,,,,,,,,93.671848,,,,,,,,,,,8.5
1600.0,,,,,,,,,,93.521463,,,,,,,,,,,8.5
1600.1,,,,,,,,,,93.392494,,,,,,,,,,,8.5
1600.2,,,,,,,,,,93.379582,,,,,,,,,,,8.5
1600.3,,,114.083757,,,,,,,93.463367,,,,,,,,,,,8.5
1600.4,,,119.010202,,,,,,,93.607781,,,,,,,,,,,8.5
1600.5,,,120.448514,,,,,,,93.881466,,,,,,,,,,,8.5
1600.6,,,118.408811,,,,,,,94.153977,,,,,,,,,,,8.5
1600.7,,,116.749904,,,,,,,94.340349,,,,,,,,,,,8.5
1600.8,,,115.279721,,,,,,,94.501021,,,,,,,,,,,8.5
1600.9,,,117.902169,,,,,,,94.666944,,,,,,,,,,,8.5
1601.0,,,119.564595,,,,,,,94.771452,,,,,,,,,,,8.5
1601.1,47.815263,,121.886226,,,,,,,94.906533,,,,,,,,,,,8.5
1601.2,47.781803,,122.007847,,,,,,,95.072172,,,,,,,,,,,8.5
1601.3,47.809795,,122.184819,,,,,,,95.272165,,,,,,,,,,,8.5
1601.4,47.808561,,121.127943,,,,,,,95.445263,,,,,,,,,,,8.5
1601.5,47.807331,,121.071686,,,,,,,95.572027,,,,,,,,,,,8.5
1601.6,47.822736,,120.445543,,,,,,,95.655882,,,,,,,,,,,8.5
1601.7,47.843372,,119.103209,,,,,,,95.722069,,,,,,,,,,,8.5
1601.8,47.809731,,116.662659,,,,,,,95.765751,,,,,,,,,,,8.5
1601.9,47.850642,,114.998563,,,,,,,95.863721,,,,,,,,,,,8.5
1602.0,47.814236,,114.494623,,,,,,,95.978634,,,,,,,,,,,8.5
1602.1,47.842005,,114.502921,,,,,,,96.046918,,,,,,,,,,,8.5
1602.2,47.838363,,115.038278,0.383881,,,,,,96.123046,,,,,,,,,,,8.5
1602.3,47.836597,,116.346277,0.378358,,,,,,96.216893,,,,,,,,,,,8.5
1602.4,47.835782,,118.233908,0.372142,,,,,,96.23858,,,,,,,,,,,8.5
1602.5,47.827976,,120.602868,0.366839,,,,,,96.205506,,,,,,,,,,,8.5
1602.6,47.83399,,122.315014,0.362864,,,,,,96.191495,,,,,,,,,,,8.5
1602.7,47.860565,,123.512703,0.359772,,,,,,96.11819,,,,,,,,,,,8.5
1602.8,47.866505,,124.519552,0.35685,,,,,,95.935581,,,,,,,,,,,8.5
1602.9,47.829081,,124.789456,0.35369,,,,,,95.686149,,,,,,,,,,,8.5
1603.0,47.845784,,123.695386,0.350664,,,,,,95.462907,,,,,,,,,,,8.5
1603.1,47.85494,,121.877482,0.34929,,,,,,95.198247,,,,,,,,,,,8.5
1603.2,47.842413,,120.544831,0.350937,,,,,,94.884869,,,,,,,,,,,8.5
1603.3,47.854242,,119.45728,0.355051,,,,,,94.648108,,,,,,,,,,,8.5
1603.4,47.85258,,118.020751,0.358059,,,,,,94.530816,,,,,,,,,,,8.5
1603.5,47.85638,,116.666846,0.356717,,,,,,94.35836,,,,,,,,,,,8.5
1603.6,47.814236,,116.588372,0.349785,,,,,,94.309238,,,,,,,,,,,8.5
1603.7,47.853159,,117.500811,0.340999,,,,,,94.391161,,,,,,,,,,,8.5
1603.8,47.825741,,117.789018,0.332999,,,,,,94.522951,,,,,,,,,,,8.5
