DEPT,GR,T-TEMP,ROP
34.1376,41.1232,24.215,
34.29,41.3632,24.2213,
34.4424,41.4366,24.206,
34.5948,40.5471,24.1935,
34.7472,40.4288,24.1935,
34.8996,39.8789,24.1935,
35.052,39.2388,24.231,
35.2044,39.2944,24.2092,
35.3568,40.0025,24.1874,
35.5092,40.311,24.2317,
35.6616,41.2524,24.2127,
35.814,42.6105,24.1938,
35.9664,42.2634,24.2053,
36.1188,41.5108,24.2037,
36.2712,42.5691,24.1987,
36.4236,42.4424,24.1936,
36.576,42.0639,24.1549,
36.7284,41.836,24.1299,
36.8808,40.245,24.1156,
37.0332,39.0739,24.1013,
37.1856,38.1152,24.0869,
37.338,38.4758,24.0726,
37.4904,38.4996,24.092,
37.6428,39.04,24.077,
37.7952,39.5736,24.0621,
37.9476,38.7316,24.0472,
38.1,38.7785,24.0978,
38.2524,39.1764,24.0869,
38.4048,39.995,24.076,
38.5572,41.385,24.0651,
38.7096,43.3135,24.0967,
38.862,44.6249,24.0862,
39.0144,45.3589,24.0702,
39.1668,46.5652,24.0541,
39.3192,46.2994,24.0815,
39.4716,45.9441,24.0785,
39.624,45.7283,24.0701,
39.7764,45.6802,24.0618,
39.9288,44.9533,24.0863,
40.0812,45.0453,24.0821,
40.2336,45.1554,24.0775,
40.386,46.1192,24.073,
40.5384,47.7117,24.0968,36.0091
40.6908,47.9926,24.0834,36.3627
40.8432,48.2046,24.0699,36.7162
40.9956,47.1816,24.0565,37.0698
41.148,45.969,24.0901,29.4314
41.3004,46.9676,24.0761,21.5553
41.4528,45.53,24.0621,13.6793
41.6052,45.6677,24.0589,19.2604
41.7576,46.2676,24.0637,30.8794
41.91,45.4385,24.0684,42.4984
42.0624,45.3733,24.0851,50.7078
42.2148,44.6059,24.0763,53.9997
42.3672,43.6397,24.0674,57.2915
42.5196,42.1446,24.0586,60.5289
42.672,42.6156,24.0866,63.397
42.8244,42.905,24.0866,66.2652
42.9768,44.7197,24.0866,69.1334
43.1292,46.4079,24.0866,70.4408
43.2816,46.8886,24.0949,71.468
43.434,48.3023,24.0859,72.4952
43.5864,49.017,24.077,73.4878
43.7388,49.6386,24.0866,74.454
43.8912,48.9991,24.0866,75.4202
44.0436,47.4359,24.0866,74.3119
44.196,45.7896,24.0817,68.027
44.3484,44.3735,24.0766,61.742
44.5008,44.4897,24.0715,55.4853
44.6532,44.6278,24.0945,54.5953
44.8056,45.1362,24.085,53.7053
44.958,47.634,24.0755,52.8153
45.1104,47.6048,24.1019,52.0268
45.2628,47.3726,24.1019,51.277
45.4152,46.5276,24.1019,50.5272
45.5676,45.6129,24.1019,44.6723
45.72,45.3957,24.0781,32.4132
45.8724,45.77,24.0697,20.1541
46.0248,46.2294,23.974,10.2992
