TVD,GR,T-TEMP,ROP
34.1376,41.1228,24.215,
34.29,41.3634,24.2212,
34.4424,41.4352,24.206,
34.5948,40.5457,24.1935,
34.7472,40.4305,24.1935,
34.8996,39.8753,24.1935,
35.052,39.2381,24.231,
35.2044,39.2947,24.2092,
35.3568,40.0024,24.1874,
35.5092,40.3117,24.2316,
35.6616,41.2534,24.2127,
35.814,42.6099,24.1937,
35.9664,42.2586,24.2055,
36.1188,41.5138,24.2037,
36.2712,42.5689,24.1986,
36.4236,42.4403,24.1936,
36.576,42.0672,24.1547,
36.7284,41.8336,24.1298,
36.8808,40.2393,24.1155,
37.0332,39.0705,24.1012,
37.1856,38.1152,24.0869,
37.338,38.4747,24.0726,
37.4904,38.4976,24.0919,
37.6428,39.0415,24.077,
37.7952,39.5718,24.0621,
37.9476,38.7332,24.0472,
38.1,38.7787,24.0978,
38.2524,39.1801,24.0869,
38.4048,39.9941,24.076,
38.5572,41.3964,24.0651,
38.7096,43.3186,24.0972,
38.862,44.6277,24.0862,
39.0144,45.3651,24.0701,
39.1668,46.5675,24.0541,
39.3192,46.2974,24.082,
39.4716,45.9473,24.0785,
39.624,45.7247,24.0701,
39.7764,45.6742,24.0618,
39.9288,44.9521,24.0865,
40.0812,45.0462,24.0821,
40.2336,45.1616,24.0775,
40.386,46.1229,24.0729,
40.5384,47.7131,24.0968,36.01
40.6908,47.9934,24.0833,36.3636
40.8432,48.2039,24.0699,36.7171
40.9956,47.1771,24.0564,37.0707
41.148,45.9687,24.09,29.4105
41.3004,46.9692,24.076,21.5342
41.4528,45.5271,24.062,13.6579
41.6052,45.6721,24.0589,19.2923
41.7576,46.2653,24.0637,30.9117
41.91,45.4363,24.0684,42.531
42.0624,45.3709,24.085,50.7172
42.2148,44.6027,24.0762,54.0091
42.3672,43.6364,24.0674,57.3011
42.5196,42.1409,24.0586,60.5373
42.672,42.6199,24.0866,63.4055
42.8244,42.9114,24.0866,66.2738
42.9768,44.7228,24.0866,69.142
43.1292,46.4182,24.0866,70.4439
43.2816,46.8923,24.0949,71.4712
43.434,48.3061,24.0859,72.4984
43.5864,49.0189,24.0769,73.4908
43.7388,49.6343,24.0866,74.4571
43.8912,48.9988,24.0866,75.4233
44.0436,47.419,24.0866,74.2915
44.196,45.7606,24.0817,68.0063
44.3484,44.3732,24.0766,61.7211
44.5008,44.491,24.0715,55.4823
44.6532,44.6333,24.0945,54.5923
44.8056,45.147,24.0849,53.7022
44.958,47.6314,24.0754,52.8122
45.1104,47.6059,24.1019,52.0242
45.2628,47.3737,24.1019,51.2744
45.4152,46.5258,24.1019,50.5245
45.5676,45.6082,24.1019,44.6282
45.72,45.3962,24.078,32.3687
45.8724,45.7679,24.0702,20.1092
46.0248,46.2289,23.9735,10.3085
46.1772,44.6419,23.9188,12.8232
46.3296,44.5956,23.9137,15.3379
46.482,45.5409,23.9086,17.8526
46.6344,45.5958,23.907,20.6157
46.7868,45.9249,23.9294,23.4108
46.9392,46.1652,23.9246,26.2059
47.0916,44.501,23.9199,26.7605
47.244,42.4812,23.9085,25.8521
47.3964,42.3867,23.9341,24.9438
47.5488,43.1437,23.9341,23.389
47.7012,44.054,23.9341,20.4872
47.8536,45.4766,23.9494,17.5854
48.006,45.7656,23.9494,14.9119
48.1584,45.0469,23.9494,17.2498
48.3108,43.9852,23.9512,19.5877
48.4632,42.7019,23.9597,21.9256
48.6156,43.1517,23.9682,22.0731
48.768,43.7355,23.9767,21.5396
48.9204,44.0518,23.9799,21.0062
49.0728,44.7922,23.9799,20.5419
49.2252,45.2604,23.9799,20.1517
49.3776,43.8603,23.9939,19.7616
49.53,44.1837,24.006,19.3376
49.6824,42.8827,24.0015,18.7798
49.8348,41.6018,23.997,18.222
49.9872,41.6674,24.0378,17.6642
50.1396,41.738,24.0292,18.3104
50.292,41.6383,24.0207,19.0603
50.4444,42.9992,24.0122,19.8101
50.5968,43.671,24.023,20.0273
50.7492,44.3096,24.0185,19.945
50.9016,45.276,24.0141,19.8627
51.054,46.2475,24.0243,19.8045
51.2064,47.7514,24.0257,19.7893
51.3588,48.4556,24.0257,19.774
51.5112,49.7161,24.0257,19.7511
51.6636,50.5115,24.0409,19.6383
51.816,50.647,24.0409,19.5256
51.9684,50.3222,24.0409,19.4128
52.1208,51.1944,24.0409,19.4192
52.2732,53.1647,24.0527,19.4558
52.4256,54.6188,24.0482,19.4923
52.578,54.397,24.0437,19.4911
52.7304,54.9705,24.0699,19.4545
52.8828,54.9328,24.0613,19.4179
53.0352,54.2072,24.0528,19.4463
53.1876,54.2482,24.0443,19.6841
53.34,53.757,24.0795,19.9218
53.4924,52.4796,24.0667,20.1596
53.6448,50.7862,24.0539,19.4268
53.7972,50.5987,24.0411,18.6495
53.9496,50.4012,24.0829,17.8722
54.102,52.5282,24.0781,16.5595
54.2544,54.0368,24.0734,14.9897
54.4068,52.7683,24.0985,13.4199
54.5592,53.4661,24.0895,12.9431
54.7116,51.2395,24.0805,14.1411
54.864,50.4097,24.0716,15.339
55.0164,49.6478,24.1738,16.537
55.1688,48.5027,24.1188,17.7349
55.3212,49.8446,24.0702,18.9329
55.4736,49.9144,24.0678,20.1308
55.626,50.4248,24.0642,19.7379
55.7784,51.5731,24.0606,19.0276
55.9308,50.7301,24.0569,18.3174
56.0832,51.0627,24.0974,15.7745
56.2356,52.2563,24.0898,11.7508
56.388,51.8875,24.0822,7.7272
56.5404,51.3631,24.0745,6.5942
56.6928,51.0675,24.0881,13.1783
56.8452,48.7481,24.0919,19.7624
56.9976,49.0618,24.0957,26.3465
57.15,50.4467,24.0996,26.3728
57.3024,51.6525,24.1168,26.3454
57.4548,53.9001,24.1129,26.3179
57.6072,54.0463,24.109,25.7832
57.7596,53.9354,24.1052,25.0425
57.912,52.894,24.111,24.3017
58.0644,51.5218,24.1203,24.0178
58.2168,51.511,24.1239,24.3379
58.3692,50.794,24.1274,24.6579
58.5216,50.6117,24.1309,24.8116
58.674,51.5742,24.1461,24.0221
58.8264,51.3842,24.1421,23.2326
58.9788,50.0967,24.1381,22.4431
59.1312,49.7479,24.1341,22.711
59.2836,49.665,24.1612,23.1377
59.436,51.0526,24.1568,23.5645
59.5884,52.269,24.1523,23.3398
59.7408,52.3943,24.1479,22.6601
59.8932,51.9451,24.1749,21.9803
60.0456,50.977,24.1706,21.4189
60.198,50.2816,24.1664,21.1232
60.3504,52.1946,24.2083,20.8276
60.5028,50.7978,24.2039,20.5287
60.6552,49.0825,24.1996,20.1172
60.8076,48.7742,24.1952,19.7057
60.96,50.0024,24.1987,19.2942
61.1124,50.3457,24.2076,19.8752
61.2648,51.0889,24.2165,20.7927
61.4172,51.7732,24.224,21.7102
61.5696,50.8889,24.2196,21.5279
61.722,48.7461,24.2152,20.0861
61.8744,48.4186,24.2108,18.6443
62.0268,49.3459,24.2359,17.6844
62.1792,49.8078,24.2275,18.8396
62.3316,49.8244,24.219,19.9949
62.484,50.2155,24.2105,21.1501
62.6364,49.4999,24.2392,21.2076
62.7888,48.8896,24.2392,21.1497
62.9412,48.4455,24.2392,21.0918
63.0936,48.3646,24.2392,20.9292
63.246,48.8326,24.2439,20.7036
63.3984,47.4052,24.2486,20.4781
