TVD,GR,T-TEMP,ROP
34.1376,40.6667,24.8032,
34.29,40.5997,24.8032,
34.4424,40.411,24.8032,
34.5948,40.5191,24.8032,
34.7472,40.6272,24.8032,
34.8996,40.7353,24.8032,
35.052,40.8434,24.8032,
35.2044,40.9515,24.8032,
35.3568,41.0596,24.8032,
35.5092,41.1677,24.8032,
35.6616,41.5202,24.8032,
35.814,42.4817,24.8032,
35.9664,42.0965,24.8032,
36.1188,40.6602,24.8032,
36.2712,41.5714,24.8032,
36.4236,40.47,24.8032,
36.576,39.5754,24.732,
36.7284,39.8254,24.6593,
36.8808,40.0754,24.5866,
37.0332,40.3254,24.5139,
37.1856,40.5754,24.4413,
37.338,40.8254,24.3686,
37.4904,41.0754,24.2959,
37.6428,41.3254,24.2232,
37.7952,41.5754,24.1506,
37.9476,41.8255,24.0779,
38.1,42.0755,24.0052,
38.2524,42.3255,23.9325,
38.4048,42.5755,23.8599,
38.5572,42.8255,23.7872,
38.7096,43.0,23.7145,
38.862,43.0,23.6418,
39.0144,43.351,23.5691,
39.1668,43.851,23.4965,
39.3192,44.351,23.4252,
39.4716,44.851,23.4252,
39.624,45.3511,23.4252,
39.7764,45.8511,23.4252,
39.9288,46.3511,23.4252,
40.0812,46.8511,23.4252,
40.2336,47.3511,23.4252,
40.386,47.8,23.4252,
40.5384,48.2857,23.4252,36.01
40.6908,48.1167,23.4252,36.3636
40.8432,47.9656,23.4252,36.7171
40.9956,47.852,23.4252,37.0707
41.148,47.7384,23.4252,29.4105
41.3004,47.6247,23.4252,21.5342
41.4528,47.5111,23.4252,13.6579
41.6052,47.3974,23.4252,19.2923
41.7576,47.2838,23.4252,30.9117
41.91,46.6,23.4252,42.531
42.0624,46.2808,23.4252,50.7172
42.2148,46.1289,23.4252,54.0091
42.3672,45.0,23.4252,57.3011
42.5196,45.0,23.4252,60.5373
42.672,45.0,23.4252,63.4055
42.8244,45.0,23.4252,66.2738
42.9768,45.0,23.4252,69.142
43.1292,45.0,23.4252,70.4439
43.2816,45.2253,23.4252,71.4712
43.434,46.6788,23.4252,72.4984
43.5864,47.4771,23.4252,73.4908
43.7388,47.3561,23.4252,74.4571
43.8912,47.5706,23.4252,75.4233
44.0436,46.8613,23.4252,74.2915
44.196,47.1331,23.4252,68.0063
44.3484,46.0329,23.4252,61.7211
44.5008,45.4205,23.4252,55.4823
44.6532,45.7082,23.4252,54.5923
44.8056,45.9958,23.4252,53.7022
44.958,47.1937,23.4252,52.8122
45.1104,46.9651,23.4252,52.0242
45.2628,46.8432,23.4252,51.2744
45.4152,45.7714,23.4252,50.5245
45.5676,44.0967,23.4252,44.6282
45.72,43.4674,23.4252,32.3687
45.8724,43.6896,23.4252,20.1092
46.0248,43.4357,23.4252,10.3085
46.1772,42.9902,23.4252,12.8232
46.3296,43.113,23.4252,15.3379
46.482,42.4716,23.4252,17.8526
46.6344,41.7608,23.4252,20.6157
46.7868,41.865,23.4252,23.4108
46.9392,41.9691,23.4252,26.2059
47.0916,42.0,23.4252,26.7605
47.244,42.1266,23.4252,25.8521
47.3964,42.5432,23.4252,24.9438
47.5488,42.9599,23.4252,23.389
47.7012,43.3766,23.4252,20.4872
47.8536,43.7933,23.4252,17.5854
48.006,44.21,23.4252,14.9119
48.1584,43.9205,23.4252,17.2498
48.3108,43.1536,23.4252,19.5877
48.4632,42.4876,23.4252,21.9256
48.6156,42.2968,23.4252,22.0731
48.768,42.9446,23.4252,21.5396
48.9204,43.4058,23.4252,21.0062
49.0728,43.9589,23.4252,20.5419
49.2252,43.9947,23.4252,20.1517
49.3776,42.712,23.4252,19.7616
49.53,42.5127,23.4252,19.3376
49.6824,42.0241,23.4252,18.7798
49.8348,40.6729,23.4252,18.222
49.9872,40.0882,23.4252,17.6642
50.1396,39.8853,23.4252,18.3104
50.292,40.0633,23.4252,19.0603
50.4444,41.0242,23.4252,19.8101
50.5968,41.6377,23.4252,20.0273
50.7492,43.3307,23.4252,19.945
50.9016,44.3708,23.4252,19.8627
51.054,45.8571,23.4252,19.8045
51.2064,45.2857,23.4252,19.7893
51.3588,46.9666,23.4252,19.774
51.5112,48.268,23.4252,19.7511
51.6636,49.2857,23.4252,19.6383
51.816,50.02,23.4252,19.5256
51.9684,50.875,23.4252,19.4128
52.1208,51.3746,23.4252,19.4192
52.2732,53.1667,23.4252,19.4558
52.4256,54.3948,23.4252,19.4923
52.578,53.7588,23.4252,19.4911
52.7304,52.6582,23.4252,19.4545
52.8828,52.571,23.4252,19.4179
53.0352,52.1667,23.4252,19.4463
53.1876,52.5462,23.4252,19.6841
53.34,52.8333,23.4252,19.9218
53.4924,51.8406,23.4252,20.1596
53.6448,50.3698,23.4252,19.4268
53.7972,49.8341,23.4252,18.6495
53.9496,49.5714,23.4252,17.8722
54.102,50.9974,23.4252,16.5595
54.2544,51.8362,23.4252,14.9897
54.4068,51.3495,23.4252,13.4199
54.5592,51.7522,23.4252,12.9431
54.7116,50.6319,23.4252,14.1411
54.864,49.1368,23.4252,15.339
55.0164,49.0,23.4252,16.537
55.1688,47.459,23.4252,17.7349
55.3212,48.6215,23.4252,18.9329
55.4736,49.703,23.4252,20.1308
55.626,50.2857,23.4252,19.7379
55.7784,50.9455,23.4252,19.0276
55.9308,49.8219,23.4252,18.3174
56.0832,48.5,23.4252,15.7745
56.2356,49.5714,23.4252,11.7508
56.388,48.8138,23.4252,7.7272
56.5404,49.0102,23.4252,6.5942
56.6928,50.0311,23.4252,13.1783
56.8452,48.6201,23.4252,19.7624
56.9976,49.0738,23.4252,26.3465
57.15,49.841,23.4252,26.3728
57.3024,50.5106,23.4252,26.3454
57.4548,51.1286,23.4252,26.3179
57.6072,52.3953,23.4252,25.7832
57.7596,54.5,23.4252,25.0425
57.912,52.3183,23.4252,24.3017
58.0644,50.1897,23.6743,24.0178
58.2168,49.6692,23.9866,24.3379
58.3692,48.0,24.299,24.6579
58.5216,48.5867,24.6113,24.8116
58.674,50.3114,24.8032,24.0221
58.8264,50.1667,24.8032,23.2326
58.9788,49.4281,24.8032,22.4431
59.1312,48.4753,24.8032,22.711
59.2836,47.841,24.8032,23.1377
59.436,49.7143,24.8032,23.5645
59.5884,49.3628,24.8032,23.3398
59.7408,51.0246,24.8032,22.6601
59.8932,51.6667,24.8032,21.9803
60.0456,50.0223,24.8032,21.4189
60.198,51.5464,24.8032,21.1232
60.3504,52.6,24.8032,20.8276
60.5028,52.0,24.8032,20.5287
60.6552,50.4891,24.8032,20.1172
60.8076,49.2597,24.8032,19.7057
60.96,49.6105,24.8032,19.2942
61.1124,49.1667,24.8032,19.8752
61.2648,49.3087,24.8032,20.7927
61.4172,50.0,24.8032,21.7102
61.5696,50.0,24.8032,21.5279
61.722,47.6667,24.8032,20.0861
61.8744,47.7849,24.8032,18.6443
62.0268,48.6681,24.8032,17.6844
62.1792,49.1139,24.8032,18.8396
62.3316,49.1971,24.8032,19.9949
62.484,49.3333,24.8032,21.1501
62.6364,48.2133,24.8032,21.2076
62.7888,47.4184,24.8032,21.1497
62.9412,47.0,24.8032,21.0918
63.0936,47.1667,24.8032,20.9292
63.246,47.6872,24.8032,20.7036
63.3984,47.1236,24.8032,20.4781
63.5508,47.0786,24.8032,19.3852
63.7032,47.3333,24.8032,16.6357
63.8556,48.0103,24.8032,13.8863
64.008,48.305,24.8032,11.5164
64.1604,49.0253,24.8032,14.7932
64.3128,49.1621,24.8032,18.07
64.4652,46.0265,24.8032,21.3468
64.6176,43.6795,24.7361,21.3827
64.77,41.3212,24.6017,20.517
64.9224,41.4853,24.4673,19.6513
65.0748,42.3683,24.3329,17.9384
65.2272,45.1852,24.1985,15.384
65.3796,46.3704,24.0641,12.8297
65.532,46.4131,23.9297,11.3164
65.6844,47.0559,23.7953,13.4715
65.8368,46.4591,23.6609,15.6265
65.9892,46.2802,23.5265,17.7816
66.1416,45.3911,23.4252,18.2569
66.294,46.3476,23.4252,18.6257
66.4464,45.1667,23.4252,18.9945
66.5988,44.492,23.4252,19.1582
66.7512,44.2131,23.4252,19.2161
66.9036,43.0866,23.4252,19.274
67.056,42.8843,23.4252,18.3325
67.2084,43.0212,23.4252,15.7537
67.3608,44.4599,23.4252,13.175
67.5132,45.5212,23.4252,11.1175
67.6656,47.2857,23.4252,13.8365
67.818,47.003,23.4252,16.5554
67.9704,45.4705,23.4252,19.2743
68.1228,42.7201,23.4252,19.8772
68.2752,39.9857,23.4252,20.0082
68.4276,37.3805,23.4252,20.1393
68.58,36.7302,23.4252,20.344
68.7324,36.875,23.4252,20.6123
68.8848,37.4484,23.4252,20.8805
69.0372,38.8436,23.4252,20.9995
69.1896,39.9515,23.4252,20.6856
69.342,41.0594,23.4252,20.3716
69.4944,41.366,23.4252,20.0577
69.6468,40.3599,23.4252,20.3295
69.7992,39.3814,23.4252,20.616
69.9516,38.5,23.4252,20.9026
70.104,38.0732,23.4252,21.0133
70.2564,38.9702,23.4252,21.0468
70.4088,40.7049,23.4252,21.0804
70.5612,41.1202,23.4252,21.0899
70.7136,40.9173,23.4252,21.0655
70.866,42.9536,23.4252,21.0411
71.0184,42.1748,23.4252,21.0106
71.1708,41.8776,23.4252,20.9405
71.3232,42.0,23.4252,20.8704
71.4756,42.4356,23.4252,20.8003
71.628,42.763,23.4252,20.6211
71.7804,43.3333,23.4857,20.4229
71.9328,43.1592,23.8041,20.2248
72.0852,43.2276,24.1224,20.4015
72.2376,41.4418,24.4407,20.8587
72.39,41.5156,24.759,21.3159
72.5424,40.9727,24.8032,21.49
72.6948,41.1103,24.8032,20.9749
72.8472,41.165,24.8032,20.4598
72.9996,41.8333,24.8032,19.9527
73.152,42.6208,24.8032,20.2118
73.3044,42.9937,24.8032,20.4708
73.4568,42.1662,24.8032,20.7299
73.6092,41.7074,24.8032,20.5954
73.7616,41.0899,24.8032,20.315
73.914,40.7927,24.8032,20.0346
74.0664,42.7393,24.8032,19.9881
74.2188,43.2115,24.8032,20.2289
74.3712,43.2219,24.8032,20.4697
74.5236,43.0178,24.8032,20.3407
74.676,42.0449,24.8032,18.3808
74.8284,41.4638,24.8032,16.4209
74.9808,40.5582,23.774,14.461
75.1332,40.0062,23.6125,18.483
75.2856,40.0,23.86,23.2654
75.438,40.9182,24.1076,28.0478
75.5904,40.7147,24.3552,28.9596
75.7428,40.9693,24.6028,27.3593
75.8952,39.9022,24.8032,25.7591
76.0476,38.2581,24.8032,24.8646
76.2,39.0942,24.8032,25.4316
76.3524,39.5,24.8032,25.9985
76.5048,39.2149,24.8032,26.4882
76.6572,40.6885,24.8032,25.333
76.8096,41.0724,24.8032,24.1778
76.962,40.6667,24.8032,23.0225
77.1144,40.4203,24.8032,23.2041
77.2668,40.027,24.8032,23.7985
77.4192,39.7206,24.8032,24.3929
77.5716,39.5424,24.8032,24.6926
77.724,39.9672,24.8032,24.6774
77.8764,40.11,24.8032,24.6622
78.0288,39.9175,24.8032,24.687
