DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DRHO,DTC
0.0,17.5,,,,,,,,,,,
0.1,17.5,,,,,,,,,,,
0.2,17.5,,,,,,,,,,,
0.3,17.5,,,,,,,,,,,
0.4,17.5,,,,,,,,,,,
0.5,17.5,,,,,,,,,,,
0.6,17.5,,,,,,,,,,,
0.7,17.5,,,,,,,,,,,
0.8,17.5,,,,,,,,,,,
0.9,17.5,,,,,,,,,,,
1.0,17.5,,,,,,,,,,,
1.1,17.5,,,,,,,,,,,
1.2,17.5,,,,,,,,,,,
1.3,17.5,,,,,,,,,,,
1.4,17.5,,,,,,,,,,,
1.5,17.5,,,,,,,,,,,
1.6,17.5,,,,,,,,,,,
1.7,17.5,,,,,,,,,,,
1.8,17.5,,,,,,,,,,,
1.9,17.5,,,,,,,,,,,
2.0,17.5,,,,,,,,,,,
2.1,17.5,,,,,,,,,,,
2.2,17.5,,,,,,,,,,,
2.3,17.5,,,,,,,,,,,
2.4,17.5,,,,,,,,,,,
2.5,17.5,,,,,,,,,,,
2.6,17.5,,,,,,,,,,,
2.7,17.5,,,,,,,,,,,
2.8,17.5,,,,,,,,,,,
2.9,17.5,,24.62,,,,,,,,,
3.0,17.5,,25.796,,,,,,,,,
3.1,17.5,,26.278,,,,,,,,,
3.2,17.5,,26.182,,,,,,,,,
3.3,17.5,,25.228,,,,,,,,,
3.4,17.5,,24.088,,,,,,,,,
3.5,17.5,,22.523,,,,,,,,,
3.6,17.5,,21.91,,,,,,,,,
3.7,17.5,,21.838,,,,,,,,,
3.8,17.5,,22.171,,,,,,,,,
3.9,17.5,,22.54,,,,,,,,,
4.0,17.5,,22.819,,,,,,,,,
4.1,17.5,,23.058,,,,,,,,,
4.2,17.5,,22.496,,,,,,,,,
4.3,17.5,,22.616,,,,,,,,,
4.4,17.5,,23.256,,,,,,,,,
4.5,17.5,,24.782,,,,,,,,,
4.6,17.5,,26.187,,,,,,,,,
4.7,17.5,,27.975,,,,,,,,,
4.8,17.5,,29.662,,,,,,,,,
4.9,17.5,,30.719,,,,,,,,,
5.0,17.5,,31.717,,,,,,,,,
5.1,17.5,,32.865,,,,,,,,,
5.2,17.5,,33.958,,,,,,,,,
5.3,17.5,,34.126,,,,,,,,,
5.4,17.5,,33.658,,,,,,,,,
5.5,17.5,,33.331,,,,,,,,,
5.6,17.5,,32.711,,,,,,,,,
5.7,17.5,,32.911,,,,,,,,,
5.8,17.5,,33.888,,,,,,,,,
5.9,17.5,,35.842,,,,,,,,,
6.0,17.5,,37.573,,,,,,,,,
6.1,17.5,,39.016,,,,,,,,,
6.2,17.5,,39.749,,,,,,,,,
6.3,17.5,,40.821,,,,,,,,,
6.4,17.5,,42.291,,,,,,,,,
6.5,17.5,,43.049,,,,,,,,,
6.6,17.5,,43.355,,,,,,,,,
6.7,17.5,,41.855,,,,,,,,,
6.8,17.5,,40.317,,,,,,,,,
6.9,17.5,,37.599,,,,,,,,,
7.0,17.5,,35.626,,,,,,,,,
7.1,17.5,,33.905,,,,,,,,,
7.2,17.5,,33.617,,,,,,,,,
7.3,17.5,,32.617,,,,,,,,,
7.4,17.5,,32.208,,,,,,,,,
7.5,17.5,,31.411,,,,,,,,,
7.6,17.5,,31.024,,,,,,,,,
7.7,17.5,,31.079,,,,,,,,,
7.8,17.5,,31.282,,,,,,,,,
7.9,17.5,,31.504,,,,,,,,,
8.0,17.5,,31.339,,,,,,,,,
8.1,17.5,,31.617,,,,,,,,,
8.2,17.5,,32.577,,,,,,,,,
8.3,17.5,,33.199,,,,,,,,,
8.4,17.5,,33.471,,,,,,,,,
8.5,17.5,,33.571,,,,,,,,,
8.6,17.5,,33.616,,,,,,,,,
8.7,17.5,,32.865,,,,,,,,,
8.8,17.5,,32.086,,,,,,,,,
8.9,17.5,,31.737,,,,,,,,,
9.0,17.5,,31.866,,,,,,,,,
9.1,17.5,,31.825,,,,,,,,,
9.2,17.5,,33.0,,,,,,,,,
9.3,17.5,,35.491,,,,,,,,,
9.4,17.5,,37.574,,,,,,,,,
9.5,17.5,,38.424,,,,,,,,,
9.6,17.5,,38.16,,,,,,,,,
9.7,17.5,,36.539,,,,,,,,,
9.8,17.5,,33.576,,,,,,,,,
9.9,17.5,,30.242,,,,,,,,,
10.0,17.5,,28.498,,,,,,,,,
10.1,17.5,,27.979,,,,,,,,,
10.2,17.5,,27.809,,,,,,,,,
10.3,17.5,,27.388,,,,,,,,,
10.4,17.5,,27.428,,,,,,,,,
10.5,17.5,,27.894,,,,,,,,,
10.6,17.5,,28.985,,,,,,,,,
10.7,17.5,,29.432,,,,,,,,,
10.8,17.5,,29.86,,,,,,,,,
10.9,17.5,,29.82,,,,,,,,,
11.0,17.5,,29.356,,,,,,,,,
11.1,17.5,,27.976,,,,,,,,,
11.2,17.5,,27.981,,,,,,,,,
11.3,17.5,,28.728,,,,,,,,,
11.4,17.5,,30.402,,,,,,,,,
11.5,17.5,,32.638,,,,,,,,,
11.6,17.5,,35.159,,,,,,,,,
11.7,17.5,,37.165,,,,,,,,,
11.8,17.5,,37.876,,,,,,,,,
11.9,17.5,,38.678,,,,,,,,,
12.0,17.5,,38.499,,,,,,,,,
12.1,17.5,,38.975,,,,,,,,,
12.2,17.5,,38.44,,,,,,,,,
12.3,17.5,,38.562,,,,,,,,,
12.4,17.5,,37.647,,,,,,,,,
12.5,17.5,,37.279,,,,,,,,,
12.6,17.5,,35.95,,,,,,,,,
12.7,17.5,,34.623,,,,,,,,,
12.8,17.5,,34.268,,,,,,,,,
12.9,17.5,,34.169,,,,,,,,,
13.0,17.5,,33.766,,,,,,,,,
13.1,17.5,,32.202,,,,,,,,,
13.2,17.5,,31.674,,,,,,,,,
13.3,17.5,,30.999,,,,,,,,,
13.4,17.5,,31.094,,,,,,,,,
13.5,17.5,,31.106,,,,,,,,,
13.6,17.5,,33.139,,,,,,,,,
13.7,17.5,,35.965,,,,,,,,,
13.8,17.5,,39.962,,,,,,,,,
13.9,17.5,,43.769,,,,,,,,,
14.0,17.5,,46.454,,,,,,,,,
14.1,17.5,,47.095,,,,,,,,,
14.2,17.5,,45.14,,,,,,,,,
14.3,17.5,,41.431,,,,,,,,,
14.4,17.5,,37.955,,,,,,,,,
14.5,17.5,,36.174,,,,,,,,,
14.6,17.5,,35.99,,,,,,,,,
14.7,17.5,,36.214,,,,,,,,,
14.8,17.5,,35.978,,,,,,,,,
14.9,17.5,,34.816,,,,,,,,,
15.0,17.5,,33.182,,,,,,,,,
15.1,17.5,,30.768,,,,,,,,,
15.2,17.5,,29.311,,,,,,,,,
15.3,17.5,,27.798,,,,,,,,,
15.4,17.5,,27.057,,,,,,,,,
15.5,17.5,,26.72,,,,,,,,,
15.6,17.5,,28.312,,,,,,,,,
15.7,17.5,,31.188,,,,,,,,,
15.8,17.5,,35.242,,,,,,,,,
15.9,17.5,,38.856,,,,,,,,,
16.0,17.5,,41.465,,,,,,,,,
16.1,17.5,,41.552,,,,,,,,,
16.2,17.5,,39.826,,,,,,,,,
16.3,17.5,,38.222,,,,,,,,,
16.4,17.5,,36.589,,,,,,,,,
16.5,17.5,,35.751,,,,,,,,,
16.6,17.5,,35.463,,,,,,,,,
16.7,17.5,,35.743,,,,,,,,,
16.8,17.5,,35.547,,,,,,,,,
16.9,17.5,,34.866,,,,,,,,,
17.0,17.5,,34.917,,,,,,,,,
17.1,17.5,,35.869,,,,,,,,,
17.2,17.5,,36.951,,,,,,,,,
17.3,17.5,,37.772,,,,,,,,,
17.4,17.5,,38.449,,,,,,,,,
17.5,17.5,,38.101,,,,,,,,,
17.6,17.5,,37.56,,,,,,,,,
17.7,17.5,,37.789,,,,,,,,,
17.8,17.5,,38.841,,,,,,,,,
