DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
538.25,,,,,,,,,,,,,,,,,,,12.25
538.35,,,,,,,,,,,,,,,,,,,12.25
538.45,,,,,,,,,,,,,,,,,,,12.25
538.55,,,,,,,,,,,,,,,,,,,12.25
538.65,,,,,,,,,,,,,,,,,,,12.25
538.75,,,,,,,,,,,,,,,,,,,12.25
538.85,,,,,,,,,,,,,,,,,,,12.25
538.95,,,,,,,,,,,,,,,,,,,12.25
539.05,,,,,,,,,,,,,,,,,,,12.25
539.15,,,,,,,,,,,,,,,,,,,12.25
539.25,,,,,,,,,,,,,,,,,,,12.25
539.35,,,,,,,,,,,,,,,,,,,12.25
539.45,,,,,,,,,,,,,,,,,,,12.25
539.55,,,,,,,,,,,,,,,,,,,12.25
539.65,,,,,,,,,,,,,,,,,,,12.25
539.75,,,,,,,,,,,,,,,,,,,12.25
539.85,,,,,,,,,,,,,,,,,,,12.25
539.95,,,,,,,,,,,,,,,,,,,12.25
540.05,,,,,,,,,,,,,,,,,,,12.25
540.15,,,,,,,,,,,,,,,,,,,12.25
540.25,,,,,,,,,,,,,,,,,,,12.25
540.35,,,,,,,,,,,,,,,,,,,12.25
540.45,,,,,,,,,,,,,,,,,,,12.25
540.55,,,,,,,,,,,,,,,,,,,12.25
540.65,,,,,,,,,,,,,,,,,,,12.25
540.75,,,,,,,,,,,,,,,,,,,12.25
540.85,,,,,,,,,,,,,,,,,,,12.25
540.95,,,,,,,,,,,,,,,,,,,12.25
541.05,,,,,,,,,,,,,,,,,,,12.25
541.15,,,,,,,,,,,,,,,,,,,12.25
541.25,,,,,,,,,,,,,,,,,,,12.25
541.35,,,,,,,,,,,,,,,,,,,12.25
541.45,,,,,,,,,,,,,,,,,,,12.25
541.55,,,,,,,,,,,,,,,,,,,12.25
541.65,,,,,,,,,,,,,,,,,,,12.25
541.75,,,,,,,,,,,,,,,,,,,12.25
541.85,,,,,,,,,,,,,,,,,,,12.25
541.95,,,,,,,,,,,,,,,,,,,12.25
542.05,,,,,,,,,,,,,,,,,,,12.25
542.15,,,,,,,,,,,,,,,,,,,12.25
542.25,,,,,,,,,,,,,,,,,,,12.25
542.35,,,,,,,,,,,,,,,,,,,12.25
542.45,,,,,,,,,,,,,,,,,,,12.25
542.55,,,,,,,,,,,,,,,,,,,12.25
542.65,,,,,,,,,,,,,,,,,,,12.25
542.75,,,,,,,,,,,,,,,,,,,12.25
542.85,,,,,,,,,,,,,,,,,,,12.25
542.95,,,,,,,,,,,,,,,,,,,12.25
543.05,,,,,,,,,,,,,,,,,,,12.25
543.15,,,,,,,,,,,,,,,,,,,12.25
543.25,,,,,,,,,,,,,,,,,,,12.25
543.35,,,,,,,,,,,,,,,,,,,12.25
543.45,,,,,,,,,,,,,,,,,,,12.25
543.55,,,,,,,,,,,,,,,,,,,12.25
543.65,,,,,,,,,,,,,,,,,,,12.25
543.75,,,,,,,,,,,,,,,,,,,12.25
543.85,,,,,,,,,,,,,,,,,,,12.25
543.95,,,,,,,,,,,,,,,,,,,12.25
544.05,,,,,,,,,,,,,,,,,,,12.25
544.15,,,,,,,,,,,,,,,,,,,12.25
544.25,,,,,,,,,,,,,,,,,,,12.25
544.35,,,,,,,,,,,,,,,,,,,12.25
544.45,,,,,,,,,,,,,,,,,,,12.25
544.55,,,,,,,,,,,,,,,,,,,12.25
544.65,,,,,,,,,,,,,,,,,,,12.25
544.75,,,,,,,,,,,,,,,,,,,12.25
544.85,,,,,,,,,,,,,,,,,,,12.25
544.95,,,,,,,,,,,,,,,,,,,12.25
545.05,,,,,,,,,,,,,,,,,,,12.25
545.15,,,,,,,,,,,,,,,,,,,12.25
545.25,,,,,,,,,,,,,,,,,,,12.25
545.35,,,,,,,,,,185.679,,,,,,,,,12.25
545.45,,,,,,,,,,185.595,,,,,,,,,12.25
545.55,,,,,,,,,,185.43,,,,,,,,,12.25
545.65,,,,,,,,,,185.333,,,,,,,,,12.25
545.75,,,,,,,,,,185.223,,,,,,,,,12.25
545.85,,,,,,,,,,185.291,,,,,,,,,12.25
545.95,,,,,,,,,,185.297,,,,,,,,,12.25
546.05,,,,,,,,,,185.364,,,,,,,,,12.25
546.15,,,,,,,,,,185.237,,,,,,,,,12.25
546.25,,,,,,,,,,185.088,,,,,,,,,12.25
