DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
601.7,,,,,,,,,,,,,,,,,,,,,12.25
601.8,,,,,,,,,,,,,,,,,,,,,12.25
601.9,,,,,,,,,,,,,,,,,,,,,12.25
602.0,,,,,,,,,,,,,,,,,,,,,12.25
602.1,,,,,,,,,,,,,,,,,,,,,12.25
602.2,,,,,,,,,,,,,,,,,,,,,12.25
602.3,,,,,,,,,,,,,,,,,,,,,12.25
602.4,,,,,,,,,,,,,,,,,,,,,12.25
602.5,,,,,,,,,,,,,,,,,,,,,12.25
602.6,,,,,,,,,,,,,,,,,,,,,12.25
602.7,,,,,,,,,,,,,,,,,,,,,12.25
602.8,,,,,,,,,,,,,,,,,,,,,12.25
602.9,,,,,,,,,,,,,,,,,,,,,12.25
603.0,,,,,,,,,,,,,,,,,,,,,12.25
603.1,,,,,,,,,,,,,,,,,,,,,12.25
603.2,,,,,,,,,,,,,,,,,,,,,12.25
603.3,,,,,,,,,,,,,,,,,,,,,12.25
603.4,,,,,,,,,,,,,,,,,,,,,12.25
603.5,,,,,,,,,,,,,,,,,,,,,12.25
603.6,,,,,,,,,,,,,,,,,,,,,12.25
603.7,,,,,,,,,,,,,,,,,,,,,12.25
603.8,,,,,,,,,,,,,,,,,,,,,12.25
603.9,,,,,,,,,,,,,,,,,,,,,12.25
604.0,,,,,,,,,,,,,,,,,,,,,12.25
604.1,,,,,,,,,,,,,,,,,,,,,12.25
604.2,,,,,,,,,,,,,,,,,,,,,12.25
604.3,,,,,,,,,,,,,,,,,,,,,12.25
604.4,,,,,,,,,,,,,,,,,,,,,12.25
604.5,,,,,,,,,,,,,,,,,,,,,12.25
604.6,,,,,,,,,,,,,,,,,,,,,12.25
604.7,,,,,,,,,,,,,,,,,,,,,12.25
604.8,,,,,,,,,,,,,,,,,,,,,12.25
604.9,,,,,,,,,,,,,,,,,,,,,12.25
605.0,,,,,,,,,,,,,,,,,,,,,12.25
605.1,,,,,,,,,,,,,,,,,,,,,12.25
605.2,,,,,,,,,,,,,,,,,,,,,12.25
605.3,,,,,,,,,,,,,,,,,,,,,12.25
605.4,,,,,,,,,,,,,,,,,,,,,12.25
605.5,,,,,,,,,,,,,,,,,,,,,12.25
605.6,,,,,,,,,,,,,,,,,,,,,12.25
605.7,,,,,,,,,,,,,,,,,,,,,12.25
605.8,,,,,,,,,,,,,,,,,,,,,12.25
