DEPT,HVOL,AVOL,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
1579.6,,,,,,,,,,,,,,,,,,,,,8.5
1579.7,,,,,,,,,,,,,,,,,,,,,8.5
1579.8,,,,,,,,,,,,,,,,,,,,,8.5
1579.9,,,,,,,,,,,,,,,,,,,,,8.5
1580.0,,,,,,,,,,,,,,,,,,,,,8.5
1580.1,,,,,,,,,,,,,,,,,,,,,8.5
1580.2,,,,,,,,,,,,,,,,,,,,,8.5
1580.3,,,,,,,,,,,,,,,,,,,,,8.5
1580.4,,,,,,,,,,,,,,,,,,,,,8.5
1580.5,,,,,,,,,,,,,,,,,,,,,8.5
1580.6,,,,,,,,,,,,,,,,,,,,,8.5
1580.7,,,,,,,,,,,,,,,,,,,,,8.5
1580.8,,,,,,,,,,,,,,,,,,,,,8.5
1580.9,,,,,,,,,,,,,,,,,,,,,8.5
1581.0,,,,,,,,,,,,,,,,,,,,,8.5
1581.1,,,,,,,,,,,,,,,,,,,,,8.5
1581.2,,,,,,,,,,,,,,,,,,,,,8.5
1581.3,,,,,,,,,,,,,,,,,,,,,8.5
1581.4,,,,,,,,,,,,,,,,,,,,,8.5
1581.5,,,,,,,,,,,,,,,,,,,,,8.5
1581.6,,,,,,,,,,,,,,,,,,,,,8.5
1581.7,,,,,,,,,,,,,,,,,,,,,8.5
1581.8,,,,,,,,,,,,,,,,,,,,,8.5
1581.9,,,,,,,,,,,,,,,,,,,,,8.5
1582.0,,,,,,,,,,,,,,,,,,,,,8.5
1582.1,,,,,,,,,,,,,,,,,,,,,8.5
1582.2,,,,,,,,,,,,,,,,,,,,,8.5
1582.3,,,,,,,,,,,,,,,,,,,,,8.5
1582.4,,,,,,,,,,,,,,,,,,,,,8.5
1582.5,,,,,,,,,,,,,,,,,,,,,8.5
1582.6,,,,,,,,,,,,,,,,,,,,,8.5
1582.7,,,,,,,,,,,,,,,,,,,,,8.5
1582.8,,,,,,,,,,,,,,,,,,,,,8.5
1582.9,,,,,,,,,,,,,,,,,,,,,8.5
1583.0,,,,,,,,,,,,,,,,,,,,,8.5
1583.1,,,,,,,,,,,,,,,,,,,,,8.5
1583.2,,,,,,,,,,,,,,,,,,,,,8.5
1583.3,,,,,,,,,,,,,,,,,,,,,8.5
1583.4,,,,,,,,,,,,,,,,,,,,,8.5
1583.5,,,,,,,,,,,,,,,,,,,,,8.5
1583.6,,,,,,,,,,,,,,,,,,,,,8.5
1583.7,,,,,,,,,,,,,,,,,,,,,8.5
1583.8,,,,,,,,,,,,,,,,,,,,,8.5
1583.9,,,,,,,,,,,,,,,,,,,,,8.5
1584.0,,,,,,,,,,,,,,,,,,,,,8.5
1584.1,,,,,,,,,,,,,,,,,,,,,8.5
1584.2,,,,,,,,,,,,,,,,,,,,,8.5
1584.3,,,,,,,,,,,,,,,,,,,,,8.5
1584.4,,,,,,,,,,,,,,,,,,,,,8.5
1584.5,,,,,,,,,,,,,,,,,,,,,8.5
1584.6,,,,,,,,,,,,,,,,,,,,,8.5
1584.7,,,,,,,,,,,,,,,,,,,,,8.5
1584.8,,,,,,,,,,,,,,,,,,,,,8.5
1584.9,,,,,,,,,,,,,,,,,,,,,8.5
1585.0,,,,,,,,,,,,,,,,,,,,,8.5
1585.1,,,,,,,,,,,,,,,,,,,,,8.5
1585.2,,,,,,,,,,,,,,,,,,,,,8.5
1585.3,,,,,,,,,,,,,,,,,,,,,8.5
1585.4,,,,,,,,,,,,,,,,,,,,,8.5
1585.5,,,,,,,,,,,,,,,,,,,,,8.5
1585.6,,,,,,,,,,,,,,,,,,,,,8.5
1585.7,,,,,,,,,,,,,,,,,,,,,8.5
1585.8,,,,,,,,,,,,,,,,,,,,,8.5
1585.9,,,,,,,,,,,,,,,,,,,,,8.5
1586.0,,,,,,,,,,,,,,,,,,,,,8.5
1586.1,,,,,,,,,,,,,,,,,,,,,8.5
1586.2,,,,,,,,,,,,,,,,,,,,,8.5
1586.3,,,,,,,,,,,,,,,,,,,,,8.5
1586.4,,,,,,,,,,,,,,,,,,,,,8.5
1586.5,,,,,,,,,,,,,,,,,,,,,8.5
1586.6,,,,,,,,,,,,,,,,,,,,,8.5
1586.7,,,,,,,,,,,,,,,,,,,,,8.5
1586.8,,,,,,,,,,,,,,,,,,,,,8.5
1586.9,,,,,,,,,,,,,,,,,,,,,8.5
1587.0,,,,,,,,,,,,,,,,,,,,,8.5
1587.1,,,,,,,,,,,,,,,,,,,,,8.5
1587.2,,,,,,,,,,,,,,,,,,,,,8.5
1587.3,,,,,,,,,,,,,,,,,,,,,8.5
1587.4,,,,,,,,,,,,,,,,,,,,,8.5
1587.5,,,,,,,,,,,,,,,,,,,,,8.5
1587.6,,,,,,,,,,,,,,,,,,,,,8.5
1587.7,,,,,,,,,,,,,,,,,,,,,8.5
1587.8,,,,,,,,,,,,,,,,,,,,,8.5
1587.9,,,,,,,,,,,,,,,,,,,,,8.5
1588.0,,,,,,,,,,,,,,,,,,,,,8.5
1588.1,,,,,,,,,,,,,,,,,,,,,8.5
1588.2,,,,,,,,,,,,,,,,,,,,,8.5
1588.3,,,,,,,,,,,,,,,,,,,,,8.5
1588.4,,,,,,,,,,,,,,,,,,,,,8.5
1588.5,,,,,,,,,,,,,,,,,,,,,8.5
1588.6,,,,,,,,,,,,-20.805172,,,,,,,,,8.5
1588.7,,,,,,,,,,,,-20.767435,,,,,,,,,8.5
1588.8,,,,,,,,,,,,-20.707534,,,,,,,,,8.5
1588.9,,,,,,,,,,,,-20.637714,,,,,,,,,8.5
1589.0,,,,,,,,,,,,-20.593888,,,,,,,,,8.5
1589.1,,,,,,,,,,,,-20.559981,,,,,,,,,8.5
1589.2,,,,,,,,,,,,-20.496835,,,,,,,,,8.5
1589.3,,,,,,,,,,,,-20.447569,,,,,,,,,8.5
1589.4,,,,,,,,,,,,-20.389783,,,,,,,,,8.5
1589.5,,,,,,,,,,,,-20.310831,,,,,,,,,8.5
1589.6,,,,,,,,,,,,-20.270518,,,,,,,,,8.5
1589.7,,,,,,,,,,,,-20.245915,,,,,,,,,8.5
1589.8,,,,,,,,,,,,-20.148821,,,,,,,,,8.5
1589.9,,,,,,,,,,,,-20.02986,,,,,,,,,8.5
1590.0,,,,,,,,,,,,-19.907673,,,,,,,,,8.5
1590.1,,,,,,,,,,,,-19.760836,,,,,,,,,8.5
1590.2,,,,,,,,,,,,-19.572061,,,,,,,,,8.5
1590.3,,,,,,,,,,,,-19.425407,,,,,,,,,8.5
1590.4,,,,,,,,,,,,-19.269906,,,,,,,,,8.5
1590.5,,,,,,,,,,,,-19.123253,,,,,,,,,8.5
1590.6,,,,,,,,,,,,-18.9716,,,,,,,,,8.5
1590.7,,,,,,,,,,,,-18.855522,,,,,,,,,8.5
1590.8,,,,,,,,,,,,-18.736792,,,,,,,,,8.5
1590.9,,,,,,,,,,,,-18.626108,,,,,,,,,8.5
1591.0,,,,,,,,,,,,-18.493981,,,,,,,,,8.5
1591.1,,,,,,,,,,,,-18.342336,,,,,,,,,8.5
1591.2,,,,,,,,,,,,-18.214519,,,,,,,,,8.5
1591.3,,,,,,,,,,,,-18.155399,,,,,,,,,8.5
1591.4,,,,,,,,,,,,-18.132526,,,,,,,,,8.5
1591.5,,,,,,,,,,,,-18.138867,,,,,,,,,8.5
1591.6,,,,,,,,,,,,-18.195111,,,,,,,,,8.5
1591.7,,,,,,,,,,,,-18.22563,,,,,,,,,8.5
1591.8,,,,,,,,,,,,-18.255934,,,,,,,,,8.5
1591.9,,,,,,,,,,,,-18.282946,,,,,,,,,8.5
1592.0,,,,,,,,,,,,-18.303356,,,,,,,,,8.5
1592.1,,,,,,,,,,,,-18.315503,,,,,,,,,8.5
1592.2,,,,,,,,,,,,-18.360239,,,,,,,,,8.5
1592.3,,,,,,,,,,,,-18.395976,,,,,,,,,8.5
1592.4,,,,,,,,,,,,-18.45283,,,,,,,,,8.5
1592.5,,,,,,,,,,,,-18.494504,,,,,,,,,8.5
1592.6,,,,,,,,,,,,-18.495127,,,,,,,,,8.5
1592.7,,,,,,,,,,,,-18.468103,,,,,,,,,8.5
1592.8,,,,,,,,,,,,-18.391164,,,,,,,,,8.5
1592.9,,,,,116.861944,,,,,,,-18.308771,,,,,,,,,8.5
1593.0,,,,,117.35251,,,,,,,-18.237823,,,,,,,,,8.5
1593.1,,,,,118.016273,,,,,,,-18.252914,,,,,,,,,8.5
1593.2,,,,,118.953528,,,,,,,-18.25112,,,,,,,,,8.5
1593.3,,,,,119.340665,,,,,,,-18.301859,,,,,,,,,8.5
1593.4,,,,,120.887736,,,,,,,-18.343411,,,,,,,,,8.5
1593.5,,,,,122.646437,,,,,,,-18.370579,,,,,,,,,8.5
1593.6,,,,,123.689669,,,,,,,-18.364758,,,,,,,,,8.5
1593.7,,,,,124.69906,,,,,,,-18.414213,,,,,,,,,8.5
1593.8,,,49.272702,,126.636045,,,,,,,-18.42947,,,,,,,,,8.5
1593.9,,,49.302584,,128.780093,,,,,,,-18.442075,,,,,,,,,8.5
1594.0,,,49.275738,,128.83614,,,,,,,-18.440833,,,,,,,,,8.5
1594.1,,,49.327203,,128.53787,,,,,,,-18.439818,,,,,,,,,8.5
1594.2,,,49.295609,,128.146573,,,,,,,-18.376651,,,,,,,,,8.5
1594.3,,,49.308386,,126.683923,,,,,,,-18.290913,,,,,,,,,8.5
1594.4,,,49.327947,,124.25212,,,,,,,-18.243388,,,,,,,,,8.5
1594.5,,,49.319622,,122.303663,,,,,,,-18.227694,,,,,,,,,8.5
1594.6,,,49.284165,,123.072929,,,,,,,-18.175801,,,,,,,,,8.5
1594.7,,,49.300195,,122.860745,,,,,,,-18.117576,,,,,,,,,8.5
1594.8,,,49.303054,,122.1244,,,,,,,-18.095386,,,,,,,,,8.5
1594.9,,,49.325654,,120.527916,0.396619,,,,,,-18.048622,,,,,,,,,8.5
1595.0,,,49.302172,,119.593962,0.393453,,,,,,-18.025632,,,,,,,,,8.5
1595.1,,,49.331404,,117.462562,0.389987,,,,,,-17.950917,,,,,,,,,8.5
1595.2,,,49.32703,,116.014682,0.384476,,,,,,-17.910844,,,,,,,,,8.5
1595.3,,,49.310661,,116.34045,0.378367,,,,,,-17.820354,,,,,,,,,8.5
1595.4,,,49.362966,,116.676541,0.372252,,,,,,-17.739427,,,,,,,,,8.5
1595.5,,,49.345561,,116.080085,0.369487,,,,,,-17.653691,,,,,,,,,8.5
1595.6,,,49.325542,,113.40408,0.368562,,,,,,-17.680548,,,,,,,,,8.5
1595.7,,,49.328554,,112.616514,0.37011,,,,,,-17.747046,,,,,,,,,8.5
1595.8,,,49.329412,,112.080701,0.371036,,,,,,-17.938935,,,,,,,,,8.5
1595.9,,,49.37354,,111.913604,0.370124,,,,,,-18.179446,,,,,,,,,8.5
1596.0,,,49.35348,,112.665197,0.366606,,,,,,-18.466869,,,,,,,,,8.5
1596.1,,,49.353534,,115.089287,0.363677,,,,,,-18.713845,,,,,,,,,8.5
1596.2,,,49.354502,,118.168516,0.363693,,,,,,-18.93006,,,,,,,,,8.5
1596.3,,,49.4112,,120.60133,0.365341,,,,,,-19.137409,,,,,,,,,8.5
1596.4,,,49.377892,,123.847959,0.367784,,,,,,-19.271113,,,,,,,,,8.5
1596.5,,,49.32117,,125.917043,0.368445,,,,,,-19.373873,,,,,,,,,8.5
1596.6,,,49.362179,,127.376974,0.368005,,,,,,-19.479429,,,,,,,,,8.5
1596.7,,,49.352726,,125.876714,0.362297,,,,,,-19.55656,,,,,,,,,8.5
1596.8,,,49.359827,,123.972358,0.355965,,,,,,-19.58488,,,,,,,,,8.5
1596.9,,,49.369862,,121.397057,0.349573,,,,,,-19.59664,,,,,,,,,8.5
1597.0,0.13771,0.050028,49.335331,,120.952761,0.346739,8.77255,,,,,-19.571614,,,,,,,,,8.5
1597.1,0.13771,0.050028,49.351147,,121.380143,0.342386,8.77255,,,,,-19.533428,,,,,,,,,8.5
1597.2,0.137711,0.05003,49.37765,,122.948165,0.33915,8.77255,,,,,-19.493665,,,,,,,,,8.5
1597.3,0.137722,0.050041,49.353726,,123.378334,0.338115,8.772669,,,,,-19.402518,,,,,,,,,8.5
1597.4,0.137741,0.050059,49.365108,,123.843733,0.341906,8.773254,,,,,-19.371927,,,,,,,,,8.5
1597.5,0.137737,0.050055,49.367798,,123.212646,0.348323,8.773844,,,,,-19.334657,,,,,,,,,8.5
1597.6,0.137685,0.050003,49.338364,,123.058587,0.355673,8.772975,,,,,-19.292099,,,,,,,,,8.5
