TVD,ROP,GR,T-TEMP
40.0812,,46.2573,21.7979
40.2336,,45.8003,21.7979
40.386,,45.8822,21.7979
40.5384,25.741,46.2711,21.8242
40.6908,25.1192,45.5072,21.8137
40.8432,24.4974,43.9004,21.7984
40.9956,23.8756,43.2149,21.7831
41.148,23.0547,43.0721,21.7918
41.3004,22.2286,41.7035,21.7777
41.4528,21.4026,42.2751,21.7637
41.6052,22.5974,42.7654,21.7975
41.7576,24.6824,41.8008,21.788
41.91,26.7673,40.9961,21.7784
42.0624,29.7346,40.9021,21.7689
42.2148,33.9532,40.7873,21.8047
42.3672,38.1718,40.5953,21.7936
42.5196,41.7774,40.1686,21.7825
42.672,41.3811,40.32,21.7714
42.8244,40.9848,41.3164,21.7674
42.9768,40.5886,41.629,21.7674
43.1292,33.0804,43.1986,21.7674
43.2816,24.3383,44.5057,21.825
43.434,15.5962,45.2153,21.8019
43.5864,14.7573,45.9206,21.7788
43.7388,19.8446,45.6424,21.7557
43.8912,24.932,44.9825,21.8026
44.0436,27.6545,43.8489,21.7879
44.196,24.6094,43.1713,21.7896
44.3484,21.5643,44.0694,21.7708
44.5008,18.5468,44.7336,21.752
44.6532,18.2298,44.307,21.7416
44.8056,17.9128,44.0479,21.7312
44.958,17.5958,43.1194,21.7662
45.1104,18.8952,41.8646,21.7514
45.2628,20.7942,42.5209,21.7353
45.4152,22.6932,42.1953,21.7667
45.5676,23.7851,41.6624,21.7487
45.72,23.8857,42.4948,21.7308
45.8724,23.9863,42.3208,21.7128
46.0248,23.9547,42.3386,21.776
46.1772,23.2689,43.8298,21.7634
46.3296,22.5831,42.7852,21.7509
46.482,21.8972,42.5734,21.7383
46.6344,21.2871,42.6953,21.7766
46.7868,20.6867,41.2427,21.7685
46.9392,20.0862,41.6197,21.7604
47.0916,19.9684,42.0335,21.7524
47.244,20.1634,42.2013,21.7521
47.3964,20.3585,42.4408,21.7521
47.5488,20.4413,42.6856,21.7521
47.7012,20.2919,42.4196,21.7521
47.8536,20.1426,42.0227,21.7521
48.006,20.0035,42.162,21.7521
48.1584,20.0797,40.5789,21.7598
48.3108,20.1559,39.6092,21.7838
48.4632,20.2321,40.0734,21.7661
48.6156,20.2104,39.8623,21.7484
48.768,20.1586,40.4072,21.7947
48.9204,20.1067,41.4242,21.7812
49.0728,20.1228,40.0258,21.7677
49.2252,20.2112,40.0171,21.7543
49.3776,20.2996,40.0396,21.8027
49.53,20.357,39.5108,21.7885
49.6824,20.293,39.7797,21.7742
49.8348,20.229,40.7222,21.7816
49.9872,20.165,40.1531,21.7771
50.1396,20.2191,40.3002,21.7726
50.292,20.2831,40.7232,21.7681
50.4444,20.3471,40.4487,21.7795
50.5968,20.4111,41.5459,21.7748
50.7492,20.4751,42.969,21.7701
50.9016,20.5391,45.2328,21.8121
51.054,20.5084,46.4339,21.8075
51.2064,20.3103,47.8936,21.803
51.3588,20.1122,50.434,21.7985
51.5112,19.946,50.5691,21.8138
51.6636,20.1441,52.055,21.7955
51.816,20.3422,52.75,21.7772
51.9684,20.5404,51.8221,21.7968
