DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1700.0,45.442341,2377.929688,116.556244,0.34145,8.720691,0.024069,2.436767,3.315907,92.222969,-147.329208,3.921122,5.129165,5.068496,5.028449,4.978835,4.89076,4.832911,4.539352,0.136093,0.048411,8.5
1700.1,45.419838,2377.929688,115.119026,0.336636,8.721114,0.023242,2.43654,3.331003,91.705193,-147.371826,3.866919,5.148196,5.07855,5.032643,4.975842,4.875213,4.809259,4.474661,0.136101,0.048419,8.5
1700.2,45.45602,2377.929688,114.367928,0.334519,8.721201,0.025343,2.43906,3.351592,91.142601,-147.317032,3.850945,5.242167,5.163625,5.111917,5.048011,4.934987,4.861047,4.485978,0.136114,0.048433,8.5
1700.3,45.429733,2368.164063,116.071281,0.332933,8.72199,0.028439,2.440097,3.374971,90.607422,-147.262222,3.86914,5.338876,5.254342,5.198731,5.130044,5.008687,4.929381,4.527162,0.136163,0.048482,8.5
1700.4,45.40461,2373.046875,117.523514,0.330256,8.724333,0.031789,2.441305,3.377696,90.192787,-147.186111,3.917034,5.608153,5.519495,5.461168,5.389127,5.261838,5.178655,4.756589,0.136268,0.048586,8.5
1700.5,45.476887,2377.929688,119.455841,0.326202,8.728688,0.033356,2.441225,3.365497,89.948204,-147.152618,3.977897,5.624837,5.538831,5.482225,5.412282,5.288623,5.207758,4.797632,0.13642,0.048738,8.5
1700.6,45.420345,2373.046875,119.804657,0.32017,8.73404,0.033242,2.441077,3.352969,89.937485,-147.116089,4.044376,5.585173,5.507139,5.455723,5.392128,5.279518,5.205754,4.831356,0.136569,0.048887,8.5
1700.7,45.466782,2377.929688,121.444916,0.313887,8.73822,0.031868,2.440933,3.336863,90.092514,-147.176971,4.085842,5.339826,5.271722,5.226803,5.171193,5.07258,5.007885,4.679626,0.136666,0.048984,8.5
1700.8,45.450329,2382.8125,121.305168,0.307105,8.740256,0.029745,2.441072,3.318205,90.308189,-147.250046,4.090185,5.234914,5.174333,5.134335,5.084773,4.996762,4.938937,4.645415,0.136703,0.049021,8.5
1700.9,45.492115,2373.046875,121.682968,0.303168,8.740581,0.027903,2.442077,3.326274,90.531303,-147.3414,4.064126,5.221235,5.163616,5.125556,5.078377,4.994545,4.939427,4.659972,0.136707,0.049025,8.5
1701.0,45.473072,2402.34375,121.526901,0.303762,8.740526,0.027192,2.442844,3.357759,90.740005,-147.387054,4.038499,5.211505,5.15807,5.122751,5.078942,5.001028,4.94975,4.68976,0.136706,0.049025,8.5
1701.1,45.430748,2377.929688,122.273636,0.309626,8.740539,0.028445,2.444703,3.377815,90.924835,-147.460114,4.01384,5.09849,5.050352,5.018512,4.978995,4.908647,4.862301,4.627481,0.136707,0.049025,8.5
1701.2,45.490627,2377.929688,121.629967,0.317838,8.740577,0.031106,2.448924,3.372639,91.078506,-147.545364,3.994969,4.990794,4.949826,4.922701,4.889005,4.82893,4.789291,4.588396,0.136708,0.049027,8.5
1701.3,45.501682,2382.8125,120.972794,0.325606,8.740627,0.032188,2.450285,3.355643,91.250092,-147.560577,3.980834,5.121742,5.085063,5.060758,5.030538,4.976597,4.940958,4.760411,0.13671,0.049029,8.5
1701.4,45.487556,2377.929688,120.823616,0.330284,8.740689,0.032105,2.450551,3.332455,91.447853,-147.60321,3.98608,5.026597,4.995094,4.974202,4.948209,4.901765,4.871044,4.715325,0.136713,0.049031,8.5
1701.5,45.417248,2377.929688,120.826706,0.331358,8.740796,0.030277,2.448092,3.304636,91.637985,-147.648865,3.998878,4.963693,4.932331,4.911533,4.885659,4.839429,4.808853,4.65386,0.136717,0.049036,8.5
1701.6,45.492535,2382.8125,120.253082,0.329859,8.74099,0.028528,2.447541,3.284865,91.787628,-147.642792,4.018495,4.886717,4.850965,4.827276,4.797827,4.74527,4.710553,4.534482,0.136724,0.049043,8.5
1701.7,45.501801,2382.8125,119.7173,0.328705,8.741241,0.025853,2.444034,3.297274,91.848679,-147.630615,4.041819,4.986573,4.939885,4.909003,4.870672,4.802429,4.757465,4.529509,0.13673,0.049048,8.5
1701.8,45.502308,2377.929688,120.319931,0.327773,8.741353,0.026111,2.444749,3.31473,91.806038,-147.633667,4.067705,5.222188,5.161931,5.122146,5.072846,4.985299,4.927776,4.636196,0.136727,0.049045,8.5
1701.9,45.500221,2373.046875,122.549736,0.328797,8.741014,0.028323,2.446534,3.316294,91.625923,-147.621475,4.081346,5.359918,5.289572,5.243189,5.185781,5.084027,5.017302,4.679185,0.136696,0.049014,8.5
1702.0,45.495186,2377.929688,122.9272,0.331678,8.739385,0.032357,2.45117,3.299191,91.354507,-147.627563,4.088774,5.282438,5.211071,5.16403,5.105825,5.002705,4.935117,4.592564,0.136614,0.048933,8.5
1702.1,45.497986,2377.929688,123.755768,0.336614,8.73581,0.035037,2.451856,3.295375,91.029778,-147.697586,4.097846,5.190784,5.124397,5.080611,5.026405,4.930286,4.867231,4.547595,0.136478,0.048797,8.5
1702.2,45.484901,2368.164063,122.583488,0.339437,8.730685,0.037455,2.452677,3.283156,90.713966,-147.682373,4.11286,5.257409,5.198276,5.159224,5.110821,5.024838,4.968321,4.681744,0.136317,0.048636,8.5
1702.3,45.481236,2373.046875,121.913345,0.338287,8.725498,0.038515,2.45253,3.278093,90.447578,-147.682373,4.127328,5.299945,5.24964,5.21637,5.175077,5.101573,5.053151,4.807645,0.136179,0.048498,8.5
1702.4,45.540371,2373.046875,119.537956,0.332678,8.721849,0.037841,2.450993,3.285419,90.275398,-147.682358,4.155096,5.260868,5.219349,5.191852,5.157683,5.096746,5.056523,4.852705,0.136093,0.048411,8.5
1702.5,45.504009,2377.929688,119.019684,0.325027,8.719959,0.036677,2.44972,3.317398,90.20504,-147.618439,4.180979,5.106825,5.074183,5.052538,5.025612,4.977505,4.945691,4.78452,0.136053,0.048372,8.5
1702.6,45.532917,2377.929688,118.535812,0.317615,8.719319,0.035932,2.449287,3.348253,90.224083,-147.581909,4.196954,5.039504,5.012878,4.995206,4.973204,4.933843,4.907775,4.775759,0.136041,0.048359,8.5
1702.7,45.544453,2382.8125,119.254761,0.314295,8.71917,0.036091,2.450494,3.363514,90.309135,-147.530151,4.181788,5.134052,5.109827,5.09374,5.073703,5.037835,5.014064,4.893688,0.136039,0.048357,8.5
1702.8,45.46109,2382.8125,118.793533,0.315882,8.719188,0.035466,2.448474,3.382874,90.479454,-147.496658,4.151925,5.082423,5.057859,5.04155,5.021236,4.984879,4.960787,4.838872,0.13604,0.048358,8.5
1702.9,45.531429,2392.578125,118.292389,0.322662,8.719228,0.035708,2.446739,3.40545,90.718117,-147.463165,4.10456,5.049679,5.024555,5.007875,4.987103,4.949931,4.925303,4.80069,0.136041,0.048359,8.5
1703.0,45.544392,2387.695313,117.845589,0.33058,8.71924,0.036745,2.445225,3.402971,91.0355,-147.484467,4.053958,4.984075,4.959123,4.942558,4.921929,4.885014,4.860558,4.736839,0.136041,0.048359,8.5
1703.1,45.526005,2387.695313,117.938347,0.337922,8.719218,0.039418,2.448121,3.38064,91.366257,-147.466217,3.996556,4.953382,4.929947,4.914385,4.895001,4.860303,4.837307,4.721008,0.13604,0.048358,8.5
1703.2,45.522606,2387.695313,118.45919,0.343172,8.719175,0.040445,2.448639,3.353153,91.687187,-147.460114,3.951464,4.957516,4.93747,4.924152,4.907555,4.87782,4.858097,4.758402,0.136038,0.048357,8.5
