wellName,datasetName,DEPT,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
,,M,INCH,INCH,G/CC,G/CC,US/F,API,V/V,B/E,OHMM,OHMM,OHMM,mV,m
Cheal-G3,Clean,682.3,8.5,8.617,2.262,0.044,114.242,103.259,0.364,2.927,264.432,133.841,27.325,-57.347,660.882
Cheal-G3,Clean,682.4,8.5,8.616,2.256,0.042,114.765,101.114,0.369,2.907,232.03,122.731,27.77,-58.291,660.976
Cheal-G3,Clean,682.5,8.5,8.615,2.252,0.04,114.988,98.419,0.369,2.893,194.19,107.36,26.933,-59.362,661.07
Cheal-G3,Clean,682.6,8.5,8.624,2.251,0.041,115.045,96.008,0.365,2.891,165.045,94.45,25.68,-60.617,661.164
Cheal-G3,Clean,682.7,8.5,8.651,2.251,0.043,115.015,94.803,0.36,2.881,146.028,86.504,25.493,-61.871,661.258
Cheal-G3,Clean,682.8,8.5,8.683,2.25,0.043,114.993,94.898,0.355,2.895,119.291,73.663,23.919,-63.083,661.352
Cheal-G3,Clean,682.9,8.5,8.694,2.249,0.044,114.946,96.209,0.353,2.898,100.122,65.254,24.032,-64.097,661.446
Cheal-G3,Clean,683,8.5,8.67,2.248,0.043,114.938,97.118,0.352,2.909,82.507,57.195,24.325,-64.912,661.54
Cheal-G3,Clean,683.1,8.5,8.63,2.247,0.041,115.03,99.895,0.352,2.88,65.418,48.284,23.77,-65.473,661.632
Cheal-G3,Clean,683.2,8.5,8.601,2.244,0.037,115.353,101.811,0.35,2.861,53.921,42.244,23.904,-65.945,661.724
Cheal-G3,Clean,683.3,8.5,8.592,2.241,0.033,115.973,103.335,0.347,2.811,48.718,39.807,24.845,-66.419,661.816
Cheal-G3,Clean,683.4,8.5,8.595,2.236,0.03,116.924,103.162,0.345,2.774,44.465,37.333,24.829,-66.885,661.908
Cheal-G3,Clean,683.5,8.5,8.6,2.23,0.028,118.142,101.932,0.344,2.736,41.35,34.997,23.714,-67.324,662
Cheal-G3,Clean,683.6,8.5,8.603,2.22,0.026,119.513,97.843,0.343,2.731,37.271,31.766,21.877,-67.765,662.094
Cheal-G3,Clean,683.7,8.5,8.604,2.208,0.026,120.889,93.213,0.342,2.724,40.5,34.669,24.123,-68.267,662.188
Cheal-G3,Clean,683.8,8.5,8.614,2.192,0.026,122.229,89.24,0.343,2.727,48.765,42.356,30.487,-68.767,662.282
Cheal-G3,Clean,683.9,8.5,8.643,2.174,0.024,123.493,87.359,0.347,2.734,49.586,43.773,32.724,-69.403,662.376
Cheal-G3,Clean,684,8.5,8.684,2.158,0.022,124.645,85.767,0.353,2.736,47.735,43.333,34.575,-70.073,662.47
Cheal-G3,Clean,684.1,8.5,8.718,2.145,0.021,125.556,85.459,0.36,2.729,45.199,42.304,36.251,-70.889,662.564
Cheal-G3,Clean,684.2,8.5,8.73,2.138,0.019,126.179,86.068,0.365,2.724,41.452,39.938,36.618,-71.763,662.658
Cheal-G3,Clean,684.3,8.5,8.732,2.136,0.019,126.446,88.054,0.366,2.743,38.057,37.227,35.36,-72.688,662.752
Cheal-G3,Clean,684.4,8.5,8.748,2.14,0.02,126.391,88.341,0.366,2.765,36.779,35.836,33.728,-73.693,662.846
Cheal-G3,Clean,684.5,8.5,8.743,2.147,0.023,126.095,88.982,0.367,2.787,38.781,36.977,33.088,-74.783,662.94
Cheal-G3,Clean,684.6,8.5,8.686,2.15,0.026,125.727,87.92,0.37,2.787,43.377,40.008,33.13,-75.836,663.032
Cheal-G3,Clean,684.7,8.5,8.591,2.148,0.026,125.433,87.767,0.376,2.772,50.094,44.349,33.378,-76.914,663.124
Cheal-G3,Clean,684.8,8.5,8.508,2.142,0.024,125.271,85.663,0.383,2.735,60.392,51.187,34.799,-78.013,663.216
Cheal-G3,Clean,684.9,8.5,8.471,2.134,0.022,125.238,84.992,0.388,2.695,74.003,60.511,37.833,-79.094,663.308
Cheal-G3,Clean,685,8.5,8.456,2.127,0.018,125.291,84.418,0.389,2.666,81.741,65.382,38.83,-80.211,663.4
Cheal-G3,Clean,685.1,8.5,8.455,2.127,0.016,125.4,86.178,0.386,2.663,82.81,65.907,38.688,-81.368,663.494
Cheal-G3,Clean,685.2,8.5,8.457,2.129,0.014,125.52,87.28,0.38,2.683,75.14,60.454,36.396,-82.494,663.588
Cheal-G3,Clean,685.3,8.5,8.456,2.134,0.013,125.553,89.891,0.373,2.71,65.966,54.337,34.56,-83.615,663.682
Cheal-G3,Clean,685.4,8.5,8.452,2.135,0.013,125.362,91.079,0.367,2.741,53.357,45.353,31.04,-84.656,663.776
Cheal-G3,Clean,685.5,8.5,8.442,2.137,0.013,124.807,92.038,0.366,2.766,42.77,37.342,27.206,-85.654,663.87
Cheal-G3,Clean,685.6,8.5,8.425,2.143,0.016,123.792,92.303,0.367,2.791,34.214,30.376,23.013,-86.51,663.962
Cheal-G3,Clean,685.7,8.5,8.407,2.157,0.019,122.328,93.444,0.37,2.819,29.726,26.486,20.232,-87.396,664.054
Cheal-G3,Clean,685.8,8.5,8.392,2.179,0.025,120.58,94.993,0.373,2.848,32.722,29.022,21.936,-88.209,664.146
Cheal-G3,Clean,685.9,8.5,8.383,2.207,0.031,118.831,96.898,0.377,2.876,37.575,33.036,24.465,-89.058,664.238
Cheal-G3,Clean,686,8.5,8.379,2.232,0.036,117.375,100.321,0.378,2.891,38.739,33.789,24.561,-89.895,664.33
Cheal-G3,Clean,686.1,8.5,8.387,2.252,0.04,116.358,103.016,0.377,2.899,38.262,33.335,24.167,-90.717,664.424
Cheal-G3,Clean,686.2,8.5,8.405,2.261,0.041,115.8,105.627,0.373,2.884,36.885,32.301,23.699,-91.363,664.518
Cheal-G3,Clean,686.3,8.5,8.423,2.267,0.042,115.581,106.306,0.37,2.873,34.996,30.918,23.155,-91.966,664.612
Cheal-G3,Clean,686.4,8.5,8.434,2.266,0.042,115.582,108.257,0.366,2.856,34.506,30.745,23.488,-92.486,664.706
Cheal-G3,Clean,686.5,8.5,8.436,2.264,0.041,115.647,109.11,0.364,2.847,31.792,28.633,22.43,-93.001,664.8
Cheal-G3,Clean,686.6,8.5,8.436,2.26,0.041,115.693,110.519,0.363,2.841,31.241,28.356,22.619,-93.521,664.894
Cheal-G3,Clean,686.7,8.5,8.437,2.261,0.042,115.679,110.702,0.366,2.854,29.77,27.195,22.022,-94.164,664.988
Cheal-G3,Clean,686.8,8.5,8.445,2.26,0.042,115.632,111.037,0.369,2.872,28.715,26.345,21.547,-94.818,665.082
Cheal-G3,Clean,686.9,8.5,8.463,2.262,0.043,115.535,110.081,0.375,2.899,27.577,25.397,20.957,-95.464,665.176
Cheal-G3,Clean,687,8.5,8.487,2.264,0.043,115.417,109.708,0.379,2.944,27.702,25.479,20.961,-95.957,665.27
Cheal-G3,Clean,687.1,8.5,8.508,2.265,0.042,115.324,108.499,0.379,2.995,29.08,26.632,21.692,-96.392,665.362
Cheal-G3,Clean,687.2,8.5,8.516,2.264,0.04,115.356,109.485,0.373,3.031,30.361,27.62,22.147,-96.657,665.454
Cheal-G3,Clean,687.3,8.5,8.505,2.261,0.038,115.547,110.059,0.368,3.027,30.362,27.472,21.754,-96.962,665.546
Cheal-G3,Clean,687.4,8.5,8.477,2.257,0.036,115.907,111.518,0.362,3.001,30.282,27.337,21.53,-97.159,665.638
Cheal-G3,Clean,687.5,8.5,8.437,2.25,0.033,116.374,111.413,0.357,2.954,28.24,25.601,20.363,-97.376,665.73
Cheal-G3,Clean,687.6,8.5,8.395,2.244,0.03,116.851,111.057,0.353,2.907,25.845,23.615,19.133,-97.488,665.824
Cheal-G3,Clean,687.7,8.5,8.361,2.243,0.029,117.219,109.063,0.35,2.878,25.199,23.224,19.195,-97.726,665.918
Cheal-G3,Clean,687.8,8.5,8.341,2.248,0.031,117.381,107.185,0.351,2.882,25.503,23.685,19.931,-97.878,666.012
Cheal-G3,Clean,687.9,8.5,8.335,2.256,0.034,117.329,106.499,0.353,2.909,25.04,23.385,19.937,-98.061,666.106
Cheal-G3,Clean,688,8.5,8.334,2.265,0.038,117.103,107.371,0.362,2.938,24.126,22.548,19.255,-98.222,666.2
Cheal-G3,Clean,688.1,8.5,8.343,2.271,0.041,116.77,109.513,0.372,2.961,24.193,22.625,19.35,-98.514,666.294
Cheal-G3,Clean,688.2,8.5,8.362,2.271,0.041,116.385,109.698,0.381,2.977,23.515,21.993,18.812,-98.752,666.388
Cheal-G3,Clean,688.3,8.5,8.389,2.266,0.039,115.96,109.329,0.38,2.983,23.228,21.677,18.449,-98.965,666.482
Cheal-G3,Clean,688.4,8.5,8.422,2.262,0.037,115.525,107.231,0.374,2.984,23.322,21.631,18.148,-99.166,666.576
Cheal-G3,Clean,688.5,8.5,8.457,2.259,0.036,115.093,105.13,0.366,2.988,24.543,22.623,18.708,-99.382,666.67
Cheal-G3,Clean,688.6,8.5,8.486,2.261,0.036,114.777,104.292,0.364,2.998,24.936,22.849,18.633,-99.619,666.762
Cheal-G3,Clean,688.7,8.5,8.497,2.263,0.037,114.597,105.319,0.368,3.02,26.286,23.952,19.281,-99.985,666.854
Cheal-G3,Clean,688.8,8.5,8.487,2.264,0.037,114.658,107.107,0.378,3.05,27.134,24.639,19.673,-100.326,666.946
